language	condition	coupling	member	unit	category	output	train_occurrences	held_occurrences
latin	uncoupled	0.0	0	ol	D	ii	1825	712
latin	uncoupled	0.0	0	y	S	ere	1554	554
latin	uncoupled	0.0	0	C	D	cc	1445	711
latin	uncoupled	0.0	0	ar	S	it	1423	766
latin	uncoupled	0.0	0	or	S	is	1322	535
latin	uncoupled	0.0	0	s	S	in	1322	486
latin	uncoupled	0.0	0	aN	S	ent	1169	556
latin	uncoupled	0.0	0	d	S	ar	1144	597
latin	uncoupled	0.0	0	o	D	ee	1126	609
latin	uncoupled	0.0	0	ok	S	qu	1084	625
latin	uncoupled	0.0	0	ot	S	er	1033	689
latin	uncoupled	0.0	0	k	D	ss	1025	478
latin	uncoupled	0.0	0	al	S	em	915	476
latin	uncoupled	0.0	0	S	S	an	910	439
latin	uncoupled	0.0	0	t	S	st	883	359
latin	uncoupled	0.0	0	Ce	S	di	866	609
latin	uncoupled	0.0	0	qok	S	su	862	444
latin	uncoupled	0.0	0	daN	W	omnibus	844	387
latin	uncoupled	0.0	0	Cedy	S	que	732	448
latin	uncoupled	0.0	0	qot	S	tr	727	353
latin	uncoupled	0.0	0	e	N		699	453
latin	uncoupled	0.0	0	Cy	S	at	671	212
latin	uncoupled	0.0	0	E	N		669	497
latin	uncoupled	0.0	0	l	S	ne	666	524
latin	uncoupled	0.0	0	ody	S	us	608	272
latin	uncoupled	0.0	0	dy	S	re	603	204
latin	uncoupled	0.0	0	aI	S	am	597	414
latin	uncoupled	0.0	0	p	S	de	572	338
latin	uncoupled	0.0	0	Se	S	vi	570	260
latin	uncoupled	0.0	0	Col	S	se	522	188
latin	uncoupled	0.0	0	Cey	S	et	521	264
latin	uncoupled	0.0	0	Ey	S	um	505	370
latin	uncoupled	0.0	0	ey	S	ae	498	259
latin	uncoupled	0.0	0	Edy	S	os	469	312
latin	uncoupled	0.0	0	edy	L	i	446	253
latin	uncoupled	0.0	0	od	S	ti	445	222
latin	uncoupled	0.0	0	Sedy	L	a	418	173
latin	uncoupled	0.0	0	am	L	i	408	242
latin	uncoupled	0.0	0	olk	S	un	402	152
latin	uncoupled	0.0	0	yk	L	s	396	149
latin	uncoupled	0.0	0	Cor	L	a	376	100
latin	uncoupled	0.0	0	yt	L	s	375	90
latin	uncoupled	0.0	0	r	L	m	374	250
latin	uncoupled	0.0	0	qo	L	a	371	233
latin	uncoupled	0.0	0	Co	S	si	364	121
latin	uncoupled	0.0	0	dal	L	c	362	174
latin	uncoupled	0.0	0	T	S	pr	344	121
latin	uncoupled	0.0	0	dar	L	a	341	227
latin	uncoupled	0.0	0	Cdy	L	a	331	167
latin	uncoupled	0.0	0	a	N		278	128
latin	uncoupled	0.0	0	Ky	L	c	273	120
latin	uncoupled	0.0	0	ai	S	ci	264	143
latin	uncoupled	0.0	0	air	L	i	254	210
latin	uncoupled	0.0	0	Ty	L	t	251	74
latin	uncoupled	0.0	0	K	S	li	250	98
latin	uncoupled	0.0	0	Sey	L	a	236	148
latin	uncoupled	0.0	0	N	L	t	222	88
latin	uncoupled	0.0	0	f	N		220	104
latin	uncoupled	0.0	0	ky	L	s	204	69
latin	uncoupled	0.0	0	So	L	e	201	76
latin	uncoupled	0.0	0	qokaI	W	caesar	201	74
latin	uncoupled	0.0	0	i	S	tu	199	118
latin	uncoupled	0.0	0	op	L	e	198	110
latin	uncoupled	0.0	0	Sol	W	propter	195	51
latin	uncoupled	0.0	0	qokaN	W	quod	190	72
latin	uncoupled	0.0	0	qokEdy	W	atque	189	105
latin	uncoupled	0.0	0	qokal	W	quibus	187	41
latin	uncoupled	0.0	0	qokedy	W	castris	185	62
latin	uncoupled	0.0	0	CE	L	i	178	98
latin	uncoupled	0.0	0	Sy	L	e	173	68
latin	uncoupled	0.0	0	eol	L	i	173	75
latin	uncoupled	0.0	0	q	L	e	173	71
latin	uncoupled	0.0	0	CEy	L	t	171	113
latin	uncoupled	0.0	0	Ceol	L	c	167	77
latin	uncoupled	0.0	0	daI	W	exercitum	165	148
latin	uncoupled	0.0	0	os	L	e	164	86
latin	uncoupled	0.0	0	qol	L	c	158	45
latin	uncoupled	0.0	0	lk	L	s	156	249
latin	uncoupled	0.0	0	qokEy	W	neque	149	134
latin	uncoupled	0.0	0	okaN	W	proelio	144	92
latin	uncoupled	0.0	0	okal	W	eorum	143	52
latin	uncoupled	0.0	0	m	L	t	138	80
latin	uncoupled	0.0	0	otal	L	p	130	48
latin	uncoupled	0.0	0	oky	L	c	129	44
latin	uncoupled	0.0	0	oty	L	c	127	48
latin	uncoupled	0.0	0	P	L	s	107	66
latin	uncoupled	0.0	0	n	L	i	86	37
latin	uncoupled	0.0	0	g	L	e	73	38
latin	uncoupled	0.0	0	F	L	v	35	13
latin	uncoupled	0.0	0	I	L	t	18	9
latin	uncoupled	0.0	0	x	L	l	14	11
latin	uncoupled	0.0	0	b	L	s	12	3
latin	uncoupled	0.0	0	j	N		7	3
latin	uncoupled	0.0	0	u	L	d	5	3
latin	uncoupled	0.0	0	c	L	m	4	1
latin	uncoupled	0.0	0	h	N		2	1
latin	uncoupled	0.0	0	z	N		2	1
latin	uncoupled	0.0	0	v	L	h	1	0
latin	uncoupled	0.0	1	ol	D	ii	1825	712
latin	uncoupled	0.0	1	y	S	ere	1554	554
latin	uncoupled	0.0	1	C	D	cc	1445	711
latin	uncoupled	0.0	1	ar	S	is	1423	766
latin	uncoupled	0.0	1	or	S	que	1322	535
