position	surface	identity	short_value_de	reading_source	owner_de
1	qokaiin	PROC038	ANSETZEN · EIN KLEINER SCHOEPFBECHER	READ_SHARED_CORE	gemeinsame zweireihige Figuren-/Beckenstation
2	kair	PROC068	WASSER ZUGEBEN	FINAL_FIVE_GAP_LESSON	gemeinsame zweireihige Figuren-/Beckenstation
3	qokal	PROC048	ANSETZEN · ZIELSTELLE	READ_SHARED_CORE	gemeinsame zweireihige Figuren-/Beckenstation
4	char	PROC003	QUELLE	READ_SHARED_CORE	gemeinsame zweireihige Figuren-/Beckenstation
5	ol	PROC013	WEITER	READ_SHARED_CORE	gemeinsame zweireihige Figuren-/Beckenstation
6	kain	PROC069	ZUGEBEN · EIN ABGEGRENZTER TEIL	READ_SHARED_CORE	gemeinsame zweireihige Figuren-/Beckenstation
7	olkain	PROC070	WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL	READ_SHARED_CORE	gemeinsame zweireihige Figuren-/Beckenstation
8	dal	PROC055	ZIELSTELLE	READ_SHARED_CORE	gemeinsame zweireihige Figuren-/Beckenstation
9	ol	PROC013	WEITER	READ_SHARED_CORE	gemeinsame zweireihige Figuren-/Beckenstation
10	rol	PROC071	KUEHL WEITERARBEITEN	FINAL_FIVE_GAP_LESSON	gemeinsame zweireihige Figuren-/Beckenstation
11	dl	PROC072	WEITERLEITEN	READ_TAUGHT_WHOLE_WORD	gemeinsame zweireihige Figuren-/Beckenstation
12	olor	PROC022	ANSATZ WEITERFUEHREN	FINAL_FIVE_GAP_LESSON	gemeinsame zweireihige Figuren-/Beckenstation
13	ol	PROC013	WEITER	READ_SHARED_CORE	gemeinsame zweireihige Figuren-/Beckenstation
14	sheckhal	PROC073	KURZ AM ZIELDURCHLASS HALTEN	FINAL_FIVE_GAP_LESSON	gemeinsame zweireihige Figuren-/Beckenstation
15	daiin	PROC009	EIN KLEINER SCHOEPFBECHER	READ_SHARED_CORE	gemeinsame zweireihige Figuren-/Beckenstation
16	qokeedal	PROC074	LAENGER AN DER ZIELSTELLE ANSETZEN	FINAL_FIVE_GAP_LESSON	gemeinsame zweireihige Figuren-/Beckenstation
17	daiin	PROC009	EIN KLEINER SCHOEPFBECHER	READ_SHARED_CORE	gemeinsame zweireihige Figuren-/Beckenstation
18	chckhy	PROC075	DURCHLASS · POSTEN	READ_SHARED_CORE	gemeinsame zweireihige Figuren-/Beckenstation
19	schedy	PROC076	UMSETZEN · SCHLUSS	READ_SHARED_CORE	gemeinsame zweireihige Figuren-/Beckenstation
