group_serial	page	locus	visible_owner	namespace_id	visible_surface	master_card_id	quantity_ending	family_value_de	diagram_local_reading_de	projection_result
45	f67r2	f67r2.18	A1_LEFT_LOCAL_FIELD_18	F67_LEFT_WHEEL_NS	daiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sternplatz A1_LEFT_LOCAL_FIELD_18: Sollwert oder Grad des bezeichneten Himmelsplatzes.	QUANTITY_VALUE_PRESERVED
68	f67r2	f67r2.27	A1_LEFT_LOCAL_FIELD_27	F67_LEFT_WHEEL_NS	aiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sternplatz A1_LEFT_LOCAL_FIELD_27: Sollwert oder Grad des bezeichneten Himmelsplatzes.	QUANTITY_VALUE_PRESERVED
70	f67r2	f67r2.28	A1_LEFT_LOCAL_FIELD_28	F67_LEFT_WHEEL_NS	okain	MC017	AIN	ABGEGRENZTER_ANTEIL	Sternplatz A1_LEFT_LOCAL_FIELD_28: einen gezaehlten Teilwert zugeben.	QUANTITY_VALUE_PRESERVED
73	f67r2	f67r2.29	A1_LEFT_LOCAL_FIELD_29	F67_LEFT_WHEEL_NS	saiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sternplatz A1_LEFT_LOCAL_FIELD_29: Sollwert oder Grad des bezeichneten Himmelsplatzes.	QUANTITY_VALUE_PRESERVED
90	f67r2	f67r2.36	A1_LEFT_LOCAL_FIELD_36	F67_LEFT_WHEEL_NS	daiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sternplatz A1_LEFT_LOCAL_FIELD_36: Sollwert oder Grad des bezeichneten Himmelsplatzes.	QUANTITY_VALUE_PRESERVED
106	f67r2	f67r2.43	A1_LEFT_LOCAL_FIELD_43	F67_LEFT_WHEEL_NS	daiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sternplatz A1_LEFT_LOCAL_FIELD_43: Sollwert oder Grad des bezeichneten Himmelsplatzes.	QUANTITY_VALUE_PRESERVED
107	f67r2	f67r2.43	A1_LEFT_LOCAL_FIELD_43	F67_LEFT_WHEEL_NS	aiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sternplatz A1_LEFT_LOCAL_FIELD_43: Sollwert oder Grad des bezeichneten Himmelsplatzes.	QUANTITY_VALUE_PRESERVED
112	f67r2	f67r2.44	A1_LEFT_LOCAL_FIELD_44	F67_LEFT_WHEEL_NS	aiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sternplatz A1_LEFT_LOCAL_FIELD_44: Sollwert oder Grad des bezeichneten Himmelsplatzes.	QUANTITY_VALUE_PRESERVED
120	f67r2	f67r2.48	A1_LEFT_LOCAL_FIELD_48	F67_LEFT_WHEEL_NS	dain	MC059	FALSE_FRIEND	GANZKARTE_KEINE_MENGENENDUNG	Sternplatz A1_LEFT_LOCAL_FIELD_48: Band-, Schleier- oder Abdecktraeger.	FALSE_FRIEND_RETAINED
124	f67r2	f67r2.49	A1_LEFT_LOCAL_FIELD_49	F67_LEFT_WHEEL_NS	aiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sternplatz A1_LEFT_LOCAL_FIELD_49: Sollwert oder Grad des bezeichneten Himmelsplatzes.	QUANTITY_VALUE_PRESERVED
134	f67r2	f67r2.56	A1_LEFT_OUTER_STAR_STATION_05	F67_LEFT_WHEEL_NS	daiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Sternplatz A1_LEFT_OUTER_STAR_STATION_05: Sollwert oder Grad des bezeichneten Himmelsplatzes.	QUANTITY_VALUE_PRESERVED
184	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	aiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Sollwert oder Grad des bezeichneten Himmelsplatzes.	QUANTITY_VALUE_PRESERVED
309	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	aiin	MC039	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Sollwert oder Grad des bezeichneten Himmelsplatzes.	QUANTITY_VALUE_PRESERVED
