lookup_id	register	visible_owner	visible_surface	resolved_entry_id	master_or_local_head	short_workshop_reading_de	component_or_local_parse	namespace	source_occurrences	lookup_rule_de	orientation_rule	crosspage_rule
PR001	PROSE	NOT_REQUIRED	aiin	MC039	aiin	Sollmaß	AIIN_TARGET_MEASURE	PROSE_SHARED_MASTER_DICTIONARY	3	sichtbare Form direkt im Prosa-Meisterbuch nachschlagen	STATEMENT_ORDER__LINE_BREAK_NOT_SENTENCE_END	PROSE_REGISTER_ONLY
PR002	PROSE	NOT_REQUIRED	al	MC154	al	dorthin	AL_TO	PROSE_SHARED_MASTER_DICTIONARY	1	sichtbare Form direkt im Prosa-Meisterbuch nachschlagen	STATEMENT_ORDER__LINE_BREAK_NOT_SENTENCE_END	PROSE_REGISTER_ONLY
PR003	PROSE	NOT_REQUIRED	cfhy	MC129	cfhy	auswringen	MEMORIZED_WHOLE_CARD	PROSE_SHARED_MASTER_DICTIONARY	1	sichtbare Form direkt im Prosa-Meisterbuch nachschlagen	STATEMENT_ORDER__LINE_BREAK_NOT_SENTENCE_END	PROSE_REGISTER_ONLY
PR004	PROSE	NOT_REQUIRED	chaiin	MC039	aiin	Sollmaß	AIIN_TARGET_MEASURE	PROSE_SHARED_MASTER_DICTIONARY	1	sichtbare Form direkt im Prosa-Meisterbuch nachschlagen	STATEMENT_ORDER__LINE_BREAK_NOT_SENTENCE_END	PROSE_REGISTER_ONLY
PR005	PROSE	NOT_REQUIRED	chair	MC014	chair	Wasserzulauf	CH_INLET+AIR_WATER	PROSE_SHARED_MASTER_DICTIONARY	1	sichtbare Form direkt im Prosa-Meisterbuch nachschlagen	STATEMENT_ORDER__LINE_BREAK_NOT_SENTENCE_END	PROSE_REGISTER_ONLY
PR006	PROSE	NOT_REQUIRED	chal	MC154	al	dorthin	AL_TO	PROSE_SHARED_MASTER_DICTIONARY	1	sichtbare Form direkt im Prosa-Meisterbuch nachschlagen	STATEMENT_ORDER__LINE_BREAK_NOT_SENTENCE_END	PROSE_REGISTER_ONLY
PR007	PROSE	NOT_REQUIRED	char	MC055	char	aus dem Ansatz	AR_FROM	PROSE_SHARED_MASTER_DICTIONARY	2	sichtbare Form direkt im Prosa-Meisterbuch nachschlagen	STATEMENT_ORDER__LINE_BREAK_NOT_SENTENCE_END	PROSE_REGISTER_ONLY
PR008	PROSE	NOT_REQUIRED	chary	MC009	chary	aus diesem Posten	AR_FROM+Y_CURRENT	PROSE_SHARED_MASTER_DICTIONARY	1	sichtbare Form direkt im Prosa-Meisterbuch nachschlagen	STATEMENT_ORDER__LINE_BREAK_NOT_SENTENCE_END	PROSE_REGISTER_ONLY
PR009	PROSE	NOT_REQUIRED	chckhal	MC022	chckhal	zur Zielstelle durchleiten	CKH_THROUGH+AL_TO	PROSE_SHARED_MASTER_DICTIONARY	1	sichtbare Form direkt im Prosa-Meisterbuch nachschlagen	STATEMENT_ORDER__LINE_BREAK_NOT_SENTENCE_END	PROSE_REGISTER_ONLY
PR010	PROSE	NOT_REQUIRED	chckhy	MC035	chckhy	durchleiten	CKH_THROUGH+Y_ITEM	PROSE_SHARED_MASTER_DICTIONARY	3	sichtbare Form direkt im Prosa-Meisterbuch nachschlagen	STATEMENT_ORDER__LINE_BREAK_NOT_SENTENCE_END	PROSE_REGISTER_ONLY
