visible_surface	prose_master_card_id	prose_unique_reading_de	prose_component	astro_occurrences	astro_owner_count	astro_namespaces	astro_owner_readings_de	bridge_rule
aiin	MC039	Sollmaß	AIIN_TARGET_MEASURE	6	6	F67_LEFT_WHEEL_NS;F67_PAIRED_LEGEND_QUARANTINE_NS;F69_MIDDLE_WHEEL_NS	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Sollwert oder Grad des bezeichneten Himmelsplatzes. || Sternplatz A1_LEFT_LOCAL_FIELD_27: Sollwert oder Grad des bezeichneten Himmelsplatzes. || Sternplatz A1_LEFT_LOCAL_FIELD_43: Sollwert oder Grad des bezeichneten Himmelsplatzes. || Sternplatz A1_LEFT_LOCAL_FIELD_44: Sollwert oder Grad des bezeichneten Himmelsplatzes. || Sternplatz A1_LEFT_LOCAL_FIELD_49: Sollwert oder Grad des bezeichneten Himmelsplatzes. || lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Sollwert oder Grad des bezeichneten Himmelsplatzes.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
char	MC055	aus dem Ansatz	AR_FROM	1	1	F69_LEFT_WHEEL_NS	Radstelle A3_LEFT_WHEEL_RING_TEXT: vom bezeichneten Ausgangsplatz.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
chdy	MC074	laufenden Posten umsetzen	CHD~CHED_TRANSFER+Y_ITEM	1	1	F69_RIGHT_WHEEL_NS	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: auf den bezeichneten Diagrammplatz uebertragen.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
cheal	MC154	dorthin	AL_TO	1	1	F69_MIDDLE_WHEEL_NS	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: zum bezeichneten Zielplatz.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
cheey	MC119	klarer Auszug	SHEY_CLEAR_LIQUID_WHOLE	2	2	F68_MIDDLE_PANEL_HEADER_NS;F69_MIDDLE_WHEEL_NS	Sternplatz A2_MIDDLE_PANEL_HEADER: abgelesener oder freigegebener Diagrammwert. || lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: abgelesener oder freigegebener Diagrammwert.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
chey	MC123	dieser Posten	Y_CURRENT_ITEM_CARD	4	3	F69_LEFT_WHEEL_NS;F69_MIDDLE_WHEEL_NS;F69_RIGHT_WHEEL_NS	Radstelle A3_LEFT_WHEEL_RING_TEXT: dieser lokale Diagrammposten. || lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: dieser lokale Diagrammposten. || lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: dieser lokale Diagrammposten.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
cho	MC034	Zutat	HO_INGREDIENT	2	2	F67_LEFT_WHEEL_NS;F69_RIGHT_WHEEL_NS	Sternplatz A1_LEFT_OUTER_STAR_STATION_07: Eingangsobjekt oder Eingangsbedingung. || lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Eingangsobjekt oder Eingangsbedingung.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
choky	MC026	aktuellen Posten ansetzen	OK_SET+Y_OPEN	1	1	F69_MIDDLE_WHEEL_NS	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diesen Diagrammposten setzen.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
chol	MC153	fortsetzen	OL_CONTINUE	4	3	F67_LEFT_WHEEL_NS;F69_LEFT_WHEEL_NS;F69_MIDDLE_WHEEL_NS	Radstelle A3_LEFT_WHEEL_RING_TEXT: im selben Ring oder Band fortsetzen. || Sternplatz A1_LEFT_LOCAL_FIELD_35: im selben Ring oder Band fortsetzen. || lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: im selben Ring oder Band fortsetzen.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
chy	MC123	dieser Posten	Y_CURRENT_ITEM_CARD	2	2	F67_RIGHT_WHEEL_NS;F69_RIGHT_WHEEL_NS	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: dieser lokale Diagrammposten. || lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: dieser lokale Diagrammposten.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
daiin	MC039	Sollmaß	AIIN_TARGET_MEASURE	4	4	F67_LEFT_WHEEL_NS	Sternplatz A1_LEFT_LOCAL_FIELD_18: Sollwert oder Grad des bezeichneten Himmelsplatzes. || Sternplatz A1_LEFT_LOCAL_FIELD_36: Sollwert oder Grad des bezeichneten Himmelsplatzes. || Sternplatz A1_LEFT_LOCAL_FIELD_43: Sollwert oder Grad des bezeichneten Himmelsplatzes. || Sternplatz A1_LEFT_OUTER_STAR_STATION_05: Sollwert oder Grad des bezeichneten Himmelsplatzes.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
dain	MC059	Tuch	DAIN_CLOTH_WHOLE	1	1	F67_LEFT_WHEEL_NS	Sternplatz A1_LEFT_LOCAL_FIELD_48: Band-, Schleier- oder Abdecktraeger.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
dal	MC154	dorthin	AL_TO	5	4	F67_LEFT_WHEEL_NS;F69_MIDDLE_WHEEL_NS;F69_RIGHT_WHEEL_NS	Sternplatz A1_LEFT_LOCAL_FIELD_18: zum bezeichneten Zielplatz. || Sternplatz A1_LEFT_OUTER_STAR_STATION_07: zum bezeichneten Zielplatz. || lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: zum bezeichneten Zielplatz. || lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: zum bezeichneten Zielplatz.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
dar	MC055	aus dem Ansatz	AR_FROM	2	2	F67_LEFT_WHEEL_NS;F69_LEFT_WHEEL_NS	Radstelle A3_LEFT_WHEEL_RING_TEXT: vom bezeichneten Ausgangsplatz. || Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: vom bezeichneten Ausgangsplatz.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
dy	MC123	dieser Posten	Y_CURRENT_ITEM_CARD	9	8	F67_LEFT_WHEEL_NS;F69_LEFT_WHEEL_NS;F69_MIDDLE_WHEEL_NS	Radstelle A3_LEFT_RADIAL_SLOT_02: dieser lokale Diagrammposten. || Radstelle A3_LEFT_RADIAL_SLOT_22: dieser lokale Diagrammposten. || Radstelle A3_LEFT_WHEEL_RING_TEXT: dieser lokale Diagrammposten. || Sternplatz A1_LEFT_LOCAL_FIELD_17: dieser lokale Diagrammposten. || Sternplatz A1_LEFT_LOCAL_FIELD_39: dieser lokale Diagrammposten. || Sternplatz A1_LEFT_LOCAL_FIELD_48: dieser lokale Diagrammposten. || Sternplatz A1_LEFT_OUTER_STAR_STATION_06: dieser lokale Diagrammposten. || lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: dieser lokale Diagrammposten.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
kchey	MC122	diesen Posten kurz bearbeiten	KCH_PROCESS+E_SHORT+Y_CURRENT	1	1	F67_RIGHT_WHEEL_NS	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: diesen Diagrammplatz kurz bearbeiten.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
kchy	MC117	diesen Posten bearbeiten	KCH_PROCESS+Y_CURRENT	1	1	F67_RIGHT_WHEEL_NS	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: diesen Diagrammplatz bearbeiten.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
ody	MC100	kühlen	ODY_COOL+TERMINAL_CLOSE	1	1	F69_MIDDLE_WHEEL_NS	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diesen Diagrammposten zuruecknehmen.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
okain	MC017	eine Portion zugeben	OK+AIN_PORTION	1	1	F67_LEFT_WHEEL_NS	Sternplatz A1_LEFT_LOCAL_FIELD_28: einen gezaehlten Teilwert zugeben.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
okal	MC040	dort ansetzen	OK_SET+AL_TO	1	1	F67_LEFT_WHEEL_NS	Sternplatz A1_LEFT_LOCAL_FIELD_22: am Zielplatz setzen.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
okchy	MC103	Posten zur Weiterbearbeitung ansetzen	OK_SET+CH_WRAPPER+Y_OPEN	1	1	F67_RIGHT_WHEEL_NS	Sektorplatz A1_RIGHT_SECTOR_SLOT_05: diesen Diagrammposten setzen.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
okeey	MC002	länger ansetzen	OK_SET+GRADE_2+Y_OPEN	4	4	F68_RIGHT_PANEL_HEADER_NS;F69_LEFT_WHEEL_NS	Radstelle A3_LEFT_RADIAL_SLOT_01: in langer Stufe setzen. || Radstelle A3_LEFT_RADIAL_SLOT_22: in langer Stufe setzen. || Radstelle A3_LEFT_WHEEL_RING_TEXT: in langer Stufe setzen. || Sektorplatz A2_RIGHT_PANEL_HEADER: in langer Stufe setzen.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
okey	MC007	kurz ansetzen	OK_SET+GRADE_1+Y_OPEN	2	2	F67_LEFT_WHEEL_NS;F69_LEFT_WHEEL_NS	Radstelle A3_LEFT_RADIAL_SLOT_23: in kurzer Stufe setzen. || Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: in kurzer Stufe setzen.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
oky	MC026	aktuellen Posten ansetzen	OK_SET+Y_OPEN	1	1	F68_CENTRAL_LEGEND_QUARANTINE_NS	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: diesen Diagrammposten setzen.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
ol	MC153	fortsetzen	OL_CONTINUE	1	1	F69_MIDDLE_WHEEL_NS	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: im selben Ring oder Band fortsetzen.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
oldy	MC019	Fortsetzung abschließen	OL_CONTINUE+DY_CLOSE	1	1	F67_RIGHT_WHEEL_NS	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: fortsetzen und den Eintrag schliessen.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
olor	MC157	Fortsetzungsansatz	OL_CONTINUE+OR_BATCH	1	1	F68_LOCAL_STAR_SLOT_NS	Sternplatz A2_STAR_STATION_12: fortgesetzter Bedingungs- oder Tabellensatz.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
or	MC080	Ansatz	OR_BATCH	1	1	F67_LEFT_WHEEL_NS	Sternplatz A1_LEFT_LOCAL_FIELD_36: Bedingungs- oder Tabellensatz.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
os	MC159	Mischgefäß	MEMORIZED_VESSEL_CARD	2	2	F67_LEFT_WHEEL_NS	Sternplatz A1_LEFT_LOCAL_FIELD_43: umschliessendes Diagrammfeld. || Sternplatz A1_LEFT_LOCAL_FIELD_49: umschliessendes Diagrammfeld.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
otar	MC121	danach von dort	OT_NEXT+AR_FROM	1	1	F67_LEFT_WHEEL_NS	Sternplatz A1_LEFT_OUTER_STAR_STATION_06: danach vom bezeichneten Ausgangsplatz.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
otchdy	MC067	Folgegang vollziehen; Schluss	OT_FOLLOW+CHD_TRANSFER+TERMINAL_CLOSE	1	1	F68_LOCAL_STAR_SLOT_NS	Sternplatz A2_STAR_STATION_15: den folgenden Platz uebertragen und den Eintrag schliessen.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
otchey	MC171	nächster Teilposten	OT_FOLLOW+Y_CURRENT_ITEM	1	1	F67_LEFT_WHEEL_NS	Sternplatz A1_LEFT_LOCAL_FIELD_17: naechster Diagrammposten.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
oteey	MC063	langer Folgeposten	OT_FOLLOW+GRADE_2+Y_ITEM	2	1	F69_RIGHT_WHEEL_NS	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Diagrammposten in langer Stufe.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
otol	MC053	danach fortsetzen	OT_FOLLOW+OL_CONTINUE	1	1	F68_LOCAL_STAR_SLOT_NS	Sternplatz A2_STAR_STATION_17: danach im selben Ring oder Band fortsetzen.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
qokeeedy	MC140	vollständig ansetzen; Schluss	OK_SET+GRADE_3+DY_CLOSE	1	1	F68_MIDDLE_PANEL_HEADER_NS	Sternplatz A2_MIDDLE_PANEL_HEADER: vollstaendig setzen und den Eintrag schliessen.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
saiin	MC039	Sollmaß	AIIN_TARGET_MEASURE	1	1	F67_LEFT_WHEEL_NS	Sternplatz A1_LEFT_LOCAL_FIELD_29: Sollwert oder Grad des bezeichneten Himmelsplatzes.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
sal	MC154	dorthin	AL_TO	1	1	F67_LEFT_WHEEL_NS	Sternplatz A1_LEFT_LOCAL_FIELD_50: zum bezeichneten Zielplatz.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
sar	MC055	aus dem Ansatz	AR_FROM	2	2	F69_LEFT_WHEEL_NS	Radstelle A3_LEFT_RADIAL_SLOT_01: vom bezeichneten Ausgangsplatz. || Radstelle A3_LEFT_WHEEL_RING_TEXT: vom bezeichneten Ausgangsplatz.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
sheey	MC095	laenger ruhen	SH_REST+EE_LONG+Y_CURRENT	1	1	F69_MIDDLE_WHEEL_NS	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diese Position laenger halten.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
shey	MC119	klarer Auszug	SHEY_CLEAR_LIQUID_WHOLE	1	1	F68_RIGHT_PANEL_HEADER_NS	Sektorplatz A2_RIGHT_PANEL_HEADER: abgelesener oder freigegebener Diagrammwert.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
sor	MC080	Ansatz	OR_BATCH	1	1	F67_LEFT_WHEEL_NS	Sternplatz A1_LEFT_LOCAL_FIELD_39: Bedingungs- oder Tabellensatz.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
sy	MC123	dieser Posten	Y_CURRENT_ITEM_CARD	1	1	F67_RIGHT_WHEEL_NS	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: dieser lokale Diagrammposten.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
tol	MC153	fortsetzen	OL_CONTINUE	1	1	F67_LEFT_WHEEL_NS	Sternplatz A1_LEFT_OUTER_STAR_STATION_05: im selben Ring oder Band fortsetzen.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
y	MC123	dieser Posten	Y_CURRENT_ITEM_CARD	9	4	F67_LEFT_WHEEL_NS;F69_LEFT_WHEEL_NS;F69_MIDDLE_WHEEL_NS	Radstelle A3_LEFT_WHEEL_RING_TEXT: dieser lokale Diagrammposten. || Sternplatz A1_LEFT_LOCAL_FIELD_16: dieser lokale Diagrammposten. || Sternplatz A1_LEFT_OUTER_STAR_STATION_03: dieser lokale Diagrammposten. || lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: dieser lokale Diagrammposten.	SAME_VISIBLE_FORM__REGISTER_AND_VISIBLE_OWNER_SUPPLY_EXPANSION
