unified_serial	register	page	source_group_id	reading_unit_id	visible_owner	visible_surface	lookup_id	resolved_entry_id	resolved_reading_de	lookup_status
U001	PROSE	f10r	E001	H1-S001	NOT_REQUIRED	dchey	PR062	MC071	Wurzel	DIRECT_PROSE_SURFACE_PASS
U002	PROSE	f10r	E002	H1-S001	NOT_REQUIRED	cthoor	PR050	MC158	Ansatz bereit	DIRECT_PROSE_SURFACE_PASS
U003	PROSE	f10r	E003	H1-S001	NOT_REQUIRED	char	PR007	MC055	aus dem Ansatz	DIRECT_PROSE_SURFACE_PASS
U004	PROSE	f10r	E004	H1-S001	NOT_REQUIRED	chty	PR046	MC086	Teil abtrennen	DIRECT_PROSE_SURFACE_PASS
U005	PROSE	f10r	E005	H1-S001	NOT_REQUIRED	os	PR121	MC159	Mischgefäß	DIRECT_PROSE_SURFACE_PASS
U006	PROSE	f10r	E006	H1-S001	NOT_REQUIRED	chair	PR005	MC014	Wasserzulauf	DIRECT_PROSE_SURFACE_PASS
U007	PROSE	f10r	E007	H1-S001	NOT_REQUIRED	otytchol	PR132	MC069	naechsten Teilposten weiterfuehren	DIRECT_PROSE_SURFACE_PASS
U008	PROSE	f10r	E008	H1-S001	NOT_REQUIRED	oky	PR110	MC026	aktuellen Posten ansetzen	DIRECT_PROSE_SURFACE_PASS
U009	PROSE	f10r	E009	H1-S001	NOT_REQUIRED	daiin	PR053	MC039	Sollmaß	DIRECT_PROSE_SURFACE_PASS
U010	PROSE	f10r	E010	H1-S001	NOT_REQUIRED	etyd	PR068	MC108	kleiner Restteil	DIRECT_PROSE_SURFACE_PASS
U011	PROSE	f10r	E011	H1-S002	NOT_REQUIRED	qokchy	PR147	MC103	Posten zur Weiterbearbeitung ansetzen	DIRECT_PROSE_SURFACE_PASS
U012	PROSE	f10r	E012	H1-S002	NOT_REQUIRED	qotchol	PR166	MC163	danach weiterfuehren	DIRECT_PROSE_SURFACE_PASS
U013	PROSE	f10r	E013	H1-S002	NOT_REQUIRED	chol	PR042	MC153	fortsetzen	DIRECT_PROSE_SURFACE_PASS
U014	PROSE	f10r	E014	H1-S002	NOT_REQUIRED	cthy	PR051	MC161	bereit	DIRECT_PROSE_SURFACE_PASS
U015	PROSE	f10r	E015	H2-S001	NOT_REQUIRED	ycheor	PR226	MC075	Auszugsansatz	DIRECT_PROSE_SURFACE_PASS
U016	PROSE	f10r	E016	H2-S001	NOT_REQUIRED	cthy	PR051	MC161	bereit	DIRECT_PROSE_SURFACE_PASS
U017	PROSE	f10r	E017	H2-S001	NOT_REQUIRED	chor	PR044	MC080	Ansatz	DIRECT_PROSE_SURFACE_PASS
U018	PROSE	f10r	E018	H2-S001	NOT_REQUIRED	cthaiin	PR049	MC169	Fertigmaß	DIRECT_PROSE_SURFACE_PASS
