expression_id	page	locus	source_mode	base_surface	working_roman	surface_expression	zl3b_mode	it2a_mode	rf1b_mode	exact_source_mode_triple_reader	boundary_normalized_triple_reader	alternate_boundary_reader_present	boundary_variant_with_normalized_support
G630-E001	f100r	f100r.22	FUSED_D_VALUE	chol	III	choldaiin	FUSED_D_VALUE	SEPARATE_D_VALUE	FUSED_D_VALUE	0	1	1	1
G630-E002	f100r	f100r.25	SEPARATE_D_VALUE	chol	III	chol daiin	SEPARATE_D_VALUE	SEPARATE_D_VALUE	SEPARATE_D_VALUE	1	1	0	0
G630-E003	f102r1	f102r1.3	FUSED_D_VALUE	shol	III	sholdaiin	FUSED_D_VALUE	FUSED_D_VALUE	FUSED_D_VALUE	1	1	0	0
G630-E004	f102r1	f102r1.5	SEPARATE_D_VALUE	qokol	II	qokol dain	SEPARATE_D_VALUE	SEPARATE_D_VALUE	ABSENT_OR_DIFFERENT	0	0	0	0
G630-E005	f102r1	f102r1.15	SEPARATE_D_VALUE	chol	III	chol daiin	SEPARATE_D_VALUE	SEPARATE_D_VALUE	ABSENT_OR_DIFFERENT	0	0	0	0
G630-E006	f102r1	f102r1.17	FUSED_D_VALUE	ol	III	oldaiin	FUSED_D_VALUE	FUSED_D_VALUE	FUSED_D_VALUE	1	1	0	0
G630-E007	f102v1	f102v1.13	SEPARATE_D_VALUE	ol	III	ol daiin	SEPARATE_D_VALUE	SEPARATE_D_VALUE	ABSENT_OR_DIFFERENT	0	0	0	0
G630-E008	f102v2	f102v2.32	SEPARATE_D_VALUE	ol	III	ol daiin	SEPARATE_D_VALUE	SEPARATE_D_VALUE	SEPARATE_D_VALUE	1	1	0	0
G630-E009	f104v	f104v.11	SEPARATE_D_VALUE	qokol	III	qokol daiin	SEPARATE_D_VALUE	SEPARATE_D_VALUE	SEPARATE_D_VALUE	1	1	0	0
G630-E010	f107v	f107v.2	SEPARATE_D_VALUE	ol	III	ol daiin	SEPARATE_D_VALUE	SEPARATE_D_VALUE	SEPARATE_D_VALUE	1	1	0	0
G630-E011	f10r	f10r.8	SEPARATE_D_VALUE	chol	III	chol daiin	SEPARATE_D_VALUE	SEPARATE_D_VALUE	SEPARATE_D_VALUE	1	1	0	0
