surface	side	occurrences	pages	fused_occurrences	separate_occurrences	cross_mode	core_quality_occurrences	known_part_role	known_part_status	example_loci
cthy	RIGHT	4	4	0	4	0	3	BLATTGUT	PRIMARY_CTHY_FORM	f15v.11|f3r.3|f44v.3|f45v.2
chor	LEFT	3	3	0	3	0	3	PFLANZEN_REPRODUKTIONSTEIL	INHERITED_CONTEXT_SPLIT	f21r.12|f21v.3|f32v.10
cthor	RIGHT	2	2	0	2	0	1	BLATT_KRAUTTEIL_FAMILY	ROOT_FAMILY_VARIANT	f19v.11|f5v.4
ctheol	RIGHT	1	1	0	1	0	1	BLATT_KRAUTTEIL_FAMILY	ROOT_FAMILY_VARIANT	f100r.25
cthey	LEFT	1	1	0	1	0	1	BLATT_KRAUTTEIL_FAMILY	ROOT_FAMILY_VARIANT	f89v1.10
cthoiin	RIGHT	1	1	0	1	0	0	BLATT_KRAUTTEIL_FAMILY	ROOT_FAMILY_VARIANT	f22r.10
cthor	LEFT	1	1	0	1	0	0	BLATT_KRAUTTEIL_FAMILY	ROOT_FAMILY_VARIANT	f25v.2
cthy	LEFT	1	1	0	1	0	1	BLATTGUT	PRIMARY_CTHY_FORM	f22v.8
sair	LEFT	1	1	0	1	0	0	WURZELTEIL_WEAK	WEAK_INHERITED	f66r.68
shor	LEFT	1	1	0	1	0	0	BLUETEN_FRUCHTSTAND	INHERITED_CONTEXT_SPLIT	f29r.6
shor	RIGHT	1	1	1	0	0	1	BLUETEN_FRUCHTSTAND	INHERITED_CONTEXT_SPLIT	f8r.9
<END>	RIGHT	40	33	6	34	1	30	OPEN	OPEN	f102r1.3|f102r1.5|f104v.11|f111v.18|f11r.2|f14v.2|f15v.8|f16r.8
chol	LEFT	7	6	1	6	1	5	OPEN	OPEN	f42r.10|f42v.1|f47v.9|f54v.16|f56v.15|f56v.16|f7r.7
ar	LEFT	2	2	1	1	1	0	OPEN	OPEN	f23r.2|f40r.1
dy	LEFT	2	2	1	1	1	2	OPEN	OPEN	f17v.8|f18r.2
okal	LEFT	2	2	1	1	1	1	OPEN	OPEN	f17v.3|f47r.9
ol	LEFT	2	2	1	1	1	1	OPEN	OPEN	f79v.35|f95r1.1
sy	RIGHT	2	2	1	1	1	1	OPEN	OPEN	f102v2.32|f17v.8
<START>	LEFT	10	8	0	10	0	5	OPEN	OPEN	f22r.5|f27r.11|f32v.3|f32v.8|f37r.11|f37v.7|f37v.16|f51r.9
daiin	RIGHT	4	4	0	4	0	3	OPEN	OPEN	f19v.4|f21v.4|f32v.8|f66r.68
daiin	LEFT	3	3	0	3	0	0	OPEN	OPEN	f19v.10|f5v.3|f83r.54
okaiin	RIGHT	3	3	0	3	0	2	OPEN	OPEN	f22r.2|f40r.9|f47r.3
r	LEFT	3	3	0	3	0	0	OPEN	OPEN	f111v.18|f23r.7|f80r.24
shol	RIGHT	3	3	0	3	0	2	OPEN	OPEN	f28r.8|f35r.14|f44v.2
chckhy	RIGHT	2	2	0	2	0	0	OPEN	OPEN	f32v.3|f7r.10
chcthy	LEFT	2	2	0	2	0	2	OPEN	OPEN	f19v.4|f45r.3
chkaiin	RIGHT	2	2	0	2	0	2	OPEN	OPEN	f21r.12|f28v.5
chotaiin	RIGHT	2	2	0	2	0	1	OPEN	OPEN	f37v.16|f56v.15
choty	LEFT	2	1	0	2	0	2	OPEN	OPEN	f21v.2|f21v.4
dain	LEFT	2	2	0	2	0	1	OPEN	OPEN	f38v.7|f42v.2
dain	RIGHT	2	2	0	2	0	1	OPEN	OPEN	f38v.7|f42r.13
dal	RIGHT	2	2	0	2	0	2	OPEN	OPEN	f21v.3|f5v.5
dam	RIGHT	2	2	0	2	0	2	OPEN	OPEN	f22v.8|f47r.10
dar	RIGHT	2	2	0	2	0	2	OPEN	OPEN	f10r.8|f27r.2
dor	LEFT	2	2	0	2	0	1	OPEN	OPEN	f19v.11|f2v.5
kor	LEFT	2	2	0	2	0	1	OPEN	OPEN	f22r.2|f37r.7
otchy	LEFT	2	2	0	2	0	2	OPEN	OPEN	f19v.3|f47r.10
oty	RIGHT	2	2	0	2	0	1	OPEN	OPEN	f80r.24|f99v.12
qokchy	RIGHT	2	2	0	2	0	1	OPEN	OPEN	f10v.5|f22r.5
qotor	LEFT	2	2	0	2	0	2	OPEN	OPEN	f10v.5|f36v.2
sho	LEFT	2	2	0	2	0	2	OPEN	OPEN	f35v.7|f56v.13
shol	LEFT	2	2	0	2	0	2	OPEN	OPEN	f23v.7|f42r.13
aiin	LEFT	1	1	0	1	0	1	OPEN	OPEN	f20v.4
ain	LEFT	1	1	0	1	0	1	OPEN	OPEN	f27r.2
alg	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f23r.7
aly	LEFT	1	1	0	1	0	0	OPEN	OPEN	f58v.6
ar	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f15r.14
arody	LEFT	1	1	1	0	0	0	OPEN	OPEN	f102r1.17
cfholdar	LEFT	1	1	0	1	0	1	OPEN	OPEN	f37r.4
chain	LEFT	1	1	0	1	0	0	OPEN	OPEN	f7r.10
chckhy	LEFT	1	1	1	0	0	1	OPEN	OPEN	f55v.1
chdy	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f47r.1
chedy	RIGHT	1	1	0	1	0	0	OPEN	OPEN	f39r.14
cheeor	LEFT	1	1	0	1	0	0	OPEN	OPEN	f102v2.32
chees	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f27r.11
chekal	RIGHT	1	1	0	1	0	1	OPEN	OPEN	f89v1.10
chekl	LEFT	1	1	0	1	0	0	OPEN	OPEN	f39r.14
