expression_id	page	locus	token_index_start	token_index_end	realization_mode	base_surface	wrapper	quality_core	ending	expression_class	working_value	working_roman	surface_expression	segmentation	working_reading_de	core_quality_concrete	expression_triple_reader_stable	phrase_line_end	left_3	left_2	left_1	right_1	right_2	right_3	section	hand	surface_line
G630-E001	f100r	f100r.22	2	2	FUSED_D_VALUE	chol	BARE	ch	OL	CORE_BEARING_OL_QUALITY	3	III	choldaiin	chol+d+a+III	trocken, Grad III	1	0	0	<START>	<START>	folshody	fchod	ycheol	cphol	P	1	folshody choldaiin fchod ycheol cphol qotees shey aseso alcfhy
G630-E002	f100r	f100r.25	3	4	SEPARATE_D_VALUE	chol	BARE	ch	OL	CORE_BEARING_OL_QUALITY	3	III	chol daiin	chol | d+a+III	trocken, Grad III	1	1	0	<START>	sheor	qkeeody	ctheol	olcheol	cheky	P	1	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol
G630-E003	f102r1	f102r1.3	7	7	FUSED_D_VALUE	shol	BARE	sh	OL	CORE_BEARING_OL_QUALITY	3	III	sholdaiin	shol+d+a+III	feucht, Grad III	1	1	1	loiiin	oteeor	cpheodar	<END>	<END>	<END>	P	1	polaiin shocthy qoteol loiiin oteeor cpheodar sholdaiin
G630-E004	f102r1	f102r1.5	9	10	SEPARATE_D_VALUE	qokol	qo	k	OL	CORE_BEARING_OL_QUALITY	2	II	qokol dain	qokol | d+a+II	im qo-Qualitätsrahmen: heiß, Grad II	1	0	1	oraroekeol	chol	ekey	<END>	<END>	<END>	P	1	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain
G630-E005	f102r1	f102r1.15	2	3	SEPARATE_D_VALUE	chol	BARE	ch	OL	CORE_BEARING_OL_QUALITY	3	III	chol daiin	chol | d+a+III	trocken, Grad III	1	0	0	<START>	<START>	or	dykeor	sheey	qokeody	P	1	or chol daiin dykeor sheey qokeody dor os ykeeykam
G630-E006	f102r1	f102r1.17	3	3	FUSED_D_VALUE	ol	BARE	NONE	OL	BARE_OL_CARRIER	3	III	oldaiin	ol+d+a+III	Qualitäts-/Materialträger, Wert III; Kern offen	0	1	0	<START>	ydar	arody	sody	chockhy	oly	P	1	ydar arody oldaiin sody chockhy oly
G630-E007	f102v1	f102v1.13	2	3	SEPARATE_D_VALUE	ol	BARE	NONE	OL	BARE_OL_CARRIER	3	III	ol daiin	ol | d+a+III	Qualitäts-/Materialträger, Wert III; Kern offen	0	0	0	<START>	<START>	toiin	qkol	cheol	daiin	P	1	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim
G630-E008	f102v2	f102v2.32	10	11	SEPARATE_D_VALUE	ol	BARE	NONE	OL	BARE_OL_CARRIER	3	III	ol daiin	ol | d+a+III	Qualitäts-/Materialträger, Wert III; Kern offen	0	1	0	ar	oky	cheeor	sy	<END>	<END>	P	1	dar cheor shoar okeol shoy s ar oky cheeor ol daiin sy
G630-E009	f104v	f104v.11	8	9	SEPARATE_D_VALUE	qokol	qo	k	OL	CORE_BEARING_OL_QUALITY	3	III	qokol daiin	qokol | d+a+III	im qo-Qualitätsrahmen: heiß, Grad III	1	1	1	qokchd	qotol	qokol	<END>	<END>	<END>	S	3	ycheedy qoy ykchedor cheeky qokchd qotol qokol qokol daiin
G630-E010	f107v	f107v.2	3	4	SEPARATE_D_VALUE	ol	BARE	NONE	OL	BARE_OL_CARRIER	3	III	ol daiin	ol | d+a+III	Qualitäts-/Materialträger, Wert III; Kern offen	0	1	0	<START>	daiin	dckhy	chkal	qokedy	otal	S	3	daiin dckhy ol daiin chkal qokedy otal chedy oteos aiin otar alkain ol
G630-E011	f10r	f10r.8	6	7	SEPARATE_D_VALUE	chol	BARE	ch	OL	CORE_BEARING_OL_QUALITY	3	III	chol daiin	chol | d+a+III	trocken, Grad III	1	1	0	otol	chol	cholor	dar	<END>	<END>	H	1	qotchor chor otol chol cholor chol daiin dar
G630-E012	f10v	f10v.5	6	7	SEPARATE_D_VALUE	chol	BARE	ch	OL	CORE_BEARING_OL_QUALITY	3	III	chol daiin	chol | d+a+III	trocken, Grad III	1	1	0	daiin	qotchy	qotor	qokchy	ky	<END>	H	1	sho ykeey daiin qotchy qotor chol daiin qokchy ky
G630-E013	f111r	f111r.13	8	9	SEPARATE_D_VALUE	or	BARE	NONE	OR	OR_NOMINAL_OR_PART_CARRIER	2	II	or dain	or | d+a+II	Teil-/Nominalträger, Wert II; Qualität offen	0	1	0	lr	al	chr	shey	arain	chey	S	3	qosheo lchdy lshedy olkeeedy lr al chr or dain shey arain chey teey cheodaiin
G630-E014	f111v	f111v.18	13	14	SEPARATE_D_VALUE	ol	BARE	NONE	OL	BARE_OL_CARRIER	2	II	ol dain	ol | d+a+II	Qualitäts-/Materialträger, Wert II; Kern offen	0	0	1	o	l	r	<END>	<END>	<END>	S	3	tais shedy qoeedaiin okain ey kaiin shey otain alkain o l r ol dain
