contact_id	expression_id	page	locus	realization_mode	base_surface	working_roman	part_surface	part_role	part_status	part_provenance	side	distance	order	immediate	core_quality_concrete	surface_clause	normalized_clause	working_reading_de	dose_rival_de	exact_clause_triple_reader_stable	boundary_normalized_clause_triple_reader_stable	evidence_class	surface_line
G630-P001	G630-E002	f100r	f100r.25	SEPARATE_D_VALUE	chol	III	ctheol	BLATT_KRAUTTEIL_FAMILY	ROOT_FAMILY_VARIANT	GDT625_CTH_ROOT_FAMILY	RIGHT	1	VALUE_EXPRESSION_BEFORE_PART	1	1	chol daiin ctheol	choldaiinctheol	Blatt-/Krautteilform: trocken, Grad III	Blatt-/Krautteilform: 3 Portionen/Maße oder Qualitätsgrad III	1	1	IMMEDIATE_CONCRETE_PART_QUALITY_DEGREE_CLAUSE	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol
G630-P002	G630-E017	f14v	f14v.2	SEPARATE_D_VALUE	chol	III	cthy	BLATTGUT	PRIMARY_CTHY_FORM	GDT625_CTH_ROOT_FAMILY	LEFT	3	PART_BEFORE_VALUE_EXPRESSION	0	1	cthy chol daiin	cthycholdaiin	Blattgut/Blattdroge nahe trocken, Grad III; Bindung offen	Blattgut/Blattdroge: 3 Portionen/Maße oder Qualitätsgrad III	0	0	NEAR_PART_CONTACT__NO_BINDING_ASSUMED	okchor d chytshy oty chy cthy otchy ty chol daiin
G630-P003	G630-E020	f15v	f15v.11	SEPARATE_D_VALUE	chol	III	cthy	BLATTGUT	PRIMARY_CTHY_FORM	GDT625_CTH_ROOT_FAMILY	RIGHT	1	VALUE_EXPRESSION_BEFORE_PART	1	1	chol daiin cthy	choldaiincthy	Blattgut/Blattdroge: trocken, Grad III	Blattgut/Blattdroge: 3 Portionen/Maße oder Qualitätsgrad III	1	1	IMMEDIATE_CONCRETE_PART_QUALITY_DEGREE_CLAUSE	sol oiin cheor chol daiin cthy
G630-P004	G630-E022	f17r	f17r.11	SEPARATE_D_VALUE	chol	IV	cthar	BLATT_KRAUTTEIL_FAMILY	ROOT_FAMILY_VARIANT	GDT625_CTH_ROOT_FAMILY	LEFT	2	PART_BEFORE_VALUE_EXPRESSION	0	1	cthar chol daiiin	ctharcholdaiiin	Blatt-/Krautteilform nahe trocken, Grad IV; Bindung offen	Blatt-/Krautteilform: 4 Portionen/Maße oder Qualitätsgrad IV	0	0	NEAR_PART_CONTACT__NO_BINDING_ASSUMED	otchol cthar okaiin chol daiiin
G630-P005	G630-E031	f19v	f19v.11	SEPARATE_D_VALUE	okchor	III	cthor	BLATT_KRAUTTEIL_FAMILY	ROOT_FAMILY_VARIANT	GDT625_CTH_ROOT_FAMILY	RIGHT	1	VALUE_EXPRESSION_BEFORE_PART	1	0	okchor daiin cthor	okchordaiincthor	Blatt-/Krautteilform: Teil-/Nominalträger, Wert III; Qualität offen	Blatt-/Krautteilform: 3 Portionen/Maße oder Qualitätsgrad III	1	1	IMMEDIATE_PART_WITH_OPEN_VALUE_HEAD	qotol dor okchor daiin cthor otam
G630-P006	G630-E033	f20v	f20v.10	SEPARATE_D_VALUE	chol	III	chor	PFLANZEN_REPRODUKTIONSTEIL	INHERITED_CONTEXT_SPLIT	GDT629_WORKING_DICTIONARY_V6	RIGHT	2	VALUE_EXPRESSION_BEFORE_PART	0	1	chol daiin chor	choldaiinchor	Pflanzen-/Reproduktionsteil nahe trocken, Grad III; Bindung offen	Pflanzen-/Reproduktionsteil: 3 Portionen/Maße oder Qualitätsgrad III	0	0	NEAR_PART_CONTACT__NO_BINDING_ASSUMED	shokaiin chocthy chol daiin chy chor ety
G630-P007	G630-E034	f21r	f21r.12	SEPARATE_D_VALUE	chol	III	chor	PFLANZEN_REPRODUKTIONSTEIL	INHERITED_CONTEXT_SPLIT	GDT629_WORKING_DICTIONARY_V6	LEFT	1	PART_BEFORE_VALUE_EXPRESSION	1	1	chor chol daiin	chorcholdaiin	Pflanzen-/Reproduktionsteil: trocken, Grad III	Pflanzen-/Reproduktionsteil: 3 Portionen/Maße oder Qualitätsgrad III	1	1	IMMEDIATE_CONCRETE_PART_QUALITY_DEGREE_CLAUSE	ykeey chor sheey ysheol chor chol daiin chkaiin
G630-P008	G630-E036	f21v	f21v.3	SEPARATE_D_VALUE	qotol	III	chor	PFLANZEN_REPRODUKTIONSTEIL	INHERITED_CONTEXT_SPLIT	GDT629_WORKING_DICTIONARY_V6	LEFT	1	PART_BEFORE_VALUE_EXPRESSION	1	1	chor qotol daiin	chorqotoldaiin	Pflanzen-/Reproduktionsteil: im qo-Qualitätsrahmen: kalt, Grad III	Pflanzen-/Reproduktionsteil: 3 Portionen/Maße oder Qualitätsgrad III	1	1	IMMEDIATE_CONCRETE_PART_QUALITY_DEGREE_CLAUSE	qotol keeees chotchy tcho choty chor qotol daiin dal
G630-P009	G630-E038	f22r	f22r.2	SEPARATE_D_VALUE	qokchol	III	cthor	BLATT_KRAUTTEIL_FAMILY	ROOT_FAMILY_VARIANT	GDT625_CTH_ROOT_FAMILY	RIGHT	2	VALUE_EXPRESSION_BEFORE_PART	0	1	qokchol daiin cthor	qokcholdaiincthor	Blatt-/Krautteilform nahe im qo-Qualitätsrahmen: heiß-trocken, Grad III; Bindung offen	Blatt-/Krautteilform: 3 Portionen/Maße oder Qualitätsgrad III	0	0	NEAR_PART_CONTACT__NO_BINDING_ASSUMED	ol oiin shol o kor qokchol daiin okaiin cthor dain ckhy dom
G630-P010	G630-E040	f22r	f22r.10	SEPARATE_D_VALUE	chor	III	cthoiin	BLATT_KRAUTTEIL_FAMILY	ROOT_FAMILY_VARIANT	GDT625_CTH_ROOT_FAMILY	RIGHT	1	VALUE_EXPRESSION_BEFORE_PART	1	0	chor daiin cthoiin	chordaiincthoiin	Blatt-/Krautteilform: Teil-/Nominalträger, Wert III; Qualität offen	Blatt-/Krautteilform: 3 Portionen/Maße oder Qualitätsgrad III	1	1	IMMEDIATE_PART_WITH_OPEN_VALUE_HEAD	kchol chor daiin cthoiin dchor chey qokol dy opchol oldam
