complete_action_ordinal	host_ordinal_global	statement_id	host_ordinal_in_statement	physical_page	primary_governor_key	anchor_event_id	action_slot_id	action_root	gdt584_rule_id	completion_layer	written_carrier_count	written_carrier_roots	object_class	object_lemma_de	rendered_object_np_de	typing_card_id	reference_scope_card_id	reference_mode	source_pointer	gdt584_upstream_clause_de	gdt599_complete_clause_de	gdt599_new_completion
1	1717	G407-S082	1	f75r	ACTION:G407-E1425@1:K	G407-E1425	RUNNING:G407-E1425@1	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	STATION	Stationsansatz	den Stationsansatz	T04_RIGHT_SAME_EVENT_WRITTEN	Q02_RIGHT_DEFINITE	DEFINITE	ACTION:G407-E1425@2:CHD	Führe zu	Führe den Stationsansatz zu	YES
2	1718	G407-S082	2	f75r	ACTION:G407-E1425@2:CHD	G407-E1425	RUNNING:G407-E1425@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1425@2:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
3	1719	G407-S082	3	f75r	ACTION:G407-E1425@4:K	G407-E1425	RUNNING:G407-E1425@4	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1425@4:K	Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu	Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu	YES
4	1720	G407-S082	4	f75r	ACTION:G407-E1426@1:OK	G407-E1426	RUNNING:G407-E1426@1	OK	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1426@1:OK	Beschicke oder bereite den Stationsansatz auf Grad II vor	Beschicke oder bereite den Stationsansatz auf Grad II vor	YES
5	1721	G407-S082	5	f75r	ACTION:G407-E1427@1:OK	G407-E1427	RUNNING:G407-E1427@1	OK	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	STATION	Stationsansatz	denselben Stationsansatz	T05_LEFT_COMPATIBLE_STATE	Q01_LEFT_ANAPHORIC	ANAPHORIC	ACTION:G407-E1426@1:OK	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor	Beschicke oder bereite denselben Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken vor	YES
6	1722	G407-S082	6	f75r	ACTION:G407-E1428@2:K	G407-E1428	RUNNING:G407-E1428@2	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1428@2:K	Führe den Stationsansatz zu	Führe den Stationsansatz zu	YES
7	1723	G407-S082	7	f75r	ACTION:G407-E1429@1:CHD	G407-E1429	RUNNING:G407-E1429@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1429@1:CHD	Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken	Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken	NO
8	1725	G407-S082	9	f75r	ACTION:G407-E1431@1:SH	G407-E1431	RUNNING:G407-E1431@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	0	NONE	BODY	Körper	den Körper	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:BODY	Halte im Bad auf Grad I	Halte den Körper im Bad auf Grad I	NO
9	1727	G407-S083	1	f75r	ACTION:G407-E1433@1:SH	G407-E1433	RUNNING:G407-E1433@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	3	AIN+Y+Y	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1433:RUNNING:G407-E1432@1|RUNNING:G407-E1433@3|RUNNING:G407-E1434@2	Halte die Anwendungsportion und den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	Halte die Anwendungsportion und den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	NO
10	1728	G407-S083	2	f75r	ACTION:G407-E1435@1:S	G407-E1435	RUNNING:G407-E1435@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	0	NONE	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E1433@1:SH	Wähle die Einheit aus	Wähle denselben Stationsansatz aus	NO
11	1729	G407-S083	3	f75r	ACTION:G407-E1435@2:SH	G407-E1435	RUNNING:G407-E1435@2	SH	SH_REST_HOLD	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	STATION	Stationsansatz	denselben Stationsansatz	T05_LEFT_COMPATIBLE_STATE	Q01_LEFT_ANAPHORIC	ANAPHORIC	ACTION:G407-E1435@1:S	Halte den Zustand	Halte denselben Stationsansatz	YES
12	1734	G407-S084	1	f75r	ACTION:G407-E1437@1:CHD	G407-E1437	RUNNING:G407-E1437@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	1	Y	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1437@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
13	1735	G407-S084	2	f75r	ACTION:G407-E1437@3:K	G407-E1437	RUNNING:G407-E1437@3	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	STATION	Stationsansatz	denselben Stationsansatz	T05_LEFT_COMPATIBLE_STATE	Q01_LEFT_ANAPHORIC	ANAPHORIC	ACTION:G407-E1437@1:CHD	Führe von der Ausgangsstation oder aus dem Ausgangsbecken zu	Führe denselben Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu	YES
14	1736	G407-S084	3	f75r	ACTION:G407-E1438@1:CH	G407-E1438	RUNNING:G407-E1438@1	CH	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	STATION	Stationsansatz	denselben Stationsansatz	T05_LEFT_COMPATIBLE_STATE	Q01_LEFT_ANAPHORIC	ANAPHORIC	ACTION:G407-E1437@3:K	Entnimm oder lass ab	Entnimm oder lass denselben Stationsansatz ab	YES
15	1737	G407-S084	4	f75r	ACTION:G407-E1438@2:K	G407-E1438	RUNNING:G407-E1438@2	K	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	0	NONE	STATION	Stationsansatz	denselben Stationsansatz	T05_LEFT_COMPATIBLE_STATE	Q01_LEFT_ANAPHORIC	ANAPHORIC	ACTION:G407-E1438@1:CH	Führe auf Grad II zu	Führe denselben Stationsansatz auf Grad II zu	YES
16	1739	G407-S085	1	f75r	ACTION:G407-E1439@1:R	G407-E1439	RUNNING:G407-E1439@1	R	GDT582_RETAINED_NON_TARGET	GDT599_REMAINING_OBJECT_COMPLETION	1	OR	UNIT	Becken- oder Körpereinheit	die Becken- oder Körpereinheit	T01_OWN_WRITTEN_PARTICIPANT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1439@1:R	Kennzeichne oder prüfe die Becken- oder Körpereinheit	Kennzeichne oder prüfe die Becken- oder Körpereinheit	YES
