review_id	primary_governor_key	statement_id	physical_page	baseline_selection_route	baseline_source_pointer	baseline_object_class	baseline_object_lemma_de	final_selection_route	final_source_pointer	final_object_class	final_object_lemma_de	renderer_policy	reason_de	final_clause_de
W01	ACTION:G407-E2678@3:P	G407-S392	f77r	LEFT_COMPATIBLE_AFTER_OT_DY	ACTION:G407-E2677@1:SH	BODY	Körper	MANUAL_Q_INPUT_ROOT_DEFAULT	DEFAULT:P:PORTION	PORTION	Anwendungsportion	P_APPLY	Ein Körper wird nicht selbst zum neuen Stationsansatz; die sichtbare Anwendung nimmt eine Portion und schreibt danach das Resultat STATION.	Wende die Anwendungsportion auf Grad I an; übernimm das Ergebnis als neuen Bad- oder Stationsansatz
W02	ACTION:G407-E3251@3:P	G407-S509	f82r	OWN_WRITTEN_PARTICIPANT	ACTION:G407-E3251@3:P	UNIT	Becken- oder Körpereinheit	MANUAL_Q_UNIT_CONTENT	LOCAL_CONTENT:OR	PORTION	Inhalt der Becken- oder Körpereinheit	P_INSERT	Der Inhalt der geschriebenen Einheit wird zum neuen Ansatz, nicht der Behälter als solcher.	Setze den Inhalt der Becken- oder Körpereinheit in Anwendungsform ein; übernimm das Ergebnis als neuen Bad- oder Stationsansatz
W03	ACTION:G407-E2697@3:CH	G407-S392	f77r	RIGHT_SAME_EVENT_WRITTEN_PARTICIPANT	ACTION:G407-E2697@5:SH	BODY	Körper	MANUAL_PATH_FLOW_OVERRIDE	LOCAL_MODIFIER:CONTACT_OR_LINE	FLOW	Strom	CH_DRAIN_FLOW	Das explizite Kontakt- oder Leitungssignal macht in diesem zweiten CH-Schritt den abgelassenen Strom plausibler als den Körper.	Lass den Strom über den Stationskontakt oder die Leitung ab
W04	ACTION:G407-E2699@1:CH	G407-S392	f77r	LEFT_COMPATIBLE_AFTER_OT_DY	ACTION:G407-E2697@5:SH	BODY	Körper	MANUAL_PATH_FLOW_OVERRIDE	LOCAL_MODIFIER:CONTACT_OR_LINE	FLOW	Strom	CH_DRAIN_FLOW	Der sichtbare Leitungsweg bindet CH hier an den abgelassenen Strom statt an den älteren Körper.	Lass den Strom in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung ab
W05	ACTION:G407-E3466@2:CH	G407-S559	f83r	LEFT_COMPATIBLE_AFTER_OT_DY	ACTION:G407-E3465@1:SH	BODY	Körper	MANUAL_PATH_FLOW_OVERRIDE	LOCAL_MODIFIER:CONTACT_OR_LINE	FLOW	Strom	CH_DRAIN_FLOW	Der sichtbare Leitungsweg bindet CH hier an den abgelassenen Strom statt an den älteren Körper.	Lass den Strom über den Stationskontakt oder die Leitung ab
W06	ACTION:G407-E1566@2:CH	G407-S114	f75r	ROOT_DEFAULT	DEFAULT:CH:STATION	STATION	Stationsansatz	MANUAL_PATH_FLOW_OVERRIDE	LOCAL_MODIFIER:CONTACT_OR_LINE	FLOW	Strom	CH_DRAIN_FLOW	Ohne lokalen Teilnehmer konkretisiert das explizite Leitungsargument den CH-Default als Strom.	Lass den Strom über den Stationskontakt oder die Leitung ab
W07	ACTION:G407-E3236@2:CH	G407-S507	f82r	ROOT_DEFAULT	DEFAULT:CH:STATION	STATION	Stationsansatz	MANUAL_PATH_FLOW_OVERRIDE	LOCAL_MODIFIER:CONTACT_OR_LINE	FLOW	Strom	CH_DRAIN_FLOW	Ohne lokalen Teilnehmer konkretisiert das explizite Leitungsargument den CH-Default als Strom.	Lass den Strom in Anwendungsform und über den Stationskontakt oder die Leitung ab
W08	ACTION:G407-E3559@3:CH	G407-S583	f83r	ROOT_DEFAULT	DEFAULT:CH:STATION	STATION	Stationsansatz	MANUAL_PATH_FLOW_OVERRIDE	LOCAL_MODIFIER:CONTACT_OR_LINE	FLOW	Strom	CH_DRAIN_FLOW	Der Leitungsstrom ist der Eingang der sichtbaren Neuansatz-Transformation; erst danach wird STATION geschrieben.	Lass den Strom in Anwendungsform und über den Stationskontakt oder die Leitung ab; übernimm den Ablauf als neuen Bad- oder Stationsansatz
W09	ACTION:G407-E3711@1:CH	G407-S634	f83r	ROOT_DEFAULT	DEFAULT:CH:STATION	STATION	Stationsansatz	MANUAL_PATH_FLOW_OVERRIDE	LOCAL_MODIFIER:CONTACT_OR_LINE	FLOW	Strom	CH_DRAIN_FLOW	Ohne lokalen Teilnehmer konkretisiert das explizite Leitungsargument den CH-Default als Strom.	Lass den Strom in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung ab
W10	ACTION:G407-E2937@1:K	G407-S444	f81v	ROOT_DEFAULT	DEFAULT:K:STATION	STATION	Stationsansatz	MANUAL_TRANSIENT_MEASURE_HANDOFF	ACTION:G407-E2936@1:OK	MEASURE	abgemessene Menge	K_FEED_MEASURE	Die unmittelbar zuvor vorbereitete AIIN-Menge wird im nächsten Host entlang des Kanals zugeführt; dieser lokale Verbrauch schlägt den K-Default.	Führe dieselbe abgemessene Menge entlang des Stationswegs oder Kanals zu
W11	ACTION:G407-E2616@3:CH	G407-S377	f77r	LEFT_COMPATIBLE_AFTER_OT_DY	ACTION:G407-E2615@1:CHD	BODY_PART	Körperteil	MANUAL_SAMPLE_FROM_BODY_PART	LOCAL_SAMPLE:BODY_PART	PORTION	Probe	CH_SAMPLE	CH mit Arbeitsstelle und Kontakt/Leitung entnimmt hier eine Probe am Körperteil; das Körperteil selbst wird nicht herausgenommen.	Entnimm die Probe am selben Körperteil an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung
