review_ordinal	primary_governor_key	statement_id	physical_page	action_root	selection_route	source_pointer	object_class	object_lemma_de	review_reasons	completed_clause_de
1	ACTION:G407-E1456@1:OK	G407-S085	f75r	OK	LEFT_COMPATIBLE_AFTER_OT_DY	ACTION:G407-E1455@1:SH	BODY	Körper	CONCRETE_NONSTATION_OBJECT	Bereite denselben Körper vor
2	ACTION:G407-E1458@1:OK	G407-S085	f75r	OK	LEFT_COMPATIBLE_AFTER_OT_DY	ACTION:G407-E1457@1:SH	BODY	Körper	CONCRETE_NONSTATION_OBJECT	Bereite denselben Körper auf Grad II vor
3	ACTION:G407-E1478@1:OK	G407-S089	f75r	OK	ROOT_DEFAULT	DEFAULT:OK:STATION	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Beschicke oder bereite den Stationsansatz vor
4	ACTION:G407-E1494@1:OK	G407-S093	f75r	OK	RIGHT_SAME_EVENT_COMPLETED_OR_ROOT_DEFAULT	ACTION:G407-E1494@2:CHD	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Beschicke oder bereite den Stationsansatz vor
5	ACTION:G407-E1498@1:OK	G407-S095	f75r	OK	ROOT_DEFAULT	DEFAULT:OK:STATION	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Beschicke oder bereite den Stationsansatz in der bezeichneten Stationsart vor
6	ACTION:G407-E1527@1:R	G407-S101	f75r	R	LEFT_COMPATIBLE_AFTER_OT_DY	ACTION:G407-E1526@1:SH	BODY	Körper	CONCRETE_NONSTATION_OBJECT	Kennzeichne oder prüfe denselben Körper
7	ACTION:G407-E1532@2:SH	G407-S101	f75r	SH	LEFT_COMPATIBLE_AFTER_OT_DY	ACTION:G407-E1530@1:SH	BODY	Körper	CONCRETE_NONSTATION_OBJECT	Halte denselben Körper
8	ACTION:G407-E1544@1:K	G407-S109	f75r	K	RIGHT_SAME_EVENT_WRITTEN_PARTICIPANT	ACTION:G407-E1544@3:SH	BODY	Körper	CONCRETE_NONSTATION_OBJECT	Bringe den Körper auf Grad I ein
9	ACTION:G407-E1561@1:OK	G407-S111	f75r	OK	RIGHT_SAME_EVENT_COMPLETED_OR_ROOT_DEFAULT	ACTION:G407-E1561@2:CHD	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Beschicke oder bereite den Stationsansatz vor
10	ACTION:G407-E1564@1:OK	G407-S113	f75r	OK	ROOT_DEFAULT	DEFAULT:OK:STATION	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Beschicke oder bereite den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken vor
11	ACTION:G407-E1566@2:CH	G407-S114	f75r	CH	MANUAL_PATH_FLOW_OVERRIDE	LOCAL_MODIFIER:CONTACT_OR_LINE	FLOW	Strom	CONCRETE_NONSTATION_OBJECT	Lass den Strom über den Stationskontakt oder die Leitung ab
12	ACTION:G407-E1580@1:OK	G407-S116	f75r	OK	ROOT_DEFAULT	DEFAULT:OK:STATION	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Beschicke oder bereite den Stationsansatz an der Stations-Nebenstelle vor
13	ACTION:G407-E1590@1:OK	G407-S118	f75r	OK	ROOT_DEFAULT	DEFAULT:OK:STATION	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Beschicke oder bereite den Stationsansatz vor
14	ACTION:G407-E1621@1:K	G407-S119	f75r	K	LEFT_COMPATIBLE_AFTER_OT_DY	ACTION:G407-E1620@1:SH	BODY	Körper	CONCRETE_NONSTATION_OBJECT	Bringe denselben Körper von der Ausgangsstation oder aus dem Ausgangsbecken ein
15	ACTION:G407-E1625@1:K	G407-S119	f75r	K	RIGHT_SAME_EVENT_WRITTEN_PARTICIPANT	ACTION:G407-E1625@2:SH	BODY	Körper	CONCRETE_NONSTATION_OBJECT	Bringe den Körper ein
16	ACTION:G407-E1655@1:SH	G407-S122	f75r	SH	RIGHT_SAME_EVENT_WRITTEN_PARTICIPANT	ACTION:G407-E1655@2:T	BODY	Körper	CONCRETE_NONSTATION_OBJECT	Halte den Körper
17	ACTION:G407-E1657@1:P	G407-S122	f75r	P	ROOT_DEFAULT	DEFAULT:P:PORTION	PORTION	Anwendungsportion	WEAK_SOURCE_ROUTE	Wende die Anwendungsportion an
18	ACTION:G407-E1700@1:OK	G407-S131	f75r	OK	ROOT_DEFAULT	DEFAULT:OK:STATION	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Beschicke oder bereite den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken vor
19	ACTION:G407-E1736@1:OK	G407-S144	f75r	OK	ROOT_DEFAULT	DEFAULT:OK:STATION	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Beschicke oder bereite den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken vor
20	ACTION:G407-E1759@1:OK	G407-S151	f75r	OK	LEFT_COMPATIBLE_AFTER_OT_DY	ACTION:G407-E1758@3:T	BODY	Körper	CONCRETE_NONSTATION_OBJECT	Bereite denselben Körper auf Grad I vor
21	ACTION:G407-E1761@1:OK	G407-S153	f75r	OK	RIGHT_SAME_EVENT_COMPLETED_OR_ROOT_DEFAULT	ACTION:G407-E1761@3:CHD	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Beschicke oder bereite den Stationsansatz auf Grad I vor
22	ACTION:G407-E1781@1:R	G407-S168	f75r	R	RIGHT_SAME_EVENT_COMPLETED_OR_ROOT_DEFAULT	ACTION:G407-E1781@2:SH	PORTION	Anwendungsportion	WEAK_SOURCE_ROUTE	Kennzeichne oder prüfe die Anwendungsportion
23	ACTION:G407-E1826@1:SH	G407-S190	f75r	SH	ROOT_DEFAULT	DEFAULT:SH:CONDITION	CONDITION	Stationsbedingung	WEAK_SOURCE_ROUTE	Halte die Stationsbedingung aufrecht
24	ACTION:G407-E1827@1:OK	G407-S190	f75r	OK	ROOT_DEFAULT	DEFAULT:OK:STATION	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Beschicke oder bereite den Stationsansatz auf Grad I vor
25	ACTION:G407-E2393@1:P	G407-S311	f77r	P	RIGHT_SAME_EVENT_COMPLETED_OR_ROOT_DEFAULT	ACTION:G407-E2393@7:S	UNIT	Stationseinheit	WEAK_SOURCE_ROUTE	Setze die Stationseinheit an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken ein
26	ACTION:G407-E2397@3:P	G407-S311	f77r	P	LEFT_COMPATIBLE_AFTER_OT_DY	ACTION:G407-E2395@1:OK	STATION	Stationsansatz	Q_CIRCULAR_RIGHT_STATION_SUPPRESSED	Setze denselben Stationsansatz in Anwendungsform ein; übernimm das Ergebnis als neuen Bad- oder Stationsansatz
27	ACTION:G407-E2398@3:P	G407-S311	f77r	P	LEFT_COMPATIBLE_AFTER_OT_DY	ACTION:G407-E2397@4:CHD	STATION	Stationsansatz	Q_CIRCULAR_RIGHT_STATION_SUPPRESSED	Setze denselben Stationsansatz in Anwendungsform ein; übernimm das Ergebnis als neuen Bad- oder Stationsansatz
28	ACTION:G407-E2407@1:OK	G407-S313	f77r	OK	ROOT_DEFAULT	DEFAULT:OK:STATION	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Beschicke oder bereite den Stationsansatz vor
29	ACTION:G407-E2420@1:CH	G407-S318	f77r	CH	ROOT_DEFAULT	DEFAULT:CH:STATION	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Entnimm oder lass den Stationsansatz an der Stations-Nebenstelle ab
30	ACTION:G407-E2432@1:SH	G407-S323	f77r	SH	ROOT_DEFAULT	DEFAULT:SH:CONDITION	CONDITION	Stationsbedingung	WEAK_SOURCE_ROUTE	Halte die Stationsbedingung aufrecht
31	ACTION:G407-E2462@2:SH	G407-S335	f77r	SH	ROOT_DEFAULT	DEFAULT:SH:CONDITION	CONDITION	Stationsbedingung	WEAK_SOURCE_ROUTE	Halte die Stationsbedingung aufrecht
32	ACTION:G407-E2472@1:OK	G407-S340	f77r	OK	LEFT_COMPATIBLE_AFTER_OT_DY	ACTION:G407-E2471@3:T	BODY	Körper	CONCRETE_NONSTATION_OBJECT	Bereite denselben Körper auf Grad II vor
33	ACTION:G407-E2490@1:OK	G407-S345	f77r	OK	ROOT_DEFAULT	DEFAULT:OK:STATION	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Beschicke oder bereite den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken vor
34	ACTION:G407-E2518@1:OK	G407-S353	f77r	OK	LEFT_COMPATIBLE_AFTER_OT_DY	ACTION:G407-E2517@1:SH	BODY	Körper	CONCRETE_NONSTATION_OBJECT	Bereite denselben Körper auf Grad I vor
35	ACTION:G407-E2524@2:SH	G407-S355	f77r	SH	ROOT_DEFAULT	DEFAULT:SH:CONDITION	CONDITION	Stationsbedingung	WEAK_SOURCE_ROUTE	Halte die Stationsbedingung aufrecht
36	ACTION:G407-E2536@1:OK	G407-S358	f77r	OK	ROOT_DEFAULT	DEFAULT:OK:STATION	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Beschicke oder bereite den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken vor
37	ACTION:G407-E2538@1:OK	G407-S359	f77r	OK	ROOT_DEFAULT	DEFAULT:OK:STATION	STATION	Stationsansatz	WEAK_SOURCE_ROUTE	Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor
