transition_ordinal	primary_governor_key	statement_id	physical_page	action_root	completion_layer	input_object_class	input_object_lemma_de	result_object_class	result_object_lemma_de	commit_order	frame_q_changes_history
1	ACTION:G407-E2397@3:P	G407-S311	f77r	P	GDT599_REMAINING_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
2	ACTION:G407-E2398@3:P	G407-S311	f77r	P	GDT599_REMAINING_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
3	ACTION:G407-E2468@1:SH	G407-S340	f77r	SH	GDT598_RETAINED_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
4	ACTION:G407-E2585@3:T	G407-S370	f77r	T	GDT598_RETAINED_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
5	ACTION:G407-E2630@1:OK	G407-S381	f77r	OK	GDT599_REMAINING_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
6	ACTION:G407-E2678@3:P	G407-S392	f77r	P	GDT599_REMAINING_COMPLETION	PORTION	Anwendungsportion	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
7	ACTION:G407-E2809@3:P	G407-S414	f81r	P	GDT599_REMAINING_COMPLETION	PORTION	Anwendungsportion	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
8	ACTION:G407-E2832@3:P	G407-S424	f81r	P	GDT599_REMAINING_COMPLETION	PORTION	Anwendungsportion	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
9	ACTION:G407-E3014@3:P	G407-S455	f81v	P	GDT599_REMAINING_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
10	ACTION:G407-E3062@4:CHD	G407-S468	f81v	CHD	GDT598_RETAINED_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
11	ACTION:G407-E3105@3:CH	G407-S479	f81v	CH	GDT599_REMAINING_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
12	ACTION:G407-E3131@3:T	G407-S485	f81v	T	GDT598_RETAINED_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
13	ACTION:G407-E3177@3:SH	G407-S495	f82r	SH	GDT598_RETAINED_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
14	ACTION:G407-E3233@3:K	G407-S505	f82r	K	GDT599_REMAINING_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
15	ACTION:G407-E3251@3:P	G407-S509	f82r	P	GDT599_REMAINING_COMPLETION	PORTION	Inhalt der Becken- oder Körpereinheit	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
16	ACTION:G407-E3258@4:CHD	G407-S510	f82r	CHD	GDT598_RETAINED_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
17	ACTION:G407-E3377@4:S	G407-S535	f82r	S	GDT598_RETAINED_COMPLETION	UNIT	Stationseinheit	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
18	ACTION:G407-E3461@3:P	G407-S559	f83r	P	GDT599_REMAINING_COMPLETION	PORTION	Anwendungsportion	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
19	ACTION:G407-E3490@3:K	G407-S566	f83r	K	GDT599_REMAINING_COMPLETION	MEASURE	abgemessene Menge	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
20	ACTION:G407-E3512@2:SH	G407-S572	f83r	SH	GDT598_RETAINED_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
21	ACTION:G407-E3534@3:P	G407-S579	f83r	P	GDT599_REMAINING_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
22	ACTION:G407-E3535@3:P	G407-S579	f83r	P	GDT599_REMAINING_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
23	ACTION:G407-E3559@3:CH	G407-S583	f83r	CH	GDT599_REMAINING_COMPLETION	FLOW	Strom	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
24	ACTION:G407-E3626@3:T	G407-S600	f83r	T	GDT598_RETAINED_COMPLETION	STATION	Stationsansatz	STATION	Stationsansatz	READ_INPUT_THEN_COMMIT_RESULT	NO__ACTION_Q_ONLY
