statement_ordinal	statement_id	physical_page	register	owner_id	host_count	action_count	object_complete_action_count	remaining_action_gap_count	gdt599_new_completion_count	coverage_state	object_class_profile	gdt584_reader_de	gdt599_complete_reader_de	paragraph_count	paragraph_count_preserved
1	G407-S082	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	10	8	8	0	5	ALL_ACTIONS_OBJECT_COMPLETE	BODY:1|STATION:7	"Führe zu. Behandle den Stationsansatz. Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu. Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Führe den Stationsansatz zu. Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Beginne danach den nächsten Arbeitsgang.

Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Führe den Stationsansatz zu. Behandle den Stationsansatz. Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu. Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite denselben Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken vor. Führe den Stationsansatz zu. Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Beginne danach den nächsten Arbeitsgang.

Halte den Körper im Bad auf Grad I. Schließe den Arbeitsgang."	2	YES
2	G407-S083	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	7	3	3	0	1	ALL_ACTIONS_OBJECT_COMPLETE	STATION:3	Halte die Anwendungsportion und den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Wähle die Einheit aus. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Schließe den Arbeitsgang.	Halte die Anwendungsportion und den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Wähle denselben Stationsansatz aus. Halte denselben Stationsansatz. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Schließe den Arbeitsgang.	1	YES
3	G407-S084	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	5	4	4	0	3	ALL_ACTIONS_OBJECT_COMPLETE	STATION:4	Behandle den Stationsansatz. Führe von der Ausgangsstation oder aus dem Ausgangsbecken zu. Entnimm oder lass ab. Führe auf Grad II zu. Schließe den Arbeitsgang.	Behandle den Stationsansatz. Führe denselben Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu. Entnimm oder lass denselben Stationsansatz ab. Führe denselben Stationsansatz auf Grad II zu. Schließe den Arbeitsgang.	1	YES
4	G407-S085	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	20	18	18	0	13	ALL_ACTIONS_OBJECT_COMPLETE	BODY:4|PORTION:4|STATION:8|UNIT:2	Kennzeichne oder prüfe die Becken- oder Körpereinheit. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass die Becken- oder Körpereinheit und den Stationsansatz auf Grad I und zur Zielstation oder ins Zielbecken ab. Führe die Anwendungsportion zu. Halte im Bad auf Grad II. Führe den Stationsansatz zu. Reguliere die Anwendungsportion über den Stationskontakt oder die Leitung. Fahre im selben Arbeitsgang fort. Führe die Becken- oder Körpereinheit von der Ausgangsstation oder aus dem Ausgangsbecken zu. Entnimm oder lass im zweiten Durchgang ab. Führe den Stationsansatz zu. Führe in Anwendungsform, an der Stations-Nebenstelle und über den Stationskontakt oder die Leitung zu. Führe den Stationsansatz auf Grad II zu. Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Führe den Stationsansatz zur Zielstation oder ins Zielbecken zu. Halte den Stationsansatz im Bad auf Grad I. Beschicke oder bereite vor. Halte den Stationsansatz im Bad auf Grad I. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.	Kennzeichne oder prüfe die Becken- oder Körpereinheit. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass die Becken- oder Körpereinheit und den Stationsansatz auf Grad I und zur Zielstation oder ins Zielbecken ab. Führe die Anwendungsportion zu. Halte dieselbe Anwendungsportion im Bad auf Grad II. Führe den Stationsansatz zu. Reguliere die Anwendungsportion über den Stationskontakt oder die Leitung. Fahre im selben Arbeitsgang fort. Führe die Becken- oder Körpereinheit von der Ausgangsstation oder aus dem Ausgangsbecken zu. Entnimm oder lass den Stationsansatz im zweiten Durchgang ab. Führe den Stationsansatz zu. Führe denselben Stationsansatz in Anwendungsform, an der Stations-Nebenstelle und über den Stationskontakt oder die Leitung zu. Führe den Stationsansatz auf Grad II zu. Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Führe den Stationsansatz zur Zielstation oder ins Zielbecken zu. Halte den Körper im Bad auf Grad I. Bereite denselben Körper vor. Halte den Körper im Bad auf Grad I. Bereite denselben Körper auf Grad II vor. Schließe den Arbeitsgang.	1	YES
5	G407-S086	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	10	6	6	0	5	ALL_ACTIONS_OBJECT_COMPLETE	BODY:1|PORTION:2|STATION:3	Halte den Stationsansatz im Bad auf Grad I. Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I zu. Kennzeichne oder prüfe die Anwendungsportion. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Schließe den Arbeitsgang.	Halte den Körper im Bad auf Grad I. Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu. Entnimm oder lass den Stationsansatz ab. Führe den Stationsansatz auf Grad I zu. Kennzeichne oder prüfe die Anwendungsportion. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Halte dieselbe Anwendungsportion. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Schließe den Arbeitsgang.	1	YES
6	G407-S087	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	13	11	11	0	10	ALL_ACTIONS_OBJECT_COMPLETE	PORTION:1|STATION:9|UNIT:1	Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite den Stationsansatz vor. Wende den Stationsansatz an. Führe die Becken- oder Körpereinheit auf Grad II zu. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken zu. Beschicke oder bereite den Stationsansatz auf Grad I vor. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Entnimm oder lass ab. Reguliere den Stationsansatz. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite den Stationsansatz vor. Wende den Stationsansatz an. Führe die Becken- oder Körpereinheit auf Grad II zu. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken zu. Beschicke oder bereite den Stationsansatz auf Grad I vor. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass den Stationsansatz ab. Entnimm oder lass den Stationsansatz ab. Reguliere den Stationsansatz. Beschicke oder bereite denselben Stationsansatz auf Grad II vor. Schließe den Arbeitsgang.	1	YES
7	G407-S088	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	4	3	3	0	2	ALL_ACTIONS_OBJECT_COMPLETE	STATION:3	Beschicke oder bereite den Stationsansatz vor. Wende an. Behandle den Ansatz. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz vor. Setze denselben Stationsansatz ein. Behandle denselben Stationsansatz. Schließe den Arbeitsgang.	1	YES
8	G407-S089	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	3	2	2	0	2	ALL_ACTIONS_OBJECT_COMPLETE	STATION:2	Beschicke oder bereite vor. Halte den Zustand. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz vor. Halte denselben Stationsansatz. Schließe den Arbeitsgang.	1	YES
9	G407-S090	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	9	7	7	0	3	ALL_ACTIONS_OBJECT_COMPLETE	STATION:7	Reguliere den Stationsansatz und die Anwendungsportion. Behandle den Stationsansatz. Beschicke oder bereite den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung vor. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz. Beschicke oder bereite den Stationsansatz vor. Wähle die Becken- oder Körpereinheit und den Stationsansatz aus. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Schließe den Arbeitsgang.	Reguliere den Stationsansatz und die Anwendungsportion. Behandle den Stationsansatz. Beschicke oder bereite den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung vor. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz. Beschicke oder bereite den Stationsansatz vor. Wähle die Stationseinheit und den Stationsansatz aus. Beschicke oder bereite denselben Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken vor. Schließe den Arbeitsgang.	1	YES
10	G407-S091	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	8	7	7	0	5	ALL_ACTIONS_OBJECT_COMPLETE	PORTION:1|STATION:6	Halte im Bad auf Grad I und an der Stations-Arbeitsstelle. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Führe den Stationsansatz zu. Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	Halte den Stationsansatz im Bad auf Grad I und an der Stations-Arbeitsstelle. Entnimm oder lass den Stationsansatz ab. Führe den Stationsansatz zu. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass den Stationsansatz ab. Führe den Stationsansatz zu. Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	1	YES
