prompt_id	fresh_prompt_de	requested_recipe	encoding_mode	selected_card_sequence	selected_surface_families	output_component_sequence	card_count	requested_components_covered	requested_order_is_subsequence	added_components	reordering	observed_same_statement_pair_support	boundary_rule	compact_workshop_reading_de	fluent_paraphrase_de	new_card_or_surface_invented
P01	Diesen Posten ansetzen.	OK+Y	DIRECT_EXISTING_CARD	PROC008	choky|oky|qoky	OK+Y	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	ANSETZEN · DIES	Diesen Posten ansetzen.	NO
P02	Das vorgeschriebene Mass ansetzen.	OK+AIIN	DIRECT_EXISTING_CARD	PROC038	okaiin|qokaiin	OK+AIIN	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	ANSETZEN · MASS	Das vorgeschriebene Mass ansetzen.	NO
P03	Eine Portion ansetzen.	OK+AIN	DIRECT_EXISTING_CARD	PROC080	okain|qokain	OK+AIN	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	ANSETZEN · PORTION	Eine Portion ansetzen.	NO
P04	An der Zielstelle ansetzen.	OK+AL	DIRECT_EXISTING_CARD	PROC048	okal|qokal	OK+AL	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	ANSETZEN · ZIEL	An der Zielstelle ansetzen.	NO
P05	Aus der Quelle ansetzen.	OK+AR	DIRECT_EXISTING_CARD	PROC113	qokar	OK+AR	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	ANSETZEN · QUELLE	Aus der Quelle ansetzen.	NO
P06	Den Lauf in Gang setzen.	OK+AIR	DIRECT_EXISTING_CARD	PROC138	okair	OK+AIR	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	ANSETZEN · LAUF	Den Lauf in Gang setzen.	NO
P07	Kurz ansetzen und den Schritt schliessen.	OK+E+DY	DIRECT_EXISTING_CARD	PROC067	qokedy	OK+E+DY	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	ANSETZEN · KURZ · SCHLUSS	Kurz ansetzen und den Schritt schliessen.	NO
P08	Laenger ansetzen und den Schritt schliessen.	OK+EE+DY	DIRECT_EXISTING_CARD	PROC100	qokeedy	OK+EE+DY	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	ANSETZEN · LANG · SCHLUSS	Laenger ansetzen und den Schritt schliessen.	NO
P09	Vollstaendig ansetzen und den Schritt schliessen.	OK+EEE+DY	DIRECT_EXISTING_CARD	PROC119	qokeeedy	OK+EEE+DY	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	ANSETZEN · VOLL · SCHLUSS	Vollstaendig ansetzen und den Schritt schliessen.	NO
P10	Diesen Posten laenger halten.	SH+EE+Y	DIRECT_EXISTING_CARD	PROC031	cheey|shey	SH+EE+Y	1	YES	YES	NONE	NONE	NA	SINGLE_CARD	HALTEN · LANG · DIES	Diesen Posten laenger halten.	NO
