commission_event	statement_no	owner_id	error_copy_surface	decoded_card	decoded_recipe	decoded_reading_de	expected_card	is_error	corrected_surface	corrected_card	repair_restores_expected_card
CE01	C01	PLANT_OWNER	daiin	PROC009	AIIN	MASS	PROC009	NO	daiin	PROC009	YES
CE02	C01	PLANT_OWNER	qoky	PROC008	OK+Y	ANSETZEN · DIES	PROC008	NO	qoky	PROC008	YES
CE03	C02	PLANT_OWNER	choy	PROC056	HO+Y	ZUTAT · DIES	PROC056	NO	choy	PROC056	YES
CE04	C02	PLANT_OWNER	chor	PROC016	OR	ANSATZ	PROC016	NO	chor	PROC016	YES
CE05	C03	PLANT_OWNER	lsho	PROC084	LSH+O	WASCHEN · GANG	PROC084	NO	lsho	PROC084	YES
CE06	C03	PLANT_OWNER	tshey	PROC122	SH+E+Y	HALTEN · KURZ · DIES	PROC031	YES	shey	PROC031	YES
CE07	C04	PLANT_OWNER	cfhy	PROC028	CFH+Y	AUSWRINGEN · DIES	PROC028	NO	cfhy	PROC028	YES
CE08	C04	PLANT_OWNER	shedy	PROC078	SHED+DY	ABSETZEN · SCHLUSS	PROC078	NO	shedy	PROC078	YES
CE09	C05	BASIN_STATION	daiin	PROC009	AIIN	MASS	PROC009	NO	daiin	PROC009	YES
CE10	C05	BASIN_STATION	qokar	PROC113	OK+AR	ANSETZEN · QUELLE	PROC048	YES	qokal	PROC048	YES
CE11	C06	BASIN_STATION	chldaiin	PROC147	L+AIIN	WEITERLEITEN · MASS	PROC147	NO	chldaiin	PROC147	YES
CE12	C06	BASIN_STATION	dairydy	PROC162	AIR+Y+DY	LAUF · DIES · SCHLUSS	PROC150	YES	schedair	PROC150	YES
CE13	C07	BASIN_STATION	cheky	PROC083	CHK+E+Y	WAERMEN · KURZ · DIES	PROC083	NO	cheky	PROC083	YES
CE14	C07	BASIN_STATION	ody	PROC041	O+DY	GANG · SCHLUSS	PROC041	NO	ody	PROC041	YES
