station_owner	page	records	field_count	owner_statuses	technical_operational_reading	medical_reading	iconographic_or_formal_reading	actual_visible_contact	required_disconnection_or_reset	r3_local_lead	confidence	semantic_ceiling
B1_SHARED_TWO_ROW_POOL	f81v	B1	24	INHERITED_VISIBLE|PAGE_OWNER_ONLY	Belegungs-, Wasserstands-, Zeit- und Reinigungsregister eines gemeinsam bedienten Badefeldes	gemeinsames therapeutisches Bad mit patienten- oder indikationsbezogenen Plätzen	allegorisches Kollektivbild oder geordnete Figurentafel ohne ausführbare Badhandlung	Alle ungefähr sechzehn Figuren liegen in derselben grünen Umgrenzung; keine Reihenfolge ist gezeichnet.	Keine Bildkante verbindet dieses Feld mit f82r oder f83r.	OPERATIONAL_AND_MEDICAL_BATH_READINGS_BOTH_OPEN	MEDIUM	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
B2_UPPER_PAIRED_BASINS_AND_CYLINDER	f82r	B2	8	DIRECT_VISIBLE|INHERITED_VISIBLE	parallel geführte Beckenposten mit gemeinsam geprüftem Mittelzylinder und lokalen Anschlussbögen	zwei örtliche therapeutische Bade- oder Applikationsplätze mit gemeinsamem Vorratsgefäß	benachbarte Figuren-, Bogen- und Zylindervignetten ohne gemeinsame Bedienung	Bögen treffen den Mittelzylinder und eine Hand hält ein Bogenende; die Richtung bleibt offen.	Vor der mittleren linken Station beginnt ein neuer sichtbarer Besitzer.	LOCAL_APPARATUS_OPERATION_LEAD	MEDIUM	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	f82r	B2	4	DIRECT_VISIBLE|INHERITED_VISIBLE	Prüf- und Wartungsposten für Handgerät, Ring-/Fächerform und durchlaufenden lokalen Knoten	örtliche Dampf-, Sprüh- oder Waschbehandlung an einer Figur	ikonographischer Strahl, Stern oder Schmuckband mit beigeschriebener Legende	Wellenlinien setzen am Handgerät an; der Doppelstrich läuft durch den Sternknoten, aber ohne Pfeil.	Die nahe Linie über dem rechten Liegepodest berührt es nicht sicher.	LOCAL_DEVICE_OPERATION_SLIGHT_LEAD	MEDIUM	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	f82r	B2	2	UNRESOLVED	gesperrter Werkstattposten, der Linie und Liegepodest getrennt hält, bis das Exemplar den Besitzer nennt	unabhängiger Liege-, Ruhe- oder Behandlungsposten	Fortsetzung der Inline-Legende oder bloße freie Texttasche	Linie und Podest sind nur nahe; ein tatsächlicher Kontakt ist nicht sichtbar gesichert.	Kein Stoff- oder Arbeitsstand darf über diesen ungelösten Besitzer hinweg vererbt werden.	FORMAL_QUARANTINE_LEAD	MEDIUM	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
B2_LOWER_GREEN_MULTI_FIGURE_POOL	f82r	B2	3	DIRECT_VISIBLE|INHERITED_VISIBLE	Belegungs-, Reinigungs- und Losregister eines gemeinsamen unteren Bade- oder Waschfeldes	Gruppenbad oder Reihenfolge örtlicher therapeutischer Anwendungen	allegorisches Mehrfigurenfeld mit unabhängigen Bildrollen	Mehrere Figuren schneiden dieselbe grüne Fläche; lokale Plätze sind sichtbar, aber kein Rundlauf.	Der Übergang von der ungelösten mittleren Station und zu den Randposten wird jeweils neu gesetzt.	OPERATIONAL_AND_MEDICAL_POOL_READINGS_BOTH_OPEN	MEDIUM	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
B2_LOWER_POOL_EDGE_STATIONS	f82r	B2	9	DIRECT_VISIBLE|INHERITED_VISIBLE	einzeln geführte Randposten für Gefäß, Tuch, Platz und Abschluss am gemeinsamen Feld	einzelne therapeutische Anwendungen an Figuren am Beckenrand	wiederholte ikonographische Figurenplätze ohne gemeinsame Betriebsfunktion	Gefäße und Figuren liegen am Feldrand; keine Leitung koppelt die einzelnen Plätze.	Das gemeinsame grüne Feld darf nicht automatisch jeden Randposten speisen.	LOCAL_STATION_REGISTER_LEAD	MEDIUM	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
B3_UPPER_MARGIN_OPEN_FAN_STATION	f83r	B3	4	DIRECT_VISIBLE|INHERITED_VISIBLE	lokaler Kontroll-, Tuch- oder Auffangposten an einem offenen Endmotiv	örtliche Kopf-, Dampf- oder Spülbehandlung an der oberen Randfigur	Strahlen- oder Fächerattribut mit zugehöriger Legende	Figur und offenes Fächermotiv gehören lokal zusammen; die offenen Enden geben keine Richtung.	Zur mittleren Rundgefäßstation besteht keine gezeichnete Leitung.	ICONOGRAPHIC_AND_OPERATIONAL_TIE	MEDIUM	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	f83r	B3	5	DIRECT_VISIBLE|INHERITED_VISIBLE	einzeln geführter Füll-, Ruhe-, Reinigungs- und Abschlussplatz eines Rundgefäßes	Einzelbad oder örtliche therapeutische Anwendung im runden Gefäß	selbständige Figurenvignette oder Bildlegende innerhalb eines Dreierstapels	Figur und Rundgefäß bilden eine lokale Station; zum oberen und unteren Posten fehlt die Leitung.	Kein Zustand geht ohne neuen Besitzer an die Korbstation weiter.	LOCAL_BATH_OR_VESSEL_OPERATION_LEAD	MEDIUM	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
B3_LOWER_MARGIN_BASKET_VESSEL_STATION	f83r	B3	7	DIRECT_VISIBLE|INHERITED_VISIBLE	lokaler Lade-, Wasch-, Abtropf- und Vorratsposten eines korbartigen Behälters	Einzelbad, Kräuterauflage oder örtliche Waschbehandlung	dritte Figurenvignette eines ikonographischen Randstapels	Figur und Korb-/Schuppenform sind lokal gebunden; freie Striche enden offen.	Nach F086 folgt eine echte unverbundene Bildlücke.	LOCAL_VESSEL_OPERATION_LEAD	MEDIUM	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	f83r	B3	12	UNRESOLVED	Quarantäne- und Warteposten im Register; Werte werden notiert, aber keiner Bildstation physisch übergeben	ausgelassene Fortsetzung einer Randbehandlung oder Beginn der Hauptpaaranwendung	freier Text-/Exemplarbereich ohne rekonstruierbaren Bildbesitzer	Zwischen Randstapel und Hauptpaar ist keine gezeichnete Kante vorhanden.	F087 beginnt und F099 beendet die ungelöste Zone jeweils mit sichtbarem Reset.	FORMAL_QUARANTINE_LEAD	LOW	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
B3_MAIN_ARCH_LINKED_PAIR	f83r	B3	10	DIRECT_VISIBLE|INHERITED_VISIBLE	gekoppelter Vergleichs- oder Doppelbedienposten mit zwei Seiten unter einem ungerichteten Bogen	paarige therapeutische Bade- oder Übertragungsdarstellung	zwei Figuren unter Regenbogen- oder Himmelsband	Der breite Bogen verbindet beide Figuren tatsächlich; Quelle, Senke und Richtung fehlen.	Die vorausgehende ungelöste Zone wird vor F099 vollständig verlassen.	UNORIENTED_PAIRED_STATION_LEAD	MEDIUM	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
B4_MAIN_ARCH_LINKED_PAIR	f83r	B4	11	DIRECT_VISIBLE|INHERITED_VISIBLE	neue Doppelstationsbuchung für zwei unter einem sichtbaren Bogen gekoppelte Plätze	therapeutische Paaranwendung oder gemeinsamer Badeabschnitt	dekoratives Figurenpaar unter einem Bogen	Beide Seiten teilen den sichtbaren Bogen; B4 beginnt trotzdem mit geleerten Registern.	Der spätere Wechsel zu den Unterläufen setzt neue lokale Besitzer.	UNORIENTED_PAIRED_STATION_LEAD	MEDIUM	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
B4_MAIN_LEFT_OPEN_FRINGE_STATION	f83r	B4	6	DIRECT_VISIBLE|INHERITED_VISIBLE	lokaler Sammel-, Ablass-, Tuch- und Wartungsposten an mehreren offenen Enden	örtliche Ableitung, Waschung oder Auflage an der linken Figur	ornamentaler Schweif oder Fransensaum	Der gefüllte Unterlauf setzt am linken Gefäß an und endet offen; die Betriebsrichtung bleibt unbekannt.	Der Record setzt den Unterlauf als neuen Besitzer und später den rechten S-Lauf nochmals neu.	LOCAL_OUTLET_MAINTENANCE_LEAD	MEDIUM	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	f83r	B4	3	DIRECT_VISIBLE|INHERITED_VISIBLE	lokaler Mehranschluss-Prüf-, Verteil- oder Sammelposten ohne festgelegte Strömungsrichtung	mehrfache örtliche Anwendung oder Ableitung an der rechten Figur	Band- oder Rosettenornament mit beigeschriebener Legende	Die S-Kontur trifft sichtbar den blauen Mehrarmknoten; alle Arme bleiben ungerichtet.	Kein unmittelbarer Besitzerübergang vom linken Fransenposten ist gezeichnet.	LOCAL_MULTIPORT_OPERATION_LEAD	MEDIUM	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
B5_LEFT_OPEN_FRINGE_STATION	f83r	B5	5	DIRECT_VISIBLE|INHERITED_VISIBLE	selbständige Wartungs-, Auffang- und Abschlussbuchung nur für den linken offenen Posten	selbständige linke therapeutische Ableitung oder Waschung	isolierte Bildlegende zum linken Ornament	Lauf und freie Enden bilden lokal eine sichtbare Figur; keine Richtung ist markiert.	B5 endet vollständig; B6 darf nichts aus ACTIVE, TARGET oder PREVIOUS übernehmen.	LOCAL_END_STATION_REGISTER_LEAD	MEDIUM	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
B6_RIGHT_S_RUN_MULTIPORT_STATION	f83r	B6	2	DIRECT_VISIBLE|INHERITED_VISIBLE	selbständige Prüf-, Ziel- und Abschlussbuchung nur für den rechten Mehrarmknoten	selbständige rechte therapeutische Anwendung oder Ableitung	isolierte Bildlegende zum S-Band und Knotenornament	S-Lauf und Mehrarmknoten sind lokal verbunden, aber weder Arm noch Flussrichtung ist ausgezeichnet.	B6 beginnt nach einem harten Recordreset und erbt keinen B5-Wert.	LOCAL_MULTIPORT_REGISTER_LEAD	MEDIUM	STATION_COMPARISON_NOT_DOMAIN_OR_MEANING_ASSIGNMENT
