statement_id	record_unit_id	page	constituent_fields	event_count	event_serials	owner_bindings	owner_transition	concrete_station_statement	medical_statement_rival	formal_statement_rival	repair_cost_0_4	line_crossing	hardest_contradiction	direction_guard	semantic_ceiling
B1-S001	B1	f81v	F021	1	101	F021=PAGE_OWNER_ONLY:B1_SHARED_TWO_ROW_POOL	RESET_RECORD -> SET_PAGE_OWNER[F021:PAGE_OWNER_ONLY:B1_SHARED_TWO_ROW_POOL]	Eröffne Buchung `B1-S001` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: schließe den lokalen Spül-/Endposten `B1-S001:TERMINAL_FLUSH_01` ab; erzeuge kein Folgeziel. Endstand nur in B1: ACTIVE `B1:I001`, TARGET `B1:T001`, PREVIOUS `UNSET`.	[EXEMPLAR:A004+A005+A009+A011+A014+A015+A020:spüle die bezeichnete Stelle einmal und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	0	NO:f81v.2	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S002	B1	f81v	F022|F023	19	102|103|104|105|106|107|108|109|110|111|112|113|114|115|116|117|118|119|120	F022=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL > F023=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F022:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL] -> INHERIT_OWNER[F023:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S002` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: trage den Masterwert `B1-S002:PARAMETER_ASSIGN_01` als örtliches Stationsmaß oder Dauer ein; setze den lokalen Zielslot `B1:T005` aus `B1-S002:TARGET_ASSIGN_01`; verknüpfe den laufenden Recordposten `B1:I002` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt; setze den lokalen Zielslot `B1:T005` aus `B1-S002:TARGET_ASSIGN_02`; verknüpfe den laufenden Recordposten `B1:I002` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt; wähle ausschließlich den vorigen Posten `B1:I001` desselben Records; verknüpfe den laufenden Recordposten `B1:I002` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt; trage den Masterwert `B1-S002:PARAMETER_ASSIGN_02` als örtliches Stationsmaß oder Dauer ein; trage den Masterwert `B1-S002:PARAMETER_ASSIGN_03` als örtliches Stationsmaß oder Dauer ein. Endstand nur in B1: ACTIVE `B1:I002`, TARGET `B1:T005`, PREVIOUS `B1:I001`.	[EXEMPLAR:A001+A002+A003+A004+A005+A007+A008+A009+A010+A011+A012+A013+A014+A015+A020:beginne den nächsten abgemessenen Posten ; der zurücklaufende Strom ; mische beide Anteile zusammen ; Daraus, aus demselben Ansatz ; Mit der vorigen Zubereitung weiter ; ein abgemessener Anteil ; das untere Becken ; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bevor es abkühlt ; der vorbereitete Bade- oder Waschzusatz; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	2	YES:f81v.2→f81v.7; CLAUSE_CONTINUES_ACROSS_PHYSICAL_LINES	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S003	B1	f81v	F024|F025	2	121|122	F024=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL > F025=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F024:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL] -> INHERIT_OWNER[F025:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S003` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: verknüpfe den laufenden Recordposten `B1:I002` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt. Endstand nur in B1: ACTIVE `B1:I002`, TARGET `B1:T005`, PREVIOUS `B1:I001`.	[EXEMPLAR:A007+A008+A009+A011+A012+A013+A020:Mit der vorigen Zubereitung weiter; halte es warm und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	2	YES:f81v.7→f81v.17; CLAUSE_CONTINUES_ACROSS_PHYSICAL_LINES	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S004	B1	f81v	F026	3	123|124|125	F026=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F026:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S004` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: verknüpfe den laufenden Recordposten `B1:I002` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt. Endstand nur in B1: ACTIVE `B1:I002`, TARGET `B1:T005`, PREVIOUS `B1:I001`.	[EXEMPLAR:A007+A009+A010+A011+A012+A013+A020:rühre, bis alles gleichmäßig vermischt ist ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	1	NO:f81v.17	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S005	B1	f81v	F027	1	126	F027=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F027:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S005` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: kopiere den vollständigen typisierten Wert `EXEMPLAR_ENTRY_B1-S005` aus dem Master; buche ihn recordlokal als ACTIVE `B1:I002` und gegebenenfalls Ziel `B1:T006`. Endstand nur in B1: ACTIVE `B1:I002`, TARGET `B1:T006`, PREVIOUS `B1:I001`.	[EXEMPLAR:A002+A004+A011+A013+A020:stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	2	NO:f81v.17	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S006	B1	f81v	F028	4	127|128|129|130	F028=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F028:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S006` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: kopiere den vollständigen typisierten Wert `EXEMPLAR_ENTRY_B1-S006` aus dem Master; buche ihn recordlokal als ACTIVE `B1:I002` und gegebenenfalls Ziel `B1:T007`. Endstand nur in B1: ACTIVE `B1:I002`, TARGET `B1:T007`, PREVIOUS `B1:I001`.	[EXEMPLAR:A001+A002+A005+A007+A008+A010+A011+A012+A015+A020:gib einen abgemessenen Anteil in das Gefäß ; durch die verbundenen Läufe ; der vorbereitete Bade- oder Waschzusatz ; und lasse es abkühlen]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	2	NO:f81v.17	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S007	B1	f81v	F029	1	131	F029=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F029:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S007` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: kopiere den vollständigen typisierten Wert `EXEMPLAR_ENTRY_B1-S007` aus dem Master; buche ihn recordlokal als ACTIVE `B1:I003` und gegebenenfalls Ziel `B1-S007:TARGET_UNSET`. Endstand nur in B1: ACTIVE `B1:I003`, TARGET `UNSET`, PREVIOUS `B1:I002`.	[EXEMPLAR:A008+A009+A011+A020:erwärme es einmal und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	2	NO:f81v.18	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S008	B1	f81v	F030	5	132|133|134|135|136	F030=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F030:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S008` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: verknüpfe den laufenden Recordposten `B1:I003` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt; verknüpfe den laufenden Recordposten `B1:I003` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt. Endstand nur in B1: ACTIVE `B1:I003`, TARGET `UNSET`, PREVIOUS `B1:I002`.	[EXEMPLAR:A007+A009+A010+A011+A012+A013+A020:Diese aktive Portion ; Mit der vorigen Zubereitung weiter ; bei sanfter Wärme ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	1	NO:f81v.18	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S009	B1	f81v	F031	1	137	F031=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F031:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S009` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: schließe den lokalen Spül-/Endposten `B1-S009:TERMINAL_FLUSH_01` ab; erzeuge kein Folgeziel. Endstand nur in B1: ACTIVE `B1:I003`, TARGET `B1:T008`, PREVIOUS `B1:I002`.	[EXEMPLAR:A004+A005+A009+A011+A014+A015+A020:spüle die bezeichnete Stelle einmal und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	0	NO:f81v.18	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
B1-S010	B1	f81v	F032	1	138	F032=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F032:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	Fortschreibe Buchung `B1-S010` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: schließe den lokalen Spül-/Endposten `B1-S010:TERMINAL_FLUSH_01` ab; erzeuge kein Folgeziel. Endstand nur in B1: ACTIVE `B1:I003`, TARGET `B1:T009`, PREVIOUS `B1:I002`.	[EXEMPLAR:A004+A005+A009+A011+A014+A015+A020:spüle die bezeichnete Stelle einmal und beende den Schritt]	Opake Feldfolge am sichtbaren lokalen Besitzer abschreiben und nur Commit/Reset rücklesen.	0	NO:f81v.18	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt.	BREAK_AT_VISIBLE_GAP; NEVER_INFER_PAGE_WIDE_FLOW	STATION_STATEMENT_MASTER_EXEMPLAR_NOT_DECIPHERMENT
