bio_statement_row	statement_id	record_unit_id	page	constituent_fields	event_count	event_serials	owner_sequence	internal_owner_reset	literal_exact_card_sequence	continuous_local_statement	v72_selected_paraphrase	medical_application_reading	bathhouse_operation_rival	iconographic_formal_rival	repair_cost_0_4	line_crossing	contradiction	global_flow_claim	semantic_ceiling
1	B1-S001	B1	f81v	F021	1	101	B1_SHARED_TWO_ROW_POOL	NO	E101:7db18b2f0fb7ed0fcfd3	Setze den lokalen Besitzer [B1_SHARED_TWO_ROW_POOL] (gemeinsame zweireihige Figuren-/Beckenstation auf f81v): Spüle die bezeichnete Stelle oder den lokalen Lauf mit der aktiven Waschflotte.	Eröffne Buchung `B1-S001` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: schließe den lokalen Spül-/Endposten `B1-S001:TERMINAL_FLUSH_01` ab; erzeuge kein Folgeziel. Endstand nur in B1: ACTIVE `B1:I001`, TARGET `B1:T001`, PREVIOUS `UNSET`.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	0	NO:f81v.2	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt. Globaler Fluss bleibt unbehauptet.	NONE	OWNER_BOUNDED_STATEMENT_EXPANSION_NOT_TRANSLATION
2	B1-S002	B1	f81v	F022|F023	19	102|103|104|105|106|107|108|109|110|111|112|113|114|115|116|117|118|119|120	B1_SHARED_TWO_ROW_POOL	NO	E102:b5fcea1eaed06b2f2291 > E103:22fb87a5a83e5c3fb510 > E104:308e8ea2d5d190c498e8 > E105:4d4559019a961b834aa1 > E106:dcda95c81a5460feb191 > E107:9da1b6ac2c929daea697 > E108:94df4847b7b16c98394a > E109:dd0ecaf5e27d81befffc > E110:dcda95c81a5460feb191 > E111:1496a731803a9f48d2e1 > E112:0f18de177ed7c878bf95 > E113:dec401773c1f0347793d > E114:dcda95c81a5460feb191 > E115:4eab1841ed655c20a348 > E116:2f1c5e56e8f0ff459065 > E117:93f69c38fdedee1598e9 > E118:2f1c5e56e8f0ff459065 > E119:2cc8bb3c2af19607888f > E120:259b2b3b0bf859882e2c	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. Verwende den im Exemplar als lokal zurücklaufend bezeichneten Strom nur innerhalb dieser Station. Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation. Nimm den nächsten Anteil aus demselben recordlokalen Ansatz. Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. Nimm einen abgemessenen Anteil des lokalen Postens. Verwende das im Exemplar bezeichnete untere Becken dieser lokalen Szene. Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation. Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. Führe den örtlichen Gebrauch aus, bevor der Posten abkühlt. Verwende den vorbereiteten Bade- oder Waschzusatz. An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Nimm den vorigen Posten innerhalb dieses Records wieder auf. Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. Nimm eine mäßige, im Exemplar bestimmte Menge. Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. Behandle den im Exemplar bezeichneten eingetauchten Teil. Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. Führe die Flüssigkeit nur durch die innerhalb dieser Station verbundenen Läufe. Spüle das benutzte Gefäß oder den lokalen Lauf einmal aus und beende den Schritt.	Fortschreibe Buchung `B1-S002` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: trage den Masterwert `B1-S002:PARAMETER_ASSIGN_01` als örtliches Stationsmaß oder Dauer ein; setze den lokalen Zielslot `B1:T005` aus `B1-S002:TARGET_ASSIGN_01`; verknüpfe den laufenden Recordposten `B1:I002` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt; setze den lokalen Zielslot `B1:T005` aus `B1-S002:TARGET_ASSIGN_02`; verknüpfe den laufenden Recordposten `B1:I002` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt; wähle ausschließlich den vorigen Posten `B1:I001` desselben Records; verknüpfe den laufenden Recordposten `B1:I002` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt; trage den Masterwert `B1-S002:PARAMETER_ASSIGN_02` als örtliches Stationsmaß oder Dauer ein; trage den Masterwert `B1-S002:PARAMETER_ASSIGN_03` als örtliches Stationsmaß oder Dauer ein. Endstand nur in B1: ACTIVE `B1:I002`, TARGET `B1:T005`, PREVIOUS `B1:I001`.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	2	YES:f81v.2→f81v.7; CLAUSE_CONTINUES_ACROSS_PHYSICAL_LINES	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt. Globaler Fluss bleibt unbehauptet.	NONE	OWNER_BOUNDED_STATEMENT_EXPANSION_NOT_TRANSLATION
3	B1-S003	B1	f81v	F024|F025	2	121|122	B1_SHARED_TWO_ROW_POOL	NO	E121:dcda95c81a5460feb191 > E122:54e32e9c1414b20640e9	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Halte den örtlichen Posten warm und beende den Schritt.	Fortschreibe Buchung `B1-S003` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: verknüpfe den laufenden Recordposten `B1:I002` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt. Endstand nur in B1: ACTIVE `B1:I002`, TARGET `B1:T005`, PREVIOUS `B1:I001`.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	2	YES:f81v.7→f81v.17; CLAUSE_CONTINUES_ACROSS_PHYSICAL_LINES	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt. Globaler Fluss bleibt unbehauptet.	NONE	OWNER_BOUNDED_STATEMENT_EXPANSION_NOT_TRANSLATION
4	B1-S004	B1	f81v	F026	3	123|124|125	B1_SHARED_TWO_ROW_POOL	NO	E123:6f7ff8287eddf4da9fdb > E124:dcda95c81a5460feb191 > E125:bc4f1f5c006c74a4d26d	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Rühre den lokalen Bade- oder Waschposten, bis er gleichmäßig vermischt ist. Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	Fortschreibe Buchung `B1-S004` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: verknüpfe den laufenden Recordposten `B1:I002` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt. Endstand nur in B1: ACTIVE `B1:I002`, TARGET `B1:T005`, PREVIOUS `B1:I001`.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	1	NO:f81v.17	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt. Globaler Fluss bleibt unbehauptet.	NONE	OWNER_BOUNDED_STATEMENT_EXPANSION_NOT_TRANSLATION
5	B1-S005	B1	f81v	F027	1	126	B1_SHARED_TWO_ROW_POOL	NO	E126:28ffbc88b97772a75f1e	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Stelle die Mischung im bedeckten örtlichen Auffanggefäß beiseite und beende den Schritt.	Fortschreibe Buchung `B1-S005` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: kopiere den vollständigen typisierten Wert `EXEMPLAR_ENTRY_B1-S005` aus dem Master; buche ihn recordlokal als ACTIVE `B1:I002` und gegebenenfalls Ziel `B1:T006`. Endstand nur in B1: ACTIVE `B1:I002`, TARGET `B1:T006`, PREVIOUS `B1:I001`.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	2	NO:f81v.17	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt. Globaler Fluss bleibt unbehauptet.	NONE	OWNER_BOUNDED_STATEMENT_EXPANSION_NOT_TRANSLATION
6	B1-S006	B1	f81v	F028	4	127|128|129|130	B1_SHARED_TWO_ROW_POOL	NO	E127:1645e612504fcef59ced > E128:2cc8bb3c2af19607888f > E129:0f18de177ed7c878bf95 > E130:4da0f0f7b5fc7ac20067	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Gib einen abgemessenen Anteil in das örtlich bezeichnete Gefäß. Führe die Flüssigkeit nur durch die innerhalb dieser Station verbundenen Läufe. Verwende den vorbereiteten Bade- oder Waschzusatz. Lasse den örtlichen Posten anschließend abkühlen.	Fortschreibe Buchung `B1-S006` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: kopiere den vollständigen typisierten Wert `EXEMPLAR_ENTRY_B1-S006` aus dem Master; buche ihn recordlokal als ACTIVE `B1:I002` und gegebenenfalls Ziel `B1:T007`. Endstand nur in B1: ACTIVE `B1:I002`, TARGET `B1:T007`, PREVIOUS `B1:I001`.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	2	NO:f81v.17	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt. Globaler Fluss bleibt unbehauptet.	NONE	OWNER_BOUNDED_STATEMENT_EXPANSION_NOT_TRANSLATION
7	B1-S007	B1	f81v	F029	1	131	B1_SHARED_TWO_ROW_POOL	NO	E131:87411f84689b4f93a303	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Erwärme den lokalen Posten einmal und beende den Schritt.	Fortschreibe Buchung `B1-S007` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: kopiere den vollständigen typisierten Wert `EXEMPLAR_ENTRY_B1-S007` aus dem Master; buche ihn recordlokal als ACTIVE `B1:I003` und gegebenenfalls Ziel `B1-S007:TARGET_UNSET`. Endstand nur in B1: ACTIVE `B1:I003`, TARGET `UNSET`, PREVIOUS `B1:I002`.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	2	NO:f81v.18	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt. Globaler Fluss bleibt unbehauptet.	NONE	OWNER_BOUNDED_STATEMENT_EXPANSION_NOT_TRANSLATION
8	B1-S008	B1	f81v	F030	5	132|133|134|135|136	B1_SHARED_TWO_ROW_POOL	NO	E132:b921a237be883a820352 > E133:dcda95c81a5460feb191 > E134:d904bf7b044dd3922781 > E135:dcda95c81a5460feb191 > E136:bc4f1f5c006c74a4d26d	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Verwende nun diese aktive Bade- oder Waschportion. Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. Halte die lokale Charge bei sanfter Wärme. Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	Fortschreibe Buchung `B1-S008` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: verknüpfe den laufenden Recordposten `B1:I003` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt; verknüpfe den laufenden Recordposten `B1:I003` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt. Endstand nur in B1: ACTIVE `B1:I003`, TARGET `UNSET`, PREVIOUS `B1:I002`.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	1	NO:f81v.18	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt. Globaler Fluss bleibt unbehauptet.	NONE	OWNER_BOUNDED_STATEMENT_EXPANSION_NOT_TRANSLATION
9	B1-S009	B1	f81v	F031	1	137	B1_SHARED_TWO_ROW_POOL	NO	E137:7db18b2f0fb7ed0fcfd3	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Spüle die bezeichnete Stelle oder den lokalen Lauf mit der aktiven Waschflotte.	Fortschreibe Buchung `B1-S009` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: schließe den lokalen Spül-/Endposten `B1-S009:TERMINAL_FLUSH_01` ab; erzeuge kein Folgeziel. Endstand nur in B1: ACTIVE `B1:I003`, TARGET `B1:T008`, PREVIOUS `B1:I002`.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	0	NO:f81v.18	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt. Globaler Fluss bleibt unbehauptet.	NONE	OWNER_BOUNDED_STATEMENT_EXPANSION_NOT_TRANSLATION
10	B1-S010	B1	f81v	F032	1	138	B1_SHARED_TWO_ROW_POOL	NO	E138:7db18b2f0fb7ed0fcfd3	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Spüle die bezeichnete Stelle oder den lokalen Lauf mit der aktiven Waschflotte.	Fortschreibe Buchung `B1-S010` beim Besitzerposten „gemeinsamen zweireihigen f81v-Becken-/Figurenfeld“: schließe den lokalen Spül-/Endposten `B1-S010:TERMINAL_FLUSH_01` ab; erzeuge kein Folgeziel. Endstand nur in B1: ACTIVE `B1:I003`, TARGET `B1:T009`, PREVIOUS `B1:I002`.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	0	NO:f81v.18	Die gemeinsame Umgrenzung zeigt weder Mischfolge noch Zielreihenfolge; ein Kreislauf wäre ergänzt. Globaler Fluss bleibt unbehauptet.	NONE	OWNER_BOUNDED_STATEMENT_EXPANSION_NOT_TRANSLATION
