bio_event_row	event_serial	page	locus	record_unit_id	field_id	statement_id	exact_card_id	surface_display_only	literal_exact_card_layer	v71_local_owner	owner_status	owner_transition	visible_contact_basis	concrete_german_default	source_layer	parse_status	working_confidence	confidence_label	confidence_scope	medical_application_reading	bathhouse_operation_rival	iconographic_formal_rival	station_medical_model	station_bathhouse_model	strongest_rival	local_direction_status	global_flow_claim	contradiction	semantic_ceiling
1	101	f81v	f81v.2	B1	F021	B1-S001	7db18b2f0fb7ed0fcfd3	qokedy	EXACT_CARD_ID=7db18b2f0fb7ed0fcfd3 | SURFACE_DISPLAY_ONLY=qokedy | OPAQUE_FORMULA=CLOSE(OPAQUE_PAYLOAD) | KNOWN_CARD=SPÜLEN? | KNOWN_FORMAL=NONE | TERMINAL=TERMINAL | V69_CONTROL_CLASS=EXACT_WORKING_MNEMONIC	B1_SHARED_TWO_ROW_POOL	PAGE_OWNER_ONLY	RESET_AT_RECORD_START	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	Spüle die bezeichnete Stelle oder den lokalen Lauf mit der aktiven Waschflotte.	KNOWN_CARD_WITH_EXEMPLAR_FILL	UNIQUE_EXACT	0.59	MEDIUM_INTERNAL	INTERNAL_STATION_ATLAS_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	Medizinische Anwendung an [B1_SHARED_TWO_ROW_POOL]: Spüle die bezeichnete Stelle oder den lokalen Lauf mit der aktiven Waschflotte.	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Leitungsweg von dieser lokalen Station.	Ikonographisch/formal an [B1_SHARED_TWO_ROW_POOL]: zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Leitungsweg von dieser lokalen Station.	LOCAL_EXEMPLAR_DIRECTION_ONLY	NONE	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; SPÜLEN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung; der Schlussmarker stützt nur den Feldabschluss.	LOCAL_OCCURRENCE_DEFAULT_NOT_CARD_STEM_SOUND_LANGUAGE_OR_GLOBAL_FLOW_MEANING
2	102	f81v	f81v.2	B1	F022	B1-S002	b5fcea1eaed06b2f2291	okaiin	EXACT_CARD_ID=b5fcea1eaed06b2f2291 | SURFACE_DISPLAY_ONLY=okaiin | OPAQUE_FORMULA=SET(<ARG_AIIN>) | KNOWN_CARD=NONE | KNOWN_FORMAL=STANDARDSLOT_SETZEN | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=STRICT_FORMAL_PROMPT_NO_WORD_VALUE	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift.	KNOWN_FORMAL_WITH_EXEMPLAR_FILL	UNIQUE_FORMAL_ONLY	0.62	MEDIUM_HIGH_INTERNAL	INTERNAL_STATION_ATLAS_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	Medizinische Anwendung an [B1_SHARED_TWO_ROW_POOL]: Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift.	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Mengenbuch=B1:F022:M.	Ikonographisch/formal an [B1_SHARED_TWO_ROW_POOL]: zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Mengenbuch=B1:F022:M.	NO_DIRECTION_ASSERTED	NONE	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; STANDARDSLOT_SETZEN bleibt eine formale Slotanweisung, keine Übersetzung.	LOCAL_OCCURRENCE_DEFAULT_NOT_CARD_STEM_SOUND_LANGUAGE_OR_GLOBAL_FLOW_MEANING
3	103	f81v	f81v.2	B1	F022	B1-S002	22fb87a5a83e5c3fb510	kair	EXACT_CARD_ID=22fb87a5a83e5c3fb510 | SURFACE_DISPLAY_ONLY=kair | OPAQUE_FORMULA=OPAQUE_PAYLOAD + <ARG_AIR> | KNOWN_CARD=NONE | KNOWN_FORMAL=NONE | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=UNKNOWN_EXEMPLAR_WHOLE_CARD	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	SAME_FIELD_OWNER	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	Verwende den im Exemplar als lokal zurücklaufend bezeichneten Strom nur innerhalb dieser Station.	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	0.38	LOW_MEDIUM_INTERNAL	INTERNAL_STATION_ATLAS_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	Medizinische Anwendung an [B1_SHARED_TWO_ROW_POOL]: Verwende den im Exemplar als lokal zurücklaufend bezeichneten Strom nur innerhalb dieser Station.	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Zulauf vorerst schließen.	Ikonographisch/formal an [B1_SHARED_TWO_ROW_POOL]: zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Zulauf vorerst schließen.	LOCAL_EXEMPLAR_DIRECTION_ONLY	NONE	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen.	LOCAL_OCCURRENCE_DEFAULT_NOT_CARD_STEM_SOUND_LANGUAGE_OR_GLOBAL_FLOW_MEANING
4	104	f81v	f81v.2	B1	F022	B1-S002	308e8ea2d5d190c498e8	okal	EXACT_CARD_ID=308e8ea2d5d190c498e8 | SURFACE_DISPLAY_ONLY=okal | OPAQUE_FORMULA=SET(<ARG_AL>) | KNOWN_CARD=NONE | KNOWN_FORMAL=LOKALEN_RELATIONSSLOT_SETZEN | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=STRICT_FORMAL_PROMPT_NO_WORD_VALUE	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	SAME_FIELD_OWNER	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation.	KNOWN_FORMAL_WITH_EXEMPLAR_FILL	UNIQUE_FORMAL_ONLY	0.58	MEDIUM_INTERNAL	INTERNAL_STATION_ATLAS_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	Medizinische Anwendung an [B1_SHARED_TWO_ROW_POOL]: Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation.	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Zieladresse=dieser lokalen Station.	Ikonographisch/formal an [B1_SHARED_TWO_ROW_POOL]: zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Zieladresse=dieser lokalen Station.	LOCAL_EXEMPLAR_DIRECTION_ONLY	NONE	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; LOKALEN_RELATIONSSLOT_SETZEN bleibt eine formale Slotanweisung, keine Übersetzung.	LOCAL_OCCURRENCE_DEFAULT_NOT_CARD_STEM_SOUND_LANGUAGE_OR_GLOBAL_FLOW_MEANING
5	105	f81v	f81v.2	B1	F022	B1-S002	4d4559019a961b834aa1	sar	EXACT_CARD_ID=4d4559019a961b834aa1 | SURFACE_DISPLAY_ONLY=sar | OPAQUE_FORMULA=OPAQUE_PAYLOAD | KNOWN_CARD=NONE | KNOWN_FORMAL=NONE | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=UNKNOWN_EXEMPLAR_WHOLE_CARD	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	SAME_FIELD_OWNER	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	Nimm den nächsten Anteil aus demselben recordlokalen Ansatz.	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	0.42	LOW_MEDIUM_INTERNAL	INTERNAL_STATION_ATLAS_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	Medizinische Anwendung an [B1_SHARED_TWO_ROW_POOL]: Nimm den nächsten Anteil aus demselben recordlokalen Ansatz.	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Ausgangsstand im Anlagenbuch markieren.	Ikonographisch/formal an [B1_SHARED_TWO_ROW_POOL]: zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Ausgangsstand im Anlagenbuch markieren.	NO_DIRECTION_ASSERTED	NONE	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur.	LOCAL_OCCURRENCE_DEFAULT_NOT_CARD_STEM_SOUND_LANGUAGE_OR_GLOBAL_FLOW_MEANING
6	106	f81v	f81v.2	B1	F022	B1-S002	dcda95c81a5460feb191	ol	EXACT_CARD_ID=dcda95c81a5460feb191 | SURFACE_DISPLAY_ONLY=ol | OPAQUE_FORMULA=FRAME_O(LINK) | KNOWN_CARD=NONE | KNOWN_FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=STRICT_FORMAL_PROMPT_NO_WORD_VALUE	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	SAME_FIELD_OWNER	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter.	KNOWN_FORMAL_WITH_EXEMPLAR_FILL	UNIQUE_FORMAL_ONLY	0.62	MEDIUM_HIGH_INTERNAL	INTERNAL_STATION_ATLAS_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	Medizinische Anwendung an [B1_SHARED_TWO_ROW_POOL]: Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter.	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: aktive Charge/Rücklauf des Feldes F022.	Ikonographisch/formal an [B1_SHARED_TWO_ROW_POOL]: zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: aktive Charge/Rücklauf des Feldes F022.	NO_DIRECTION_ASSERTED	NONE	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN bleibt eine formale Slotanweisung, keine Übersetzung.	LOCAL_OCCURRENCE_DEFAULT_NOT_CARD_STEM_SOUND_LANGUAGE_OR_GLOBAL_FLOW_MEANING
7	107	f81v	f81v.2	B1	F022	B1-S002	9da1b6ac2c929daea697	kain	EXACT_CARD_ID=9da1b6ac2c929daea697 | SURFACE_DISPLAY_ONLY=kain | OPAQUE_FORMULA=OPAQUE_PAYLOAD + <ARG_AIN> | KNOWN_CARD=NONE | KNOWN_FORMAL=NONE | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=UNKNOWN_EXEMPLAR_WHOLE_CARD	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	SAME_FIELD_OWNER	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	Nimm einen abgemessenen Anteil des lokalen Postens.	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	0.42	LOW_MEDIUM_INTERNAL	INTERNAL_STATION_ATLAS_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	Medizinische Anwendung an [B1_SHARED_TWO_ROW_POOL]: Nimm einen abgemessenen Anteil des lokalen Postens.	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Zulauf vorerst schließen.	Ikonographisch/formal an [B1_SHARED_TWO_ROW_POOL]: zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Zulauf vorerst schließen.	NO_DIRECTION_ASSERTED	NONE	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur.	LOCAL_OCCURRENCE_DEFAULT_NOT_CARD_STEM_SOUND_LANGUAGE_OR_GLOBAL_FLOW_MEANING
8	108	f81v	f81v.2	B1	F022	B1-S002	94df4847b7b16c98394a	olkain	EXACT_CARD_ID=94df4847b7b16c98394a | SURFACE_DISPLAY_ONLY=olkain | OPAQUE_FORMULA=OPAQUE_PAYLOAD + <ARG_AIN> | KNOWN_CARD=NONE | KNOWN_FORMAL=NONE | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=UNKNOWN_EXEMPLAR_WHOLE_CARD	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	SAME_FIELD_OWNER	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	Verwende das im Exemplar bezeichnete untere Becken dieser lokalen Szene.	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	0.42	LOW_MEDIUM_INTERNAL	INTERNAL_STATION_ATLAS_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	Medizinische Anwendung an [B1_SHARED_TWO_ROW_POOL]: Verwende das im Exemplar bezeichnete untere Becken dieser lokalen Szene.	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Filteraufnahme leeren.	Ikonographisch/formal an [B1_SHARED_TWO_ROW_POOL]: zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Filteraufnahme leeren.	NO_DIRECTION_ASSERTED	NONE	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur.	LOCAL_OCCURRENCE_DEFAULT_NOT_CARD_STEM_SOUND_LANGUAGE_OR_GLOBAL_FLOW_MEANING
9	109	f81v	f81v.2	B1	F022	B1-S002	dd0ecaf5e27d81befffc	al	EXACT_CARD_ID=dd0ecaf5e27d81befffc | SURFACE_DISPLAY_ONLY=al | OPAQUE_FORMULA=OPAQUE_PAYLOAD | KNOWN_CARD=ZIEL? | KNOWN_FORMAL=NONE | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=EXACT_WORKING_MNEMONIC	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	SAME_FIELD_OWNER	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation.	KNOWN_CARD_WITH_EXEMPLAR_FILL	UNIQUE_EXACT	0.58	MEDIUM_INTERNAL	INTERNAL_STATION_ATLAS_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	Medizinische Anwendung an [B1_SHARED_TWO_ROW_POOL]: Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation.	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Zieladresse=dieser lokalen Station.	Ikonographisch/formal an [B1_SHARED_TWO_ROW_POOL]: zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Zieladresse=dieser lokalen Station.	LOCAL_EXEMPLAR_DIRECTION_ONLY	NONE	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; ZIEL? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung.	LOCAL_OCCURRENCE_DEFAULT_NOT_CARD_STEM_SOUND_LANGUAGE_OR_GLOBAL_FLOW_MEANING
10	110	f81v	f81v.2	B1	F022	B1-S002	dcda95c81a5460feb191	ol	EXACT_CARD_ID=dcda95c81a5460feb191 | SURFACE_DISPLAY_ONLY=ol | OPAQUE_FORMULA=FRAME_O(LINK) | KNOWN_CARD=NONE | KNOWN_FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=STRICT_FORMAL_PROMPT_NO_WORD_VALUE	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	SAME_FIELD_OWNER	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter.	KNOWN_FORMAL_WITH_EXEMPLAR_FILL	UNIQUE_FORMAL_ONLY	0.62	MEDIUM_HIGH_INTERNAL	INTERNAL_STATION_ATLAS_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	Medizinische Anwendung an [B1_SHARED_TWO_ROW_POOL]: Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter.	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: aktive Charge/Rücklauf des Feldes F022.	Ikonographisch/formal an [B1_SHARED_TWO_ROW_POOL]: zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: aktive Charge/Rücklauf des Feldes F022.	NO_DIRECTION_ASSERTED	NONE	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN bleibt eine formale Slotanweisung, keine Übersetzung.	LOCAL_OCCURRENCE_DEFAULT_NOT_CARD_STEM_SOUND_LANGUAGE_OR_GLOBAL_FLOW_MEANING
