bio_field_row	field_id	record_unit_id	page	locus	statement_id	event_count	event_serials	v71_local_owner	owner_status	owner_transition	visible_contact_basis	literal_exact_card_sequence	complete_event_default_sequence	readable_field_text	source_layer_counts	minimum_working_confidence	mean_working_confidence	medical_application_model	bathhouse_operation_model	iconographic_formal_model	strongest_rival	contradiction	global_flow_claim	semantic_ceiling
1	F021	B1	f81v	f81v.2	B1-S001	1	101	B1_SHARED_TWO_ROW_POOL	PAGE_OWNER_ONLY	RESET_AT_RECORD_START	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	E101:7db18b2f0fb7ed0fcfd3	E101=Spüle die bezeichnete Stelle oder den lokalen Lauf mit der aktiven Waschflotte.	Setze den lokalen Besitzer [B1_SHARED_TWO_ROW_POOL] (gemeinsame zweireihige Figuren-/Beckenstation auf f81v): Spüle die bezeichnete Stelle oder den lokalen Lauf mit der aktiven Waschflotte.	"{""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1}"	0.59	0.590	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Leitungsweg von dieser lokalen Station.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; SPÜLEN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
2	F022	B1	f81v	f81v.2	B1-S002	11	102|103|104|105|106|107|108|109|110|111|112	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	E102:b5fcea1eaed06b2f2291 > E103:22fb87a5a83e5c3fb510 > E104:308e8ea2d5d190c498e8 > E105:4d4559019a961b834aa1 > E106:dcda95c81a5460feb191 > E107:9da1b6ac2c929daea697 > E108:94df4847b7b16c98394a > E109:dd0ecaf5e27d81befffc > E110:dcda95c81a5460feb191 > E111:1496a731803a9f48d2e1 > E112:0f18de177ed7c878bf95	E102=Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. | E103=Verwende den im Exemplar als lokal zurücklaufend bezeichneten Strom nur innerhalb dieser Station. | E104=Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation. | E105=Nimm den nächsten Anteil aus demselben recordlokalen Ansatz. | E106=Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. | E107=Nimm einen abgemessenen Anteil des lokalen Postens. | E108=Verwende das im Exemplar bezeichnete untere Becken dieser lokalen Szene. | E109=Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation. | E110=Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. | E111=Führe den örtlichen Gebrauch aus, bevor der Posten abkühlt. | E112=Verwende den vorbereiteten Bade- oder Waschzusatz.	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. Verwende den im Exemplar als lokal zurücklaufend bezeichneten Strom nur innerhalb dieser Station. Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation. Nimm den nächsten Anteil aus demselben recordlokalen Ansatz. Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. Nimm einen abgemessenen Anteil des lokalen Postens. Verwende das im Exemplar bezeichnete untere Becken dieser lokalen Szene. Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation. Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. Führe den örtlichen Gebrauch aus, bevor der Posten abkühlt. Verwende den vorbereiteten Bade- oder Waschzusatz.	"{""EXEMPLAR_ONLY"": 6, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 4}"	0.38	0.500	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Mengenbuch=B1:F022:M. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Zulauf vorerst schließen. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Zieladresse=dieser lokalen Station. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Ausgangsstand im Anlagenbuch markieren. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: aktive Charge/Rücklauf des Feldes F022. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Zulauf vorerst schließen. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Filteraufnahme leeren. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Zieladresse=dieser lokalen Station. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: aktive Charge/Rücklauf des Feldes F022. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Zulauf vorerst schließen. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Filteraufnahme leeren.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; STANDARDSLOT_SETZEN bleibt eine formale Slotanweisung, keine Übersetzung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; LOKALEN_RELATIONSSLOT_SETZEN bleibt eine formale Slotanweisung, keine Übersetzung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN bleibt eine formale Slotanweisung, keine Übersetzung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; ZIEL? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
3	F023	B1	f81v	f81v.7	B1-S002	8	113|114|115|116|117|118|119|120	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	E113:dec401773c1f0347793d > E114:dcda95c81a5460feb191 > E115:4eab1841ed655c20a348 > E116:2f1c5e56e8f0ff459065 > E117:93f69c38fdedee1598e9 > E118:2f1c5e56e8f0ff459065 > E119:2cc8bb3c2af19607888f > E120:259b2b3b0bf859882e2c	E113=Nimm den vorigen Posten innerhalb dieses Records wieder auf. | E114=Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. | E115=Nimm eine mäßige, im Exemplar bestimmte Menge. | E116=Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. | E117=Behandle den im Exemplar bezeichneten eingetauchten Teil. | E118=Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. | E119=Führe die Flüssigkeit nur durch die innerhalb dieser Station verbundenen Läufe. | E120=Spüle das benutzte Gefäß oder den lokalen Lauf einmal aus und beende den Schritt.	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Nimm den vorigen Posten innerhalb dieses Records wieder auf. Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. Nimm eine mäßige, im Exemplar bestimmte Menge. Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. Behandle den im Exemplar bezeichneten eingetauchten Teil. Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. Führe die Flüssigkeit nur durch die innerhalb dieser Station verbundenen Läufe. Spüle das benutzte Gefäß oder den lokalen Lauf einmal aus und beende den Schritt.	"{""EXEMPLAR_ONLY"": 3, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_CARD_AND_FORMAL_WITH_EXEMPLAR_FILL"": 2, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.38	0.515	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Vorcharge im recordlokalen Register B1. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: aktive Charge/Rücklauf des Feldes F023. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Wasser in das Becken einlassen. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Mengenbuch=B1:F023:M. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Vorratscharge bereitstellen. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Mengenbuch=B1:F023:M. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Wasser in das Becken einlassen. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Füllstand am Randzeichen prüfen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; VORIGES? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN bleibt eine formale Slotanweisung, keine Übersetzung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; MASS? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung; VORGABEPARAMETER? bleibt eine formale Slotanweisung, keine Übersetzung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
4	F024	B1	f81v	f81v.7	B1-S003	1	121	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	E121:dcda95c81a5460feb191	E121=Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter.	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter.	"{""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.62	0.620	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: aktive Charge/Rücklauf des Feldes F024.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN bleibt eine formale Slotanweisung, keine Übersetzung.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
5	F025	B1	f81v	f81v.17	B1-S003	1	122	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	E122:54e32e9c1414b20640e9	E122=Halte den örtlichen Posten warm und beende den Schritt.	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Halte den örtlichen Posten warm und beende den Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.420	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Leitungszweig wählen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
6	F026	B1	f81v	f81v.17	B1-S004	3	123|124|125	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	E123:6f7ff8287eddf4da9fdb > E124:dcda95c81a5460feb191 > E125:bc4f1f5c006c74a4d26d	E123=Rühre den lokalen Bade- oder Waschposten, bis er gleichmäßig vermischt ist. | E124=Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. | E125=Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Rühre den lokalen Bade- oder Waschposten, bis er gleichmäßig vermischt ist. Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	"{""EXEMPLAR_ONLY"": 1, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.487	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Vorratscharge bereitstellen. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: aktive Charge/Rücklauf des Feldes F026. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Wasser in das Becken einlassen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN bleibt eine formale Slotanweisung, keine Übersetzung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
7	F027	B1	f81v	f81v.17	B1-S005	1	126	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	E126:28ffbc88b97772a75f1e	E126=Stelle die Mischung im bedeckten örtlichen Auffanggefäß beiseite und beende den Schritt.	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Stelle die Mischung im bedeckten örtlichen Auffanggefäß beiseite und beende den Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.420	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Wärmequelle am Becken anlegen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
8	F028	B1	f81v	f81v.17	B1-S006	4	127|128|129|130	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	E127:1645e612504fcef59ced > E128:2cc8bb3c2af19607888f > E129:0f18de177ed7c878bf95 > E130:4da0f0f7b5fc7ac20067	E127=Gib einen abgemessenen Anteil in das örtlich bezeichnete Gefäß. | E128=Führe die Flüssigkeit nur durch die innerhalb dieser Station verbundenen Läufe. | E129=Verwende den vorbereiteten Bade- oder Waschzusatz. | E130=Lasse den örtlichen Posten anschließend abkühlen.	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Gib einen abgemessenen Anteil in das örtlich bezeichnete Gefäß. Führe die Flüssigkeit nur durch die innerhalb dieser Station verbundenen Läufe. Verwende den vorbereiteten Bade- oder Waschzusatz. Lasse den örtlichen Posten anschließend abkühlen.	"{""EXEMPLAR_ONLY"": 4}"	0.42	0.420	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: obere Rinne füllen. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Charge über das Gefälle umlaufen lassen. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Rücklauf im unteren Becken auffangen. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Rücklauf erneut zuführen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
9	F029	B1	f81v	f81v.18	B1-S007	1	131	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	E131:87411f84689b4f93a303	E131=Erwärme den lokalen Posten einmal und beende den Schritt.	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Erwärme den lokalen Posten einmal und beende den Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.420	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Charge ruhig stehen lassen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
10	F030	B1	f81v	f81v.18	B1-S008	5	132|133|134|135|136	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	ungefähr sechzehn Figuren liegen innerhalb einer gemeinsamen grünen Umgrenzung	E132:b921a237be883a820352 > E133:dcda95c81a5460feb191 > E134:d904bf7b044dd3922781 > E135:dcda95c81a5460feb191 > E136:bc4f1f5c006c74a4d26d	E132=Verwende nun diese aktive Bade- oder Waschportion. | E133=Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. | E134=Halte die lokale Charge bei sanfter Wärme. | E135=Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. | E136=Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	An derselben lokalen Station [B1_SHARED_TWO_ROW_POOL]: Verwende nun diese aktive Bade- oder Waschportion. Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. Halte die lokale Charge bei sanfter Wärme. Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	"{""EXEMPLAR_ONLY"": 2, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 2}"	0.42	0.500	gemeinsames zweireihiges Bad-/Waschfeld mit wiederholten lokalen Anwendungen	ein gemeinsames Becken mit Füllen, Temperieren, Spülen und Reinigen	zwei gereihte Figurenregister oder ein allegorisches Feld ohne Betriebssemantik	Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Filtertuch oder Sieb einsetzen. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: aktive Charge/Rücklauf des Feldes F030. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Rückstand vom Filter abnehmen. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: aktive Charge/Rücklauf des Feldes F030. Badehausbetrieb an [B1_SHARED_TWO_ROW_POOL]: Filtertuch oder Sieb einsetzen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN bleibt eine formale Slotanweisung, keine Übersetzung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
