event_serial	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	local_image_owner	local_owner_label	owner_status	owner_confidence	owner_break_before	exact_literal_card_formal_exemplar_layer	v69_source_status	concrete_german_meaning_in_context	meaning_in_context_confidence	strongest_bathhouse_technical_or_formal_rival	strongest_contradiction	unsupported_nouns	carry_policy	image_geometry_guard	terminal_status	semantic_ceiling
101	B1	f81v	f81v.2	F021	B1-S001	7db18b2f0fb7ed0fcfd3	B1_SHARED_TWO_ROW_POOL	gemeinsames zweireihiges Figuren-/Beckenfeld	PAGE_OWNER_ONLY	HIGH	RECORD_START__RESET_ALL_LOCAL_STATE	[OWNER:B1_SHARED_TWO_ROW_POOL] > [OPAQUE_CARD:7db18b2f0fb7ed0fcfd3] > [CARD:SPÜLEN?] > [CONTEXT_EXEMPLAR:LOCAL_TARGET_OR_STATION] > [CLOSE]	EXACT_WORKING_MNEMONIC	Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	0.46	Badehaus-technischer Rivale am selben Besitzer: Leitungsweg von Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt; keine Kontur trägt einen Pfeil oder eine Flussrichtung; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	Waschflotte|Lauf|Station|Spülen	LOCAL_OWNER_ONLY; NEVER_CARRY_SUBSTANCE_TARGET_OR_DIRECTION_ACROSS_OWNER_BREAK	approximately sixteen nude figures in two rows inside one common green field with local appendages	TERMINAL	OCCURRENCE_BALNEOLOGICAL_EXEMPLAR_NOT_CARD_STEM_SOUND_LANGUAGE_OR_MEDICAL_FACT
102	B1	f81v	f81v.2	F022	B1-S002	b5fcea1eaed06b2f2291	B1_SHARED_TWO_ROW_POOL	gemeinsames zweireihiges Figuren-/Beckenfeld	INHERITED_VISIBLE	HIGH	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	[OWNER:B1_SHARED_TWO_ROW_POOL] > [OPAQUE_CARD:b5fcea1eaed06b2f2291] > [FORMAL:STANDARDSLOT_SETZEN] > [CONTEXT_EXEMPLAR:RECORD_LOCAL_LINK]	STRICT_FORMAL_PROMPT_NO_WORD_VALUE	Den aktiven Posten nach der örtlichen Vorschrift bemessen.	0.46	Badehaus-technischer Rivale am selben Besitzer: Mengenbuch=lokaler Posten; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	Posten	LOCAL_OWNER_ONLY; NEVER_CARRY_SUBSTANCE_TARGET_OR_DIRECTION_ACROSS_OWNER_BREAK	approximately sixteen nude figures in two rows inside one common green field with local appendages	NONCLOSE	OCCURRENCE_BALNEOLOGICAL_EXEMPLAR_NOT_CARD_STEM_SOUND_LANGUAGE_OR_MEDICAL_FACT
103	B1	f81v	f81v.2	F022	B1-S002	22fb87a5a83e5c3fb510	B1_SHARED_TWO_ROW_POOL	gemeinsames zweireihiges Figuren-/Beckenfeld	INHERITED_VISIBLE	HIGH	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	[OWNER:B1_SHARED_TWO_ROW_POOL] > [OPAQUE_CARD:22fb87a5a83e5c3fb510] > [CONTEXT_EXEMPLAR:LOCAL_TARGET_OR_STATION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Der zurücklaufende Strom.	0.34	Badehaus-technischer Rivale am selben Besitzer: Zulauf vorerst schließen; keine Vererbung über einen Stationswechsel.	keine Kontur trägt einen Pfeil oder eine Flussrichtung.	Strom/Flussrichtung	LOCAL_OWNER_ONLY; NEVER_CARRY_SUBSTANCE_TARGET_OR_DIRECTION_ACROSS_OWNER_BREAK	approximately sixteen nude figures in two rows inside one common green field with local appendages	NONCLOSE	OCCURRENCE_BALNEOLOGICAL_EXEMPLAR_NOT_CARD_STEM_SOUND_LANGUAGE_OR_MEDICAL_FACT
104	B1	f81v	f81v.2	F022	B1-S002	308e8ea2d5d190c498e8	B1_SHARED_TWO_ROW_POOL	gemeinsames zweireihiges Figuren-/Beckenfeld	INHERITED_VISIBLE	HIGH	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	[OWNER:B1_SHARED_TWO_ROW_POOL] > [OPAQUE_CARD:308e8ea2d5d190c498e8] > [FORMAL:LOKALEN_RELATIONSSLOT_SETZEN] > [CONTEXT_EXEMPLAR:LOCAL_TARGET_OR_STATION]	STRICT_FORMAL_PROMPT_NO_WORD_VALUE	Den aktiven Posten an der örtlich bezeichneten Station führen.	0.46	Badehaus-technischer Rivale am selben Besitzer: Zieladresse=Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	Posten|Station	LOCAL_OWNER_ONLY; NEVER_CARRY_SUBSTANCE_TARGET_OR_DIRECTION_ACROSS_OWNER_BREAK	approximately sixteen nude figures in two rows inside one common green field with local appendages	NONCLOSE	OCCURRENCE_BALNEOLOGICAL_EXEMPLAR_NOT_CARD_STEM_SOUND_LANGUAGE_OR_MEDICAL_FACT
105	B1	f81v	f81v.2	F022	B1-S002	4d4559019a961b834aa1	B1_SHARED_TWO_ROW_POOL	gemeinsames zweireihiges Figuren-/Beckenfeld	INHERITED_VISIBLE	HIGH	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	[OWNER:B1_SHARED_TWO_ROW_POOL] > [OPAQUE_CARD:4d4559019a961b834aa1] > [CONTEXT_EXEMPLAR:LOCAL_SUBSTANCE_OR_OBJECT]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Daraus, aus demselben Ansatz.	0.34	Badehaus-technischer Rivale am selben Besitzer: Ausgangsstand im Anlagenbuch markieren; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	Ansatz	LOCAL_OWNER_ONLY; NEVER_CARRY_SUBSTANCE_TARGET_OR_DIRECTION_ACROSS_OWNER_BREAK	approximately sixteen nude figures in two rows inside one common green field with local appendages	NONCLOSE	OCCURRENCE_BALNEOLOGICAL_EXEMPLAR_NOT_CARD_STEM_SOUND_LANGUAGE_OR_MEDICAL_FACT
106	B1	f81v	f81v.2	F022	B1-S002	dcda95c81a5460feb191	B1_SHARED_TWO_ROW_POOL	gemeinsames zweireihiges Figuren-/Beckenfeld	INHERITED_VISIBLE	HIGH	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	[OWNER:B1_SHARED_TWO_ROW_POOL] > [OPAQUE_CARD:dcda95c81a5460feb191] > [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > [CONTEXT_EXEMPLAR:RECORD_LOCAL_LINK]	STRICT_FORMAL_PROMPT_NO_WORD_VALUE	Den recordlokalen aktiven Posten im Arbeitsgang fortführen.	0.46	Badehaus-technischer Rivale am selben Besitzer: aktive Charge/Rücklauf des Feldes F022; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	Posten	LOCAL_OWNER_ONLY; NEVER_CARRY_SUBSTANCE_TARGET_OR_DIRECTION_ACROSS_OWNER_BREAK	approximately sixteen nude figures in two rows inside one common green field with local appendages	NONCLOSE	OCCURRENCE_BALNEOLOGICAL_EXEMPLAR_NOT_CARD_STEM_SOUND_LANGUAGE_OR_MEDICAL_FACT
107	B1	f81v	f81v.2	F022	B1-S002	9da1b6ac2c929daea697	B1_SHARED_TWO_ROW_POOL	gemeinsames zweireihiges Figuren-/Beckenfeld	INHERITED_VISIBLE	HIGH	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	[OWNER:B1_SHARED_TWO_ROW_POOL] > [OPAQUE_CARD:9da1b6ac2c929daea697] > [CONTEXT_EXEMPLAR:LOCAL_PARAMETER]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Ein abgemessener Anteil.	0.34	Badehaus-technischer Rivale am selben Besitzer: Zulauf vorerst schließen; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	Anteil|Maß/Menge	LOCAL_OWNER_ONLY; NEVER_CARRY_SUBSTANCE_TARGET_OR_DIRECTION_ACROSS_OWNER_BREAK	approximately sixteen nude figures in two rows inside one common green field with local appendages	NONCLOSE	OCCURRENCE_BALNEOLOGICAL_EXEMPLAR_NOT_CARD_STEM_SOUND_LANGUAGE_OR_MEDICAL_FACT
108	B1	f81v	f81v.2	F022	B1-S002	94df4847b7b16c98394a	B1_SHARED_TWO_ROW_POOL	gemeinsames zweireihiges Figuren-/Beckenfeld	INHERITED_VISIBLE	HIGH	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	[OWNER:B1_SHARED_TWO_ROW_POOL] > [OPAQUE_CARD:94df4847b7b16c98394a] > [CONTEXT_EXEMPLAR:LOCAL_TARGET_OR_STATION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Das untere Becken.	0.34	Badehaus-technischer Rivale am selben Besitzer: Filteraufnahme leeren; keine Vererbung über einen Stationswechsel.	die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	Becken	LOCAL_OWNER_ONLY; NEVER_CARRY_SUBSTANCE_TARGET_OR_DIRECTION_ACROSS_OWNER_BREAK	approximately sixteen nude figures in two rows inside one common green field with local appendages	NONCLOSE	OCCURRENCE_BALNEOLOGICAL_EXEMPLAR_NOT_CARD_STEM_SOUND_LANGUAGE_OR_MEDICAL_FACT
109	B1	f81v	f81v.2	F022	B1-S002	dd0ecaf5e27d81befffc	B1_SHARED_TWO_ROW_POOL	gemeinsames zweireihiges Figuren-/Beckenfeld	INHERITED_VISIBLE	HIGH	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	[OWNER:B1_SHARED_TWO_ROW_POOL] > [OPAQUE_CARD:dd0ecaf5e27d81befffc] > [CARD:ZIEL?] > [CONTEXT_EXEMPLAR:LOCAL_TARGET_OR_STATION]	EXACT_WORKING_MNEMONIC	Den aktiven Posten an der örtlich bezeichneten Station führen.	0.46	Badehaus-technischer Rivale am selben Besitzer: Zieladresse=Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	Posten|Station	LOCAL_OWNER_ONLY; NEVER_CARRY_SUBSTANCE_TARGET_OR_DIRECTION_ACROSS_OWNER_BREAK	approximately sixteen nude figures in two rows inside one common green field with local appendages	NONCLOSE	OCCURRENCE_BALNEOLOGICAL_EXEMPLAR_NOT_CARD_STEM_SOUND_LANGUAGE_OR_MEDICAL_FACT
110	B1	f81v	f81v.2	F022	B1-S002	dcda95c81a5460feb191	B1_SHARED_TWO_ROW_POOL	gemeinsames zweireihiges Figuren-/Beckenfeld	INHERITED_VISIBLE	HIGH	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	[OWNER:B1_SHARED_TWO_ROW_POOL] > [OPAQUE_CARD:dcda95c81a5460feb191] > [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > [CONTEXT_EXEMPLAR:RECORD_LOCAL_LINK]	STRICT_FORMAL_PROMPT_NO_WORD_VALUE	Den recordlokalen aktiven Posten im Arbeitsgang fortführen.	0.46	Badehaus-technischer Rivale am selben Besitzer: aktive Charge/Rücklauf des Feldes F022; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	Posten	LOCAL_OWNER_ONLY; NEVER_CARRY_SUBSTANCE_TARGET_OR_DIRECTION_ACROSS_OWNER_BREAK	approximately sixteen nude figures in two rows inside one common green field with local appendages	NONCLOSE	OCCURRENCE_BALNEOLOGICAL_EXEMPLAR_NOT_CARD_STEM_SOUND_LANGUAGE_OR_MEDICAL_FACT
