graph_edge_id	page	record_scope	endpoint_a	endpoint_b	edge_status	directedness	visible_basis_or_reset	permitted_register_or_material_carry	prohibited_inference
V74R3G001	f81v	B1	B1_SHARED_POOL_FIGURE_SET	B1_SHARED_TWO_ROW_POOL	COMMON_VISIBLE_ENCLOSURE	UNDIRECTED	shared green boundary	LOCAL_OWNER_ONLY	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G002	f82r	B2	B2_UPPER_LEFT_BASIN	B2_UPPER_CYLINDER	VISIBLE_LOCAL_CONTACT	UNDIRECTED	arch meets cylinder	WITHIN_COMPOSITE_OWNER	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G003	f82r	B2	B2_UPPER_RIGHT_BASIN	B2_UPPER_CYLINDER	VISIBLE_LOCAL_CONTACT	UNDIRECTED	arch meets cylinder	WITHIN_COMPOSITE_OWNER	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G004	f82r	B2	B2_MIDDLE_HAND_DEVICE	B2_MIDDLE_INLINE_NODE	VISIBLE_LOCAL_CONTACT	UNDIRECTED	waves and double line meet local node	WITHIN_COMPOSITE_OWNER	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G005	f82r	B2	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO_VISIBLE_EDGE	NONE	owner reset at F053	BLOCK_PHYSICAL_CARRY	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G006	f82r	B2	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	CONTACT_UNRESOLVED	NONE	line lies near but does not securely touch platform	BLOCK_PHYSICAL_CARRY	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G007	f82r	B2	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	B2_LOWER_GREEN_MULTI_FIGURE_POOL	NO_VISIBLE_EDGE	NONE	owner reset inside B2-S012	BLOCK_PHYSICAL_CARRY	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G008	f82r	B2	B2_LOWER_GREEN_MULTI_FIGURE_POOL	B2_LOWER_POOL_EDGE_STATIONS	ADJACENT_FIELD_EDGE_NO_PIPE	NONE	edge stations recur at common field but lack conduits	BLOCK_AUTOMATIC_CARRY	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G009	f83r	B3	B3_UPPER_MARGIN_OPEN_FAN_STATION	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	NO_VISIBLE_EDGE	NONE	owner reset at F075	BLOCK_PHYSICAL_CARRY	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G010	f83r	B3	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NO_VISIBLE_EDGE	NONE	owner reset at F080	BLOCK_PHYSICAL_CARRY	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G011	f83r	B3	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO_VISIBLE_EDGE	NONE	break inside B3-S016	BLOCK_PHYSICAL_CARRY	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G012	f83r	B3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	B3_MAIN_ARCH_LINKED_PAIR	NO_VISIBLE_EDGE	NONE	break inside B3-S026	BLOCK_PHYSICAL_CARRY	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G013	f83r	B3	B3_MAIN_PAIR_LEFT	B3_MAIN_PAIR_RIGHT	VISIBLE_LOCAL_CONTACT	UNDIRECTED	broad arch joins both figures	WITHIN_COMPOSITE_OWNER	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G014	f83r	B4	B4_MAIN_PAIR_LEFT	B4_MAIN_PAIR_RIGHT	VISIBLE_LOCAL_CONTACT	UNDIRECTED	shared arch	WITHIN_COMPOSITE_OWNER	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G015	f83r	B4	B4_MAIN_PAIR_LEFT	B4_MAIN_LEFT_OPEN_FRINGE_STATION	VISIBLE_LOCAL_ATTACHMENT_BUT_TEXT_OWNER_RESET	UNDIRECTED	filled under-run attaches at left vessel; F120 resets text owner	NO_LEDGER_CARRY_WITHOUT_EXEMPLAR	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G016	f83r	B4	B4_MAIN_PAIR_RIGHT	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	VISIBLE_LOCAL_ATTACHMENT_BUT_TEXT_OWNER_RESET	UNDIRECTED	S-contour meets right basin/node; F126 resets text owner	NO_LEDGER_CARRY_WITHOUT_EXEMPLAR	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G017	f83r	B4	B4_MAIN_LEFT_OPEN_FRINGE_STATION	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	NO_DIRECT_VISIBLE_EDGE	NONE	break inside B4-S015	BLOCK_DIRECT_CARRY	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
V74R3G018	f83r	B5_TO_B6	B5_LEFT_OPEN_FRINGE_STATION	B6_RIGHT_S_RUN_MULTIPORT_STATION	RECORD_RESET	NONE	B5 closes before independent B6 begins	FORBID_ALL_REGISTER_CARRY	NO_GLOBAL_FLOW;NO_SOURCE_SINK;NO_RETURN_DIRECTION;NO_CROSS_RECORD_INHERITANCE
