unsupported_noun	support_class	event_count	event_serials	records	pages	owners	rationale	semantic_ceiling
Becken	LOCAL_VISIBLE_FORM_FUNCTION_UNCERTAIN	20	108|147|171|174|188|195|201|213|224|227|245|247|251|265|285|298|302|313|358|373	B1|B2|B3|B4|B6	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_POOL_EDGE_STATIONS|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION|B6_RIGHT_S_RUN_MULTIPORT_STATION	Eine passende lokale Form kann sichtbar sein, doch Gefäß-, Becken-, Öffnungs- oder Leitungsfunktion und Richtung bleiben unbestimmt.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Gefäß	LOCAL_VISIBLE_FORM_FUNCTION_UNCERTAIN	21	120|126|127|150|159|167|168|169|183|198|200|239|242|248|283|288|305|316|340|341|352	B1|B2|B3|B4	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION	Eine passende lokale Form kann sichtbar sein, doch Gefäß-, Becken-, Öffnungs- oder Leitungsfunktion und Richtung bleiben unbestimmt.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Lauf	LOCAL_VISIBLE_FORM_FUNCTION_UNCERTAIN	19	101|119|120|128|137|138|139|167|177|179|239|259|260|283|294|297|318|335|356	B1|B2|B3|B4	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	Eine passende lokale Form kann sichtbar sein, doch Gefäß-, Becken-, Öffnungs- oder Leitungsfunktion und Richtung bleiben unbestimmt.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Station	LOCAL_VISIBLE_FORM_FUNCTION_UNCERTAIN	43	101|104|109|126|137|138|146|152|156|160|166|168|172|186|187|191|197|203|214|226|241|242|250|259|268|271|272|278|279|289|292|294|297|310|318|323|326|335|350|353|359|365|381	B1|B2|B3|B4|B5|B6	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B2_LOWER_POOL_EDGE_STATIONS|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION|B5_LEFT_OPEN_FRINGE_STATION|B6_RIGHT_S_RUN_MULTIPORT_STATION	Eine passende lokale Form kann sichtbar sein, doch Gefäß-, Becken-, Öffnungs- oder Leitungsfunktion und Richtung bleiben unbestimmt.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Öffnung	LOCAL_VISIBLE_FORM_FUNCTION_UNCERTAIN	7	157|173|196|223|334|371|375	B1|B2|B4|B5|B6	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_LOWER_POOL_EDGE_STATIONS|B4_MAIN_ARCH_LINKED_PAIR|B5_LEFT_OPEN_FRINGE_STATION|B6_RIGHT_S_RUN_MULTIPORT_STATION	Eine passende lokale Form kann sichtbar sein, doch Gefäß-, Becken-, Öffnungs- oder Leitungsfunktion und Richtung bleiben unbestimmt.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Ablassen/Ablauf	UNMARKED_OPERATION_OR_DIRECTION	20	149|184|202|210|211|221|230|235|237|246|262|263|269|282|300|308|320|345|357|362	B1|B2|B3|B4|B5	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B2_LOWER_POOL_EDGE_STATIONS|B3_UPPER_MARGIN_OPEN_FAN_STATION|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION|B5_LEFT_OPEN_FRINGE_STATION	Keine Pfeile oder Quell-/Senkensignale legen Operation oder Bewegungsrichtung fest.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
erste/zweite Richtung	UNMARKED_OPERATION_OR_DIRECTION	8	157|173|196|260|334|356|371|375	B1|B2|B3|B4|B5|B6	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION|B5_LEFT_OPEN_FRINGE_STATION|B6_RIGHT_S_RUN_MULTIPORT_STATION	Keine Pfeile oder Quell-/Senkensignale legen Operation oder Bewegungsrichtung fest.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Spülen	UNMARKED_OPERATION_OR_DIRECTION	16	101|120|137|138|141|167|212|239|259|283|294|296|297|303|318|335	B1|B2|B3|B4	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_LOWER_POOL_EDGE_STATIONS|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR	Keine Pfeile oder Quell-/Senkensignale legen Operation oder Bewegungsrichtung fest.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Strom/Flussrichtung	UNMARKED_OPERATION_OR_DIRECTION	13	103|119|128|139|179|222|230|237|240|290|320|346|360	B1|B2|B3|B4	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_LOWER_POOL_EDGE_STATIONS|B3_UPPER_MARGIN_OPEN_FAN_STATION|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	Keine Pfeile oder Quell-/Senkensignale legen Operation oder Bewegungsrichtung fest.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Tuch	UNPICTURED_IMPLEMENT	11	165|178|226|292|315|326|327|329|330|331|379	B1|B2|B3|B4|B6	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_LOWER_POOL_EDGE_STATIONS|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR|B6_RIGHT_S_RUN_MULTIPORT_STATION	Das Gerät ist nicht sicher gezeichnet oder dem Ereignis zugeordnet.	SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
