shol	paragraph	grammar	chol	timing	target	reference	events	conflicts	unequal	missing	incomplete	row_status
Q	f93r|f93r.1-f93r.32	B	D	O	f93r.11:7	E	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	B	D	O	f93r.11:7	R	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	B	D	I	f93r.11:7	E	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	B	D	I	f93r.11:7	R	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	B	H	O	f93r.11:7	E	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	B	H	O	f93r.11:7	R	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	B	H	I	f93r.11:7	E	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	B	H	I	f93r.11:7	R	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	J	D	O	f93r.11:7	E	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	J	D	O	f93r.11:7	R	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	J	D	I	f93r.11:7	E	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	J	D	I	f93r.11:7	R	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	J	H	O	f93r.11:7	E	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	J	H	O	f93r.11:7	R	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	J	H	I	f93r.11:7	E	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	J	H	I	f93r.11:7	R	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	M	D	O	f93r.11:7	E	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	M	D	O	f93r.11:7	R	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	M	D	I	f93r.11:7	E	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	M	D	I	f93r.11:7	R	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	M	H	O	f93r.11:7	E	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	M	H	O	f93r.11:7	R	65	0	0	1	0	recorded
Q	f93r|f93r.1-f93r.32	M	H	I	f93r.11:7	E	65	0	0	1	0	recorded
