paragraph	locus	index	raw	role	D	H	status	row_status
f93r|f93r.1-f93r.32	f93r.1	1	kodshol	OPEN	[ungelesen: kodshol]	[ungelesen: kodshol]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.1	2	otolsheeos	OPEN	[ungelesen: otolsheeos]	[ungelesen: otolsheeos]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.1	3	octhodaly	OPEN	[ungelesen: octhodaly]	[ungelesen: octhodaly]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.1	4	opalepam	OPEN	[ungelesen: opalepam]	[ungelesen: opalepam]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.1	5	oepchksheey	OPEN	[ungelesen: oepchksheey]	[ungelesen: oepchksheey]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.1	6	qotodain	OPEN	[ungelesen: qotodain]	[ungelesen: qotodain]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.1	7	s	DISTRIBUTIVE	jeweils	jeweils	ASSUMED	recorded
f93r|f93r.1-f93r.32	f93r.1	8	oar	AMOUNT	Anteil davon	Anteil davon	ASSUMED	recorded
f93r|f93r.1-f93r.32	f93r.2	1	ycham	OPEN	[ungelesen: ycham]	[ungelesen: ycham]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.2	2	s	DISTRIBUTIVE	jeweils	jeweils	ASSUMED	recorded
f93r|f93r.1-f93r.32	f93r.2	3	chol	ACTION	trockne	erhitze	ASSUMED	recorded
f93r|f93r.1-f93r.32	f93r.2	4	chotom	OPEN	[ungelesen: chotom]	[ungelesen: chotom]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.2	5	cthodar	OPEN	[ungelesen: cthodar]	[ungelesen: cthodar]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.2	6	sheo	MATERIAL	feuchte Zubereitung [nominale Qualität: Stoffkonstitution]	feuchte Zubereitung [nominale Qualität: Stoffkonstitution]	ASSUMED	recorded
f93r|f93r.1-f93r.32	f93r.2	7	s	DISTRIBUTIVE	jeweils	jeweils	ASSUMED	recorded
f93r|f93r.1-f93r.32	f93r.2	8	oteodal	OPEN	[ungelesen: oteodal]	[ungelesen: oteodal]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.2	9	s	DISTRIBUTIVE	jeweils	jeweils	ASSUMED	recorded
f93r|f93r.1-f93r.32	f93r.2	10	ofchoshy	OPEN	[ungelesen: ofchoshy]	[ungelesen: ofchoshy]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.2	11	cthoshol	OPEN	[ungelesen: cthoshol]	[ungelesen: cthoshol]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.3	1	dsho	OPEN	[ungelesen: dsho]	[ungelesen: dsho]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.3	2	dal	AMOUNT	Maß	Maß	ASSUMED	recorded
f93r|f93r.1-f93r.32	f93r.3	3	dalody	OPEN	[ungelesen: dalody]	[ungelesen: dalody]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.3	4	ytchchy	OPEN	[ungelesen: ytchchy]	[ungelesen: ytchchy]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.3	5	dam	AMOUNT	Portion	Portion	ASSUMED	recorded
f93r|f93r.1-f93r.32	f93r.3	6	chody	MATERIAL	getrocknetes Material	getrocknetes Material	ASSUMED	recorded
f93r|f93r.1-f93r.32	f93r.3	7	dal	AMOUNT	Maß	Maß	ASSUMED	recorded
f93r|f93r.1-f93r.32	f93r.3	8	ol	RELATION	mit	mit	ASSUMED	recorded
f93r|f93r.1-f93r.32	f93r.3	9	schodchy	OPEN	[ungelesen: schodchy]	[ungelesen: schodchy]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.3	10	qotchd	OPEN	[ungelesen: qotchd]	[ungelesen: qotchd]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.4	1	sol	OPEN	[ungelesen: sol]	[ungelesen: sol]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.4	2	shotol	OPEN	[ungelesen: shotol]	[ungelesen: shotol]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.4	3	qokchodal	OPEN	[ungelesen: qokchodal]	[ungelesen: qokchodal]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.4	4	shody	MATERIAL	benetztes Material	benetztes Material	ASSUMED	recorded
f93r|f93r.1-f93r.32	f93r.4	5	chotol	OPEN	[ungelesen: chotol]	[ungelesen: chotol]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.4	6	s	DISTRIBUTIVE	jeweils	jeweils	ASSUMED	recorded
f93r|f93r.1-f93r.32	f93r.4	7	otol	OPEN	[ungelesen: otol]	[ungelesen: otol]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.4	8	ytchdg	OPEN	[ungelesen: ytchdg]	[ungelesen: ytchdg]	UNREAD	recorded
f93r|f93r.1-f93r.32	f93r.5	1	ol	RELATION	mit	mit	ASSUMED	recorded
f93r|f93r.1-f93r.32	f93r.5	2	chody	MATERIAL	getrocknetes Material	getrocknetes Material	ASSUMED	recorded
