shol	paragraph	grammar	chol	timing	target	antecedent	antecedent_form	antecedent_object	earlier_applied_actions	E_state	R_state	row_status
Q	f93r|f93r.1-f93r.32	B	D	O	f93r.11:7	f93r.11:5	sheo	f93r.2:6	f93r.2:3	{}	"{""CONSTITUTION:moisture"":""wet"",""PHYSICAL:moisture"":""dry""}"	recorded
Q	f93r|f93r.1-f93r.32	B	D	I	f93r.11:7	f93r.11:5	sheo	f93r.2:6	f93r.2:3	{}	"{""CONSTITUTION:moisture"":""wet"",""PHYSICAL:moisture"":""dry""}"	recorded
Q	f93r|f93r.1-f93r.32	B	H	O	f93r.11:7	f93r.11:5	sheo	f93r.2:6	f93r.2:3	{}	"{""CONSTITUTION:moisture"":""wet"",""PHYSICAL:thermal"":""hot""}"	recorded
Q	f93r|f93r.1-f93r.32	B	H	I	f93r.11:7	f93r.11:5	sheo	f93r.2:6	f93r.2:3	{}	"{""CONSTITUTION:moisture"":""wet"",""PHYSICAL:thermal"":""hot""}"	recorded
Q	f93r|f93r.1-f93r.32	J	D	O	f93r.11:7	f93r.11:5	sheo	f93r.2:6	f93r.2:3	{}	"{""CONSTITUTION:moisture"":""wet"",""PHYSICAL:moisture"":""dry""}"	recorded
Q	f93r|f93r.1-f93r.32	J	D	I	f93r.11:7	f93r.11:5	sheo	f93r.2:6	f93r.2:3	{}	"{""CONSTITUTION:moisture"":""wet"",""PHYSICAL:moisture"":""dry""}"	recorded
Q	f93r|f93r.1-f93r.32	J	H	O	f93r.11:7	f93r.11:5	sheo	f93r.2:6	f93r.2:3	{}	"{""CONSTITUTION:moisture"":""wet"",""PHYSICAL:thermal"":""hot""}"	recorded
Q	f93r|f93r.1-f93r.32	J	H	I	f93r.11:7	f93r.11:5	sheo	f93r.2:6	f93r.2:3	{}	"{""CONSTITUTION:moisture"":""wet"",""PHYSICAL:thermal"":""hot""}"	recorded
Q	f93r|f93r.1-f93r.32	M	D	O	f93r.11:7	f93r.11:5	sheo	f93r.2:6	f93r.2:3	{}	"{""CONSTITUTION:moisture"":""wet"",""PHYSICAL:moisture"":""dry""}"	recorded
Q	f93r|f93r.1-f93r.32	M	D	I	f93r.11:7	f93r.11:5	sheo	f93r.2:6	f93r.2:3	{}	"{""CONSTITUTION:moisture"":""wet"",""PHYSICAL:moisture"":""dry""}"	recorded
Q	f93r|f93r.1-f93r.32	M	H	O	f93r.11:7	f93r.11:5	sheo	f93r.2:6	f93r.2:3	{}	"{""CONSTITUTION:moisture"":""wet"",""PHYSICAL:thermal"":""hot""}"	recorded
Q	f93r|f93r.1-f93r.32	M	H	I	f93r.11:7	f93r.11:5	sheo	f93r.2:6	f93r.2:3	{}	"{""CONSTITUTION:moisture"":""wet"",""PHYSICAL:thermal"":""hot""}"	recorded
Q	f102v2|f102v2.30-f102v2.39	B	D	O	f102v2.34:8	f102v2.33:4	cheor	f102v2.32:2		{}	{}	recorded
