location	form	instruction	patient	patient_gloss	second	second_gloss	rule	debts	row_status
f93r.2:3	chol	erhitze	f93r.2:6	feuchte Zubereitung [nominale Qualität: Stoffkonstitution]			LOCAL_RIGHT	UNREAD_BETWEEN:f93r.2:4;UNREAD_BETWEEN:f93r.2:5	recorded
f93r.6:6	chol	erhitze	f93r.6:2	kühler Anteil [nominale Qualität: Stoffkonstitution]			LOCAL_LEFT		recorded
f93r.7:2	shol	befeuchte	f93r.7:1	Samen			LOCAL_LEFT		recorded
f93r.10:1	ychos	zerkleinere	f93r.8:3	Dosis Q des Trockenmaterials [nominale Qualität: Stoffkonstitution]			PARAGRAPH_CARRY	UNREAD_BETWEEN:f93r.8:5;UNREAD_BETWEEN:f93r.9:1;UNREAD_BETWEEN:f93r.9:2;UNREAD_BETWEEN:f93r.9:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
f93r.10:2	chey	prüfe	f93r.10:4	flüssige Zubereitung			LOCAL_RIGHT	UNREAD_BETWEEN:f93r.10:3	recorded
f93r.12:1	qokor	erhitze	f93r.11:7	Arzneimaterial [Hypothese; Präparat/Salz offen]			PARAGRAPH_CARRY	IMPLICIT_SUBJECT_CONTINUATION	recorded
f93r.13:2	qotchy	trenne … von … [verbinde … mit … bleibt Rivale]	f93r.13:1	Dosis Q des feuchten Materials [nominale Qualität: Stoffkonstitution]	f93r.13:3	Trockenmaterial [nominale Qualität: Stoffkonstitution]	RELATION_LOCAL		recorded
f93r.16:2	qokor	erhitze	f93r.14:4	Blütenrest			PARAGRAPH_CARRY	UNREAD_BETWEEN:f93r.15:1;UNREAD_BETWEEN:f93r.15:2;UNREAD_BETWEEN:f93r.15:4;UNREAD_BETWEEN:f93r.16:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
f93r.19:2	shol	befeuchte	f93r.19:1	verarbeitetes Blütenmaterial			LOCAL_LEFT		recorded
f93r.21:2	shol	befeuchte	f93r.20:2	Krautpulver			PARAGRAPH_CARRY	UNREAD_BETWEEN:f93r.20:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
f93r.27:1	qokor	erhitze	f93r.27:2	Zubereitung			LOCAL_RIGHT		recorded
f93r.28:1	ychor	nimm	f93r.28:2	abgemessene Zubereitung			LOCAL_RIGHT		recorded
f93r.30:2	qokcho	verarbeite warm	f93r.30:1	Dosis Q des feuchten Materials [nominale Qualität: Stoffkonstitution]			LOCAL_LEFT		recorded
f93r.31:2	chol	erhitze	f93r.31:3	Krautpulver			LOCAL_RIGHT		recorded
