surface	expected_reading_id	expected_old_default_de	spoken_default_de	decision	blocker_status	reason_de	counterevidence_de
ytedy	ytedy#1	hiervon bis zur Mittelstufe abkühlen und abschließen	bis zur Mittelstufe abkühlen und abschließen	RENDERER_REVISE	OPEN_DEICTIC_SOURCE	Der portable Aktionskern bewahrt Kühlung, Mittelstufe und Abschluss; hiervon wird nicht an Cache-Stellen ohne sichtbaren Referenten globalisiert.	Der deiktische Ausgang ist nur an der aktiven gebundenen Position belegt und bleibt occurrence-lokal.
odar	odar#1	Anteil I des Ansatzes abmessen	Anteil I abmessen	RENDERER_REVISE	OPEN_PATIENT	Abmessen und Anteil I bleiben als konkrete portable Aktion erhalten; der Ansatzpatient wird nicht aus zwei aktiven Positionen in alle Cache-Kontexte exportiert.	Ansatz, Auszug und anderer lokaler Stoff bleiben konkurrierende Patienten.
oram	oram#1	Maßportion	ein Maß	RENDERER_REVISE	OPEN_UNIT	Ein Maß ist natürliches Werkstattdeutsch und bewahrt den Messkern, ohne Maß und Portion tautologisch zu verdoppeln.	Die historische Einheit und ein möglicher Portionsbezug bleiben offen.
os	os#1	Zubereitung	Zubereitung	HOLD_UNCHANGED	GENERIC_BLOCKER	Der formal exportierbare Ganzwert wird nicht erfunden präzisiert; die Stelle bleibt als unspezifischer Zubereitungskopf sichtbar.	Der Wert unterscheidet Stoff, Ansatz, Produkt und Gefäßinhalt nicht.
ckhol	ckhol#V84_1	Mischgut	Mischung	RENDERER_REVISE	OPEN_IDENTITY	Mischung ist natürliches Deutsch und bewahrt den vorhandenen Mischkern ohne das logistische Kunstwort Mischgut.	Stoff, Produkt und bloßer Mischzustand bleiben offen.
qockhol	qockhol#V84_1	Mischgut zugeben	Mischung zugeben	RENDERER_REVISE	OPEN_PATIENT	Die vorhandene Aktion bleibt erhalten; nur der unnatürliche Patient Mischgut wird zu Mischung geglättet.	Die konkrete Mischung oder Arznei ist nicht identifiziert.
qeeey	qeeey#1	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	bis zur Endstufe weiterführen und abschließen	RENDERER_REVISE	OPEN_PATIENT	Die Metasprache Behandlung wird entfernt; Weiterführung und Abschluss bleiben hörbar.	Der fortgeführte Patient ist deiktisch und nicht im Ganzwort identifiziert.
ls	ls#1	eine Charge Holz	ein Posten Drogenholz	RENDERER_REVISE	OPEN_UNIT	Drogenholz vermeidet die Brennholzlesung; Posten bewahrt einen einzelnen Arbeitsbestand, ohne eine Portion oder historische Einheit zu erfinden.	Die genaue Einheit und Holzart bleiben offen.
aror	aror#1	eine Portion des Drogenanteils I	ein Teil aus Anteil I	RENDERER_REVISE	OPEN_MATERIAL	Die verschachtelte Wiederholung Portion des Anteils wird zu einer lesbaren Teilrelation geglättet, ohne eine Portionseinheit festzuschreiben.	Das Ausgangsmaterial und Teil gegen Portion oder Fraktion bleiben offen.
qopaiin	qopaiin#1	drei Teile Pulverzubereitung	drei Teile Pulver	RENDERER_REVISE	OPEN_UNIT	Pulver ist praktischer als Pulverzubereitung; Teile bewahrt die gespeicherte Dreimenge ohne eine Portionseinheit zu erfinden.	Der aiin-Teil allein lizenziert keine universelle Kardinalzahl oder Einheit.
chepy	chepy#1	Trockenpulver in Grundform	trockenes Pulver, Grundform	RENDERER_REVISE	OPEN_FORM_NAME	Die attributive Fassung ist natürliches Deutsch und bewahrt Pulver, Trockenzustand und Grundform.	Grundform ist ein Arbeitsindex, kein historisch identifizierter Formname.
ykcho	ykcho#1	warme Trockenmischung	erwärmte Trockenmischung	RENDERER_REVISE	OPEN_HEAT_DEGREE	Erwärmt bindet den k-Zustand an einen Arbeitsprozess, ohne eine exakte Temperatur vorzutäuschen.	Warm gegen heiß und Mischung gegen Zubereitung bleiben offen.
chokol	chokol#V84_1	heißes Trockengut	erhitzte trockene Zubereitung	RENDERER_REVISE	OPEN_PRODUCT_HEAD	Die Fassung bewahrt Hitze und Trockenzustand, ohne aus dem alten Trockengut heimlich eine medizinische Droge zu machen.	Zubereitung, Trockengut und getrockneter Stoff bleiben offene Produktköpfe.
qocho	qocho#1	Trockengut	getrocknete Zubereitung	RENDERER_REVISE	ACTION_LOCAL_ONLY	Der portable Ganzwortkern bleibt nominal und konkretisiert nur einen getrockneten Zubereitungszustand.	Nehmen ist nur an der exakten aktionslizenzierten Position erlaubt; Zubereitung gegen Trockengut bleibt offen.
qopchol	qopchol#1	nimm getrockneten Pulverstoff	getrocknetes Pulver nehmen	RENDERER_REVISE	OPEN_POWDER_IDENTITY	Die Wortstellung wird natürlich und Pulverstoff zu Pulver verkürzt, ohne die vorhandene Aktion zu verlieren.	Die konkrete Pulversubstanz bleibt unbekannt.
dchal	dchal#1	angetrocknetes, abgemessenes Material I	angetrockneter, abgemessener Anteil I	RENDERER_REVISE	OPEN_MATERIAL	Die Fassung bewahrt Trockenzustand, Abmessung und Index I, ohne eine neue Portionseinheit zu erfinden.	Der konkrete Stoff und Anteil gegen Fraktion bleiben offen.
alched	alched#1	Material I, bis Mittelstufe getrocknet und abgeschlossen	Rohstoff I, mitteltrocken; abgeschlossen	RENDERER_REVISE	OPEN_MATERIAL	Die Fassung spricht Klasse I, Trockenzustand und Abschluss kurz aus, ohne eine unbelegte Portionseinheit einzuführen.	Der konkrete Rohstoff und Anteil gegen Materialklasse bleiben offen.
dshees	dshees#1	abgemessene feuchte Form, Endstufe	abgemessene feuchte Zubereitung, Endstufe	RENDERER_REVISE	OPEN_PRODUCT_HEAD	Die Fassung bewahrt Abmessung, Feuchte und Endstufe, ohne eine neue Portionseinheit zu erfinden.	Zubereitung gegen Form- oder Chargenwert bleibt offen.
qolsheedy	qolsheedy#1	vollständig eingeweichten Drogenstoff zugeben und abschließen	vollständig Eingeweichtes zugeben und abschließen	RENDERER_REVISE	OPEN_PATIENT	Einweichen, Zugabe und Abschluss bleiben hörbar, ohne einen Stoff oder eine Portionseinheit zu erfinden.	Der konkrete Patient bleibt offen.
olpchedy	olpchedy#1	fertiges Holzextraktpulver	fertiges Pulver aus Drogenholz	RENDERER_REVISE	EXTRACT_UNSUPPORTED	Die Herkunft aus Drogenholz und das fertige Pulver bleiben; die unbelegte Extraktionsbehauptung entfällt.	Pulver aus Holz kann weiterhin Extrakt, Abrieb oder getrocknete Zubereitung sein.
