candidate_id	surface	prefix_surface	prefix_reading_id	suffix_surface	suffix_reading_id	family	composition	working_meaning_de	spoken_render_de	working_model_score_0_100_not_probability	working_model_level	action_default_allowed	positive_evidence_de	counterevidence_de	open_semantic_slots	expected_occurrences	candidate_decision	composition_semantic_credit
G734-C01	okeeey	o	o#GLOBAL	keeey	keeey#1	HEATED_PREPARATION_END	o+keeey	stark erhitzt, Endstufe	stark erhitzt, Endstufe	21	W1_WEAK_WORKING	0	Zwanzig Cache-Vorkommen und die eindeutige o-plus-keeey-Route stützen die stark erhitzte Endstufe als Ganzwortkern.	Der schwache o-Wert identifiziert keinen Patienten; Ansatz, Wasser oder Zubereitung werden deshalb nicht gesprochen.	O_CARRIER_IDENTITY|EXACT_STAGE_NAME	20	REVISE_ROLE_CONSTRAINED_WHOLE	1
G734-C02	oteody	o	o#GLOBAL	teody	teody#GLOBAL	COLD_PREPARATION_CLOSE	o+teody	abgekühlter, fertiger Ansatz	abgekühlter, fertiger Ansatz	20	W1_WEAK_WORKING	0	Zwanzig nominale und gemischte Cache-Kontexte stützen einen kalten fertigen Ganzwortzustand.	Die eindeutige Zerlegung ist semantisch redundant, weil teody den Kern bereits trägt; sie erhält keinen Kompositionskredit und keine globale Aktion.	O_CARRIER_IDENTITY|ACTION_VS_RESULT	20	LEARNED_WHOLE_NO_COMPOSITIONAL_CREDIT	0
G734-C03	cheeo	chee	chee#GLOBAL	o	o#GLOBAL	FULLY_DRY_PREPARATION	chee+o	vollständig getrocknet	vollständig getrocknet	20	W1_WEAK_WORKING	0	Neunzehn Cache-Vorkommen sichern den vollständigen Trockenzustand als knappen Ganzwortdefault.	Der schwache o-Wert wählt keinen Patienten; die Zerlegung bleibt Navigation und erhält keinen Kompositionskredit.	O_CARRIER_IDENTITY|DRY_PATIENT	19	LEARNED_WHOLE_NO_COMPOSITIONAL_CREDIT	0
G734-C04	otody	o	o#GLOBAL	tody	tody#GLOBAL	COLD_PREPARATION_FINISH	o+tody	kalter, fertiger Ansatz	kalter, fertiger Ansatz	20	W1_WEAK_WORKING	0	Vierzehn Cache-Vorkommen stützen einen kalten fertigen Ganzwortzustand.	Die eindeutige Zerlegung ist semantisch redundant; o fügt keinen sicheren Slot hinzu und die Handlung wird nicht globalisiert.	O_CARRIER_IDENTITY|ACTION_VS_RESULT	14	LEARNED_WHOLE_NO_COMPOSITIONAL_CREDIT	0
G734-C05	chkeey	ch	ch#GLOBAL	keey	keey#1	DRY_HEAT_END	ch+keey	heiß-trocken, Endstufe	heiß-trocken, Endstufe	27	W1_WEAK_WORKING	0	Dreizehn überwiegend nominale Cache-Kontexte stützen den heiß-trockenen Endzustand als Ganzwortdefault.	Context-only ch plus keey beweist weder Imperativ noch Operationsreihenfolge; der Split erhält keinen Kompositionskredit.	OPERATION_ORDER|EXACT_STAGE_NAME|ACTION_PATIENT	13	LEARNED_WHOLE_NO_COMPOSITIONAL_CREDIT	0
G734-C06	qopchy	qo	qo#GLOBAL	pchy	pchy#GLOBAL	DRY_POWDER_COMMAND	qo+pchy	trockenes Pulver nehmen	trockenes Pulver nehmen	49	W2_PROVISIONAL_WORKING	1	Zwölf Cache-Vorkommen und genau die Zweiteilung qo plus pchy verbinden den starken Nehmen-Block mit dem bekannten Trockenpulver-Ganzwert.	Pulver ist eine Arbeitsfamilie, keine identifizierte Substanz; eine nominale Lesung bleibt als Rivale möglich.	POWDER_IDENTITY|COMMAND_VS_NOMINAL	12	PROMOTE_COMPOSITIONAL_WHOLE	1
G734-C07	shky	sh	sh#GLOBAL	ky	ky#GLOBAL	HOT_SOAK_BEGIN	sh+ky	heiß angefeuchtet, Anfangsstufe	heiß angefeuchtet, Anfangsstufe	32	W1_WEAK_WORKING	0	Zwölf Cache-Vorkommen und die sh/ky-Familie stützen Feuchte, Hitze und Anfangsstufe als nominalen Ganzwortzustand.	Einweichen als Imperativ ist nur lokal denkbar; der Patient fehlt und wird nicht globalisiert.	ACTION_PATIENT|HOT_STATE_VS_ACTION	12	REVISE_ROLE_CONSTRAINED_WHOLE	1
G734-C08	sheod	she	she#GLOBAL	od	od#GLOBAL	MOIST_PREPARATION_MEASURE	she+od	vom feuchten Ansatz abmessen	vom feuchten Ansatz abmessen	59	W2_PROVISIONAL_WORKING	1	Elf Cache-Vorkommen und genau die Zweiteilung she plus od verbinden den stabilen Feuchtwert mit dem bekannten Abmessblock.	Ansatz ist der praktisch beste Patient, aber nicht unabhängig als Stoff oder Gefäßinhalt identifiziert.	ACTION_PATIENT|SOURCE_VS_PRODUCT	11	PROMOTE_COMPOSITIONAL_WHOLE	1
G734-C09	chcphy	ch	ch#GLOBAL	cphy	cphy#1	DRY_MIXTURE_COMMAND	ch+cphy	trockene Mischung	trockene Mischung	32	W1_WEAK_WORKING	0	Zehn Cache-Vorkommen und die ch/cphy-Familie stützen eine trockene Mischung als nominalen Ganzwortwert.	Context-only ch lizenziert keinen universellen Imperativ; Mischung gegen Arzneikompositum bleibt offen.	MIXTURE_IDENTITY|ACTION_PATIENT	10	REVISE_ROLE_CONSTRAINED_WHOLE	1
G734-C10	cheeody	chee	chee#GLOBAL	ody	ody#GLOBAL	FULLY_DRY_FINISHED_PREPARATION	chee+ody	vollständig getrockneter, fertiger Ansatz	vollständig getrockneter, fertiger Ansatz	42	W2_PROVISIONAL_WORKING	0	Zehn Cache-Vorkommen und genau die Zweiteilung chee plus ody verbinden zwei bereits gespeicherte kompatible Resultatzustände.	Zwei Resultatwörter können auch eine feste Ganzform bilden; Ansatz gegen Zubereitung bleibt offen.	PRODUCT_HEAD_IDENTITY|COMPOSITION_VS_LEARNED_WHOLE	10	PROMOTE_COMPOSITIONAL_WHOLE	1
