object_form_card_ordinal	object_class	object_lemma_de	grammatical_gender	reference_mode	determiner_de	rendered_object_np_de	occurrence_count	typing_card_profile	reference_scope_profile
1	BATH_UNIT	Badeinheit	FEMININE	ANAPHORIC	dieselbe	dieselbe Badeinheit	1	T03_BOUND_TYPED_REFERENCE:1	Q01_LEFT_ANAPHORIC:1
2	BATH_UNIT	Badeinheit	FEMININE	DEFINITE	die	die Badeinheit	8	T01_WRITTEN_TYPED_OBJECT:6|T04_STABLE_AIN_OR_TYPE:2	Q03_LOCAL_OR_DEFAULT_DEFINITE:8
3	BATH_UNIT	Becken- oder Körpereinheit	FEMININE	ANAPHORIC	dieselbe	dieselbe Becken- oder Körpereinheit	2	T03_BOUND_TYPED_REFERENCE:2	Q01_LEFT_ANAPHORIC:2
4	BATH_UNIT	Stationseinheit	FEMININE	ANAPHORIC	dieselbe	dieselbe Stationseinheit	4	T03_BOUND_TYPED_REFERENCE:2|T04_STABLE_AIN_OR_TYPE:2	Q01_LEFT_ANAPHORIC:4
5	BODY	Körper	MASCULINE	ANAPHORIC	denselben	denselben Körper	3	T03_BOUND_TYPED_REFERENCE:3	Q01_LEFT_ANAPHORIC:3
6	BODY	Körper	MASCULINE	DEFINITE	den	den Körper	97	T01_WRITTEN_TYPED_OBJECT:52|T03_BOUND_TYPED_REFERENCE:2|T05_BODY_FIRST_DEFAULT:43	Q02_RIGHT_OR_TIE_DEFINITE:2|Q03_LOCAL_OR_DEFAULT_DEFINITE:95
7	FLOW	Strom	MASCULINE	ANAPHORIC	denselben	denselben Strom	2	T03_BOUND_TYPED_REFERENCE:2	Q01_LEFT_ANAPHORIC:2
8	PORTION	Anwendungsportion	FEMININE	ANAPHORIC	dieselbe	dieselbe Anwendungsportion	8	T03_BOUND_TYPED_REFERENCE:5|T04_STABLE_AIN_OR_TYPE:3	Q01_LEFT_ANAPHORIC:8
9	PORTION	Anwendungsportion	FEMININE	DEFINITE	die	die Anwendungsportion	7	T01_WRITTEN_TYPED_OBJECT:2|T04_STABLE_AIN_OR_TYPE:5	Q03_LOCAL_OR_DEFAULT_DEFINITE:7
10	STATION	Stationsansatz	MASCULINE	ANAPHORIC	denselben	denselben Stationsansatz	50	T03_BOUND_TYPED_REFERENCE:50	Q01_LEFT_ANAPHORIC:50
11	STATION	Stationsansatz	MASCULINE	DEFINITE	den	den Stationsansatz	72	T01_WRITTEN_TYPED_OBJECT:40|T02_BLOCKER_STATION:25|T03_BOUND_TYPED_REFERENCE:7	Q02_RIGHT_OR_TIE_DEFINITE:7|Q03_LOCAL_OR_DEFAULT_DEFINITE:65
