modifier_sequence_ordinal	bath_frame	modifier_id_sequence	modifier_root_sequence	rendered_suffix_de	occurrence_count	example_event_id
1	BAD	M05_GRADE_I	E	 auf Grad I	131	G407-E1431
2	BAD	M04_GRADE_II	EE	 auf Grad II	39	G407-E1445
3	BAD	M05_GRADE_I|M14_CONTACT	E|L	 auf Grad I und über den Stationskontakt oder die Leitung	12	G407-E1433
4	BAD	M10_WORK_SITE	D_ADDR	 an der Stations-Arbeitsstelle	6	G407-E2912
5	BAD	NONE	NONE	NONE	6	G407-E1544
6	BAD	M01_FILL|M05_GRADE_I	AIIN_FILL|E	 bei der angegebenen Füllung auf Grad I	5	G407-E2404
7	BAD	M04_GRADE_II|M14_CONTACT	EE|L	 auf Grad II und über den Stationskontakt oder die Leitung	5	G407-E2487
8	BAD	M05_GRADE_I|M12_TARGET	E|AL	 auf Grad I und zur Zielstation oder ins Zielbecken	4	G407-E2495
9	BAD	M02_APPLY	O	 in Anwendungsform	3	G407-E2649
10	BAD	M04_GRADE_II|M10_WORK_SITE	EE|D_ADDR	 auf Grad II und an der Stations-Arbeitsstelle	3	G407-E2760
11	BAD	M04_GRADE_II|M12_TARGET	EE|AL	 auf Grad II und zur Zielstation oder ins Zielbecken	3	G407-E2704
12	BAD	M01_FILL	AIIN_FILL	 bei der angegebenen Füllung	2	G407-E2647
13	BAD	M01_FILL|M04_GRADE_II	AIIN_FILL|EE	 bei der angegebenen Füllung auf Grad II	2	G407-E2637
14	BAD	M02_APPLY|M05_GRADE_I|M14_CONTACT	O|E|L	 in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung	2	G407-E1599
15	BAD	M04_GRADE_II|M10_WORK_SITE|M14_CONTACT	EE|D_ADDR|L	 auf Grad II, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung	2	G407-E2435
16	BAD	M04_GRADE_II|M11_END_SITE	EE|S_ADDR	 auf Grad II und an der Stations-Endstelle	2	G407-E2480
17	BAD	M05_GRADE_I|M10_WORK_SITE	E|D_ADDR	 auf Grad I und an der Stations-Arbeitsstelle	2	G407-E1489
18	BAD	M12_TARGET	AL	 zur Zielstation oder ins Zielbecken	2	G407-E1576
19	BADBETRIEB	M05_GRADE_I	E	 auf Grad I	2	G407-E1590
