bath_action_ordinal	source_event_id	action_slot_id	statement_id	physical_page	locus	surface	component_recipe	upstream_selection_route	typing_card_id	reference_scope_card_id	typing_token	scope_source_pointer	reference_mode	object_class	object_lemma_de	grammatical_gender	determiner_de	rendered_object_np_de	participant_count	selected_participant_position	participant_np_sequence_de	bath_frame	modifier_id_sequence	modifier_root_sequence	modifier_group_count	modifier_suffix_de	gdt595_clause_de	gdt596_reconstructed_clause_de	exact_replay	host_attachment_rival	default_survives_with_rival	guard
1	G407-E1431	RUNNING:G407-E1431@1	G407-S082	f75r	f75r.1	shedy	SH+E+DY	GDT569_Y_RESET_BODY_FIRST	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	BODY_FIRST_DEFAULT	DEFAULT:BODY	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
2	G407-E1433	RUNNING:G407-E1433@1	G407-S083	f75r	f75r.2	shey	SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_BLOCKED_STATION	HOST:G407-E1433:RUNNING:G407-E1432@1|RUNNING:G407-E1433@3|RUNNING:G407-E1434@2	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	2	2	die Anwendungsportion|den Stationsansatz	BAD	M05_GRADE_I|M14_CONTACT	E|L	2	 auf Grad I und über den Stationskontakt oder die Leitung	Halte die Anwendungsportion und den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	Halte die Anwendungsportion und den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
3	G407-E1445	RUNNING:G407-E1445@1	G407-S085	f75r	f75r.3	sheeky	SH+EE+K+Y	NEAREST_VISIBLE_NONMEDIUM_PARTICIPANT	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_PORTION	GDT595:G407-E1445:RUNNING:G407-E1444@2	ANAPHORIC	PORTION	Anwendungsportion	FEMININE	dieselbe	dieselbe Anwendungsportion	1	1	dieselbe Anwendungsportion	BAD	M04_GRADE_II	EE	1	 auf Grad II	Halte dieselbe Anwendungsportion im Bad auf Grad II	Halte dieselbe Anwendungsportion im Bad auf Grad II	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
4	G407-E1452	RUNNING:G407-E1452@2	G407-S085	f75r	f75r.4	lshey	L+SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_BLOCKED_STATION	HOST:G407-E1452:RUNNING:G407-E1452@4	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M05_GRADE_I|M14_CONTACT	E|L	2	 auf Grad I und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
5	G407-E1455	RUNNING:G407-E1455@1	G407-S085	f75r	f75r.4	shey	SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1455:RUNNING:G407-E1455@3	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
6	G407-E1457	RUNNING:G407-E1457@1	G407-S085	f75r	f75r.4	shey	SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1457:RUNNING:G407-E1457@3	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
7	G407-E1459	RUNNING:G407-E1459@1	G407-S086	f75r	f75r.5	shey	SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1459:RUNNING:G407-E1459@3	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
8	G407-E1489	RUNNING:G407-E1489@2	G407-S091	f75r	f75r.8	dsheckhy	D_ADDR+SH+E+CH+K+Y	BODY_BLOCKER_STATION	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	BLOCKER_STATION	BLOCKER:D_ADDR	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M05_GRADE_I|M10_WORK_SITE	E|D_ADDR	2	 auf Grad I und an der Stations-Arbeitsstelle	Halte den Stationsansatz im Bad auf Grad I und an der Stations-Arbeitsstelle	Halte den Stationsansatz im Bad auf Grad I und an der Stations-Arbeitsstelle	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
9	G407-E1492	RUNNING:G407-E1492@2	G407-S091	f75r	f75r.8	lshedy	L+SH+E+DY	BODY_BLOCKER_STATION	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	BLOCKER_STATION	BLOCKER:L	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M05_GRADE_I|M14_CONTACT	E|L	2	 auf Grad I und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
10	G407-E1503	RUNNING:G407-E1503@2	G407-S096	f75r	f75r.10	dshor	D_ADDR+SH+OR	WRITTEN_OR_UNIT	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	OR_UNIT	HOST:G407-E1503:RUNNING:G407-E1503@3	DEFINITE	BATH_UNIT	Badeinheit	FEMININE	die	die Badeinheit	1	1	die Badeinheit	BAD	M10_WORK_SITE|M13_SOURCE	D_ADDR|AR	2	 an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken	Halte die Badeinheit im Bad an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken	Halte die Badeinheit im Bad an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
