modifier_card_order	modifier_card_id	working_root	phrase_de	occurrence_count	patient_selecting
1	M01_FILL	AIIN_FILL	bei der angegebenen Füllung	11	NO
2	M02_APPLY	O	in Anwendungsform	11	NO
3	M03_GRADE_III	EEE	auf Grad III	1	NO
4	M04_GRADE_II	EE	auf Grad II	61	NO
5	M05_GRADE_I	E	auf Grad I	166	NO
6	M06_FINE	LOCAL_CHAR_F	in Feinform	2	NO
7	M07_NEW_BATCH	CARRIER_Q	als neuer Bad- oder Stationsansatz	3	NO
8	M08_MAIN_SITE	A_ADDR	an der Stations-Hauptstelle	4	NO
9	M09_SIDE_SITE	AM_ADDR	an der Stations-Nebenstelle	1	NO
10	M10_WORK_SITE	D_ADDR	an der Stations-Arbeitsstelle	24	NO
11	M11_END_SITE	S_ADDR	an der Stations-Endstelle	2	NO
12	M12_TARGET	AL	zur Zielstation oder ins Zielbecken	12	NO
13	M13_SOURCE	AR	von der Ausgangsstation oder aus dem Ausgangsbecken	8	NO
14	M14_CONTACT	L	über den Stationskontakt oder die Leitung	31	NO
15	M15_PATH	AIR	entlang des Stationswegs oder Kanals	1	NO
