event_serial	event_id	page	locus	field_id	statement_id	field_ordinal	field_length	surface	joint_tuple_id	composition	e_grade	endpoint	short_default_de
8	E008	f10r	f10r.2	F001	H1-S001	8	10	oky	276a7c2d74d1143446f4	OK+Y	NONE	Y_OPEN	Arbeitsgang ansetzen; Diesposten bleibt offen
81	E081	f56r	f56r.7	F015	H5-S001	4	5	choky	276a7c2d74d1143446f4	OK+Y	NONE	Y_OPEN	Arbeitsgang ansetzen; Diesposten bleibt offen
85	E085	f56r	f56r.8	F016	H5-S002	3	4	choky	276a7c2d74d1143446f4	OK+Y	NONE	Y_OPEN	Arbeitsgang ansetzen; Diesposten bleibt offen
101	E101	f81v	f81v.2	F021	B1-S001	1	1	qokedy	7db18b2f0fb7ed0fcfd3	OK+E+DY	SHORT	DY_CLOSE	kurz in Kontakt setzen; Schritt schließen
137	E137	f81v	f81v.18	F031	B1-S009	1	1	qokedy	7db18b2f0fb7ed0fcfd3	OK+E+DY	SHORT	DY_CLOSE	kurz in Kontakt setzen; Schritt schließen
138	E138	f81v	f81v.18	F032	B1-S010	1	1	qokedy	7db18b2f0fb7ed0fcfd3	OK+E+DY	SHORT	DY_CLOSE	kurz in Kontakt setzen; Schritt schließen
140	E140	f81v	f81v.18	F033	B1-S011	2	2	qoky	276a7c2d74d1143446f4	OK+Y	NONE	Y_OPEN	Arbeitsgang ansetzen; Diesposten bleibt offen
142	E142	f81v	f81v.21	F034	B1-S012	2	3	qokey	08bd5ca0c2ad137a056d	OK+E+Y	SHORT	Y_OPEN	kurz in Kontakt setzen; Diesposten bleibt offen
153	E153	f81v	f81v.24	F038	B1-S016	2	4	okeey	0275fbf14e07935b0a45	OK+EE+Y	LONG	Y_OPEN	länger in Kontakt halten; Diesposten bleibt offen
171	E171	f82r	f82r.2	F047	B2-S003	3	3	qokeedy	7d25241b0e56c836372a	OK+EE+DY	LONG	DY_CLOSE	länger in Kontakt halten; Schritt schließen
175	E175	f82r	f82r.3	F049	B2-S004	1	2	qokeey	0275fbf14e07935b0a45	OK+EE+Y	LONG	Y_OPEN	länger in Kontakt halten; Diesposten bleibt offen
188	E188	f82r	f82r.4	F052	B2-S006	4	4	qoky	276a7c2d74d1143446f4	OK+Y	NONE	Y_OPEN	Arbeitsgang ansetzen; Diesposten bleibt offen
194	E194	f82r	f82r.7	F056	B2-S010	1	4	qokeey	0275fbf14e07935b0a45	OK+EE+Y	LONG	Y_OPEN	länger in Kontakt halten; Diesposten bleibt offen
195	E195	f82r	f82r.7	F056	B2-S010	2	4	qoky	276a7c2d74d1143446f4	OK+Y	NONE	Y_OPEN	Arbeitsgang ansetzen; Diesposten bleibt offen
201	E201	f82r	f82r.19	F057	B2-S011	4	4	qokeedy	7d25241b0e56c836372a	OK+EE+DY	LONG	DY_CLOSE	länger in Kontakt halten; Schritt schließen
205	E205	f82r	f82r.23	F059	B2-S012	3	7	qokeey	0275fbf14e07935b0a45	OK+EE+Y	LONG	Y_OPEN	länger in Kontakt halten; Diesposten bleibt offen
209	E209	f82r	f82r.23	F059	B2-S012	7	7	qokeeedy	d25110e0d8488927278f	OK+EEE+DY	FULL	DY_CLOSE	vollständig in Kontakt bringen; Schritt schließen
213	E213	f82r	f82r.26	F062	B2-S015	2	2	qokeedy	7d25241b0e56c836372a	OK+EE+DY	LONG	DY_CLOSE	länger in Kontakt halten; Schritt schließen
220	E220	f82r	f82r.26	F063	B2-S016	7	7	okey	08bd5ca0c2ad137a056d	OK+E+Y	SHORT	Y_OPEN	kurz in Kontakt setzen; Diesposten bleibt offen
224	E224	f82r	f82r.27	F066	B2-S018	1	1	qokeedy	7d25241b0e56c836372a	OK+EE+DY	LONG	DY_CLOSE	länger in Kontakt halten; Schritt schließen
227	E227	f82r	f82r.27	F069	B2-S021	1	1	qokeedy	7d25241b0e56c836372a	OK+EE+DY	LONG	DY_CLOSE	länger in Kontakt halten; Schritt schließen
245	E245	f83r	f83r.6	F077	B3-S007	3	3	qokeedy	7d25241b0e56c836372a	OK+EE+DY	LONG	DY_CLOSE	länger in Kontakt halten; Schritt schließen
247	E247	f83r	f83r.6	F079	B3-S009	1	1	qoky	276a7c2d74d1143446f4	OK+Y	NONE	Y_OPEN	Arbeitsgang ansetzen; Diesposten bleibt offen
251	E251	f83r	f83r.8	F081	B3-S011	2	4	qoky	276a7c2d74d1143446f4	OK+Y	NONE	Y_OPEN	Arbeitsgang ansetzen; Diesposten bleibt offen
259	E259	f83r	f83r.11	F083	B3-S013	4	4	qokedy	7db18b2f0fb7ed0fcfd3	OK+E+DY	SHORT	DY_CLOSE	kurz in Kontakt setzen; Schritt schließen
265	E265	f83r	f83r.14	F088	B3-S017	1	1	qokeedy	7d25241b0e56c836372a	OK+EE+DY	LONG	DY_CLOSE	länger in Kontakt halten; Schritt schließen
293	E293	f83r	f83r.20	F101	B3-S028	1	2	qokeey	0275fbf14e07935b0a45	OK+EE+Y	LONG	Y_OPEN	länger in Kontakt halten; Diesposten bleibt offen
294	E294	f83r	f83r.20	F101	B3-S028	2	2	qokedy	7db18b2f0fb7ed0fcfd3	OK+E+DY	SHORT	DY_CLOSE	kurz in Kontakt setzen; Schritt schließen
297	E297	f83r	f83r.20	F102	B3-S029	3	3	qokedy	7db18b2f0fb7ed0fcfd3	OK+E+DY	SHORT	DY_CLOSE	kurz in Kontakt setzen; Schritt schließen
298	E298	f83r	f83r.20	F103	B3-S030	1	2	qoky	276a7c2d74d1143446f4	OK+Y	NONE	Y_OPEN	Arbeitsgang ansetzen; Diesposten bleibt offen
302	E302	f83r	f83r.22	F105	B3-S031	1	1	qokeedy	7d25241b0e56c836372a	OK+EE+DY	LONG	DY_CLOSE	länger in Kontakt halten; Schritt schließen
315	E315	f83r	f83r.25	F109	B4-S001	1	1	qokeedy	7d25241b0e56c836372a	OK+EE+DY	LONG	DY_CLOSE	länger in Kontakt halten; Schritt schließen
