global_token_order	section	global_field_id	position_class	master_card_id	value_de	hand_a_surface	rule_applied	compressed_profile_surface	hand_c_surface	matches_hand_c	surface_registered
1	A	N01	INITIAL	MC142	vom vorigen	dchol	DEFAULT_KEEP	dchol	dchol	YES	YES
2	A	N01	MEDIAL	MC119	Klarauszug	shey	DEFAULT_KEEP	shey	shey	YES	YES
3	A	N01	FINAL	MC039	Sollmaß	aiin	R2	daiin	daiin	YES	YES
4	A	N02	INITIAL	MC147	kurz wärmen	cheky	DEFAULT_KEEP	cheky	cheky	YES	YES
5	A	N02	MEDIAL	MC059	Einlage	dain	DEFAULT_KEEP	dain	dain	YES	YES
6	A	N02	MEDIAL	MC074	überführen	chedy	DEFAULT_KEEP	chedy	chedy	YES	YES
7	A	N02	FINAL	MC082	lange einwirken; Schluss	qokeedy	DEFAULT_KEEP	qokeedy	qokeedy	YES	YES
8	A	N03	ONLY	MC143	durchlassen; Schluss	shckhedy	DEFAULT_KEEP	shckhedy	shckhedy	YES	YES
9	A	N04	ONLY	MC143	durchlassen; Schluss	shckhedy	DEFAULT_KEEP	shckhedy	shckhedy	YES	YES
10	A	N05	INITIAL	MC105	Anteil	kain	DEFAULT_KEEP	kain	kain	YES	YES
11	A	N05	MEDIAL	MC154	dorthin	dal	R3	al	al	YES	YES
12	A	N05	MEDIAL	MC026	einsetzen	qoky	DEFAULT_KEEP	qoky	qoky	YES	YES
13	A	N05	FINAL	MC038	Waschgang; Schluss	lshedy	DEFAULT_KEEP	lshedy	lshedy	YES	YES
14	C	N06	INITIAL	MC142	vom vorigen	dchol	DEFAULT_KEEP	dchol	dchol	YES	YES
15	C	N06	MEDIAL	MC039	Sollmaß	aiin	R2	daiin	daiin	YES	YES
16	C	N06	MEDIAL	MC147	kurz wärmen	cheky	DEFAULT_KEEP	cheky	cheky	YES	YES
17	C	N06	MEDIAL	MC040	dorthin einsetzen	okal	DEFAULT_KEEP	okal	okal	YES	YES
18	C	N06	MEDIAL	MC007	kurz einwirken	okey	R1	qokey	qokey	YES	YES
19	C	N06	MEDIAL	MC105	Anteil	kain	DEFAULT_KEEP	kain	kain	YES	YES
20	C	N06	MEDIAL	MC074	überführen	chedy	DEFAULT_KEEP	chedy	chedy	YES	YES
