occurrence	tuple_id	surface	page	locus	record_ordinal	field_ordinal	within_field_position	line_first	dy_closure	b3	boundary_before	boundary_after	complete_field_surface	complete_field_v17	preceding_physical_line	target_physical_line_v17	following_physical_line	immediate_before_state	selected_transition	immediate_after_state	rival_1_inserted_sequence	rival_2_inserted_sequence	rival_3_inserted_sequence	rewritten_target_line	process_before_class	process_after_class	visible_owner	silent_owner	fit
1	4d4559019a961b834aa1	char	f10r	f10r.2	1	1	MIDDLE	0	0	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	dchey cthoor char chty os chair otytchol oky daiin etyd	the pictured simple is called local-name-65F32; kept in a covered jar; from the same batch; until evenly joined; pounded to powder; a reddish stem; drunk for stomach pain; apply or use this portion; in the stated or usual measure; and keep the root	PAGE_START	the pictured simple is called local-name-65F32; kept in a covered jar; from the same batch; until evenly joined; pounded to powder; a reddish stem; drunk for stomach pain; apply or use this portion; in the stated or usual measure; and keep the root	use the freshly prepared remedy; applied while warm; with the foregoing preparation; when the preparation is ready	kept in a covered jar	take it from the same preparation or batch	until evenly joined	kept in a covered jar -> [take it from the same preparation or batch] -> until evenly joined	kept in a covered jar -> [continue with the next step] -> until evenly joined	kept in a covered jar -> [repeat the whole foregoing preparation] -> until evenly joined	the pictured simple is called local-name-65F32; kept in a covered jar; take it from the same preparation or batch; until evenly joined; pounded to powder; a reddish stem; drunk for stomach pain; apply or use this portion; in the stated or usual measure; and keep the root	a named simple, working batch, flow or measured addition is active	the next amount/action inherits that same material source rather than starting a fresh batch	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
2	4d4559019a961b834aa1	dar	f10r	f10r.8	2	1	LAST	0	0	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	LINE_END	qotchor chor otol chol cholor chol daiin dar	gathered before flowering; the prepared decoction or working liquid; a handful; with the foregoing preparation; from the foregoing batch; with the foregoing preparation; in the stated or usual measure; from the same batch	it is found in; when the preparation is ready; the prepared decoction or working liquid; the expressed juice; boiled gently; this present portion; this present portion; in the stated or usual measure; this present portion	gathered before flowering; the prepared decoction or working liquid; a handful; with the foregoing preparation; from the foregoing batch; with the foregoing preparation; in the stated or usual measure; from the same batch	its flower appears; the prepared decoction or working liquid; the prepared decoction or working liquid; this present portion; a bitter taste; this present portion; and preserve it in oil	in the stated or usual measure	take it from the same preparation or batch	its flower appears	in the stated or usual measure -> [take it from the same preparation or batch] -> its flower appears	in the stated or usual measure -> [continue with the next step] -> its flower appears	in the stated or usual measure -> [repeat the whole foregoing preparation] -> its flower appears	gathered before flowering; the prepared decoction or working liquid; a handful; with the foregoing preparation; from the foregoing batch; with the foregoing preparation; in the stated or usual measure; take it from the same preparation or batch	a named simple, working batch, flow or measured addition is active	the next amount/action inherits that same material source rather than starting a fresh batch	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
3	2cc054357a929df85f64	cho	f56r	f56r.5	1	1	MIDDLE	0	0	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	chochor cho chodaly daiin	gather it in spring; thereafter take the following detail; the lower root; in the stated or usual measure	PAGE_START	gather it in spring; thereafter take the following detail; the lower root; in the stated or usual measure	thereafter take the following detail; white wine; gathered before flowering; apply or use this portion; at the place indicated by the drawing	gather it in spring	then take or use the following plant part or ingredient	the lower root	gather it in spring -> [then take or use the following plant part or ingredient] -> the lower root	gather it in spring -> [resume the pictured plant topic] -> the lower root	gather it in spring -> [use the flowering tops] -> the lower root	gather it in spring; then take or use the following plant part or ingredient; the lower root; in the stated or usual measure	the Herbal article has supplied a season, seed statement or previous remedy clause	the immediately following part/ingredient becomes the operand of TAKE/USE and the article continues	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
4	2cc054357a929df85f64	sho	f56r	f56r.7	1	1	FIRST	1	0	0	LINE_START	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	sho kchol otchor choky dal	thereafter take the following detail; white wine; gathered before flowering; apply or use this portion; at the place indicated by the drawing	gather it in spring; thereafter take the following detail; the lower root; in the stated or usual measure	thereafter take the following detail; white wine; gathered before flowering; apply or use this portion; at the place indicated by the drawing	the pictured simple is called local-name-D6655; shaded woodland; apply or use this portion; leave the outlet open; close the rubric	in the stated or usual measure	then take or use the following plant part or ingredient	white wine	in the stated or usual measure -> [then take or use the following plant part or ingredient] -> white wine	in the stated or usual measure -> [resume the pictured plant topic] -> white wine	in the stated or usual measure -> [use the flowering tops] -> white wine	then take or use the following plant part or ingredient; white wine; gathered before flowering; apply or use this portion; at the place indicated by the drawing	the Herbal article has supplied a season, seed statement or previous remedy clause	the immediately following part/ingredient becomes the operand of TAKE/USE and the article continues	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
5	2cc054357a929df85f64	cho	f56r	f56r.12	1	1	MIDDLE	0	0	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	sh cho kchey qokokchy	its seed is; thereafter take the following detail; the dried leaf; and dry it in shade	the pictured simple is called local-name-D6655; shaded woodland; apply or use this portion; leave the outlet open; close the rubric	its seed is; thereafter take the following detail; the dried leaf; and dry it in shade	use the freshly prepared remedy; drunk for stomach pain; and dry it in shade	its seed is	then take or use the following plant part or ingredient	the dried leaf	its seed is -> [then take or use the following plant part or ingredient] -> the dried leaf	its seed is -> [resume the pictured plant topic] -> the dried leaf	its seed is -> [use the flowering tops] -> the dried leaf	its seed is; then take or use the following plant part or ingredient; the dried leaf; and dry it in shade	the Herbal article has supplied a season, seed statement or previous remedy clause	the immediately following part/ingredient becomes the operand of TAKE/USE and the article continues	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
6	2cc054357a929df85f64	sho	f56r	f56r.18	1	1	FIRST	1	0	0	LINE_START	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	sho chokchy kchoar sotodan	thereafter take the following detail; use the freshly prepared remedy; honey; and use it fresh	use the freshly prepared remedy; drunk for stomach pain; and dry it in shade	thereafter take the following detail; use the freshly prepared remedy; honey; and use it fresh	mark the following share; a pale flower; in the stated or usual measure	and dry it in shade	then take or use the following plant part or ingredient	use the freshly prepared remedy	and dry it in shade -> [then take or use the following plant part or ingredient] -> use the freshly prepared remedy	and dry it in shade -> [resume the pictured plant topic] -> use the freshly prepared remedy	and dry it in shade -> [use the flowering tops] -> use the freshly prepared remedy	then take or use the following plant part or ingredient; use the freshly prepared remedy; honey; and use it fresh	the Herbal article has supplied a season, seed statement or previous remedy clause	the immediately following part/ingredient becomes the operand of TAKE/USE and the article continues	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
7	4d4559019a961b834aa1	sar	f81v	f81v.2	1	2	MIDDLE	0	0	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	okaiin kair okal sar ol kain olkain al ol rol dl	take up the next portion or instruction; the returning flow; mix the two portions together; from the same batch; with the foregoing preparation; one measured portion; the lower basin; at the place indicated by the drawing; with the foregoing preparation; before it cools; the prepared oil	PAGE_START	rinse the indicated place once; end this instruction; take up the next portion or instruction; the returning flow; mix the two portions together; from the same batch; with the foregoing preparation; one measured portion; the lower basin; at the place indicated by the drawing; with the foregoing preparation; before it cools; the prepared oil	from the foregoing batch; with the foregoing preparation; a moderate quantity; in the stated or usual measure; the immersed part; in the stated or usual measure; through the connected channels; finish this treatment; end this instruction; with the foregoing preparation	mix the two portions together	take it from the same preparation or batch	with the foregoing preparation	mix the two portions together -> [take it from the same preparation or batch] -> with the foregoing preparation	mix the two portions together -> [continue with the next step] -> with the foregoing preparation	mix the two portions together -> [repeat the whole foregoing preparation] -> with the foregoing preparation	rinse the indicated place once; end this instruction; take up the next portion or instruction; the returning flow; mix the two portions together; take it from the same preparation or batch; with the foregoing preparation; one measured portion; the lower basin; at the place indicated by the drawing; with the foregoing preparation; before it cools; the prepared oil	a named simple, working batch, flow or measured addition is active	the next amount/action inherits that same material source rather than starting a fresh batch	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
8	259b2b3b0bf859882e2c	schedy	f81v	f81v.7	1	1	LAST	0	1	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	olor ol sheckhal daiin qokeedal daiin chckhy schedy	from the foregoing batch; with the foregoing preparation; a moderate quantity; in the stated or usual measure; the immersed part; in the stated or usual measure; through the connected channels; finish this treatment; end this instruction	rinse the indicated place once; end this instruction; take up the next portion or instruction; the returning flow; mix the two portions together; from the same batch; with the foregoing preparation; one measured portion; the lower basin; at the place indicated by the drawing; with the foregoing preparation; before it cools; the prepared oil	from the foregoing batch; with the foregoing preparation; a moderate quantity; in the stated or usual measure; the immersed part; in the stated or usual measure; through the connected channels; finish this treatment; end this instruction; with the foregoing preparation	keep it warm; close the rubric; stir until evenly mixed; with the foregoing preparation; let it stand until ready; end this instruction; reserve the mixed liquid; end this instruction; add one measured portion to the vessel; through the connected channels; the prepared oil; and let it cool	through the connected channels	wash the active vessel or conduit through once; close this step	with the foregoing preparation	through the connected channels -> [finish the current treatment] -> with the foregoing preparation	through the connected channels -> [strain the liquid once] -> with the foregoing preparation	through the connected channels -> [wash the active vessel or conduit through once] -> with the foregoing preparation	from the foregoing batch; with the foregoing preparation; a moderate quantity; in the stated or usual measure; the immersed part; in the stated or usual measure; through the connected channels; wash the active vessel or conduit through once; close this step; with the foregoing preparation	a vessel/route is available, or a measured immersed portion has just passed through connected channels	the active vessel/route has been flushed once and is ready for the next liquid or heating cycle	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
9	28ffbc88b97772a75f1e	qolchedy	f81v	f81v.17	1	3	ONLY	0	1	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	qolchedy	reserve the mixed liquid; end this instruction	from the foregoing batch; with the foregoing preparation; a moderate quantity; in the stated or usual measure; the immersed part; in the stated or usual measure; through the connected channels; finish this treatment; end this instruction; with the foregoing preparation	keep it warm; close the rubric; stir until evenly mixed; with the foregoing preparation; let it stand until ready; end this instruction; reserve the mixed liquid; end this instruction; add one measured portion to the vessel; through the connected channels; the prepared oil; and let it cool	heat it once; end this instruction; this present portion; with the foregoing preparation; over a gentle heat; with the foregoing preparation; let it stand until ready; end this instruction; rinse the indicated place once; end this instruction; rinse the indicated place once; end this instruction; through the connected channels; apply or use this portion	let it stand until ready; end this instruction	set the prepared liquor aside in a receiving vessel; close this step	add one measured portion to the vessel	let it stand until ready; end this instruction -> [set the prepared liquor aside in a receiving vessel] -> add one measured portion to the vessel	let it stand until ready; end this instruction -> [draw off the clear upper liquor into a receiver] -> add one measured portion to the vessel	let it stand until ready; end this instruction -> [retain the entire mixture in the same vessel] -> add one measured portion to the vessel	keep it warm; close the rubric; stir until evenly mixed; with the foregoing preparation; let it stand until ready; end this instruction; set the prepared liquor aside in a receiving vessel; close this step; add one measured portion to the vessel; through the connected channels; the prepared oil; and let it cool	a warmed, stirred or freshly mixed working liquor has been completed	the prepared liquor is reserved in a receiver while the scribe advances to the next addition or conduit step	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
10	0275fbf14e07935b0a45	okeey	f81v	f81v.24	1	2	MIDDLE	0	0	0	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	qokal okeey qol cheedy	mix the two portions together; keep it lukewarm; with the foregoing preparation; let it stand until ready; end this instruction	begin the rinsing; warm water; wash twice; close the rubric; wash twice; close the rubric; stir until evenly mixed; the affected place; the lower basin; with the foregoing preparation; then use the lower outlet	then fill the vessel; let it cool; close the rubric; mix the two portions together; keep it lukewarm; with the foregoing preparation; let it stand until ready; end this instruction; at the place indicated by the drawing; the first opening; strain it clear; close the rubric; then fill the vessel	apply at the marked place; until clear; let the liquid settle; end this instruction; let it stand until ready; end this instruction; over a gentle heat; strain it once through cloth; end this instruction; at the place indicated by the drawing	mix the two portions together	top up the active bath with warmed water	with the foregoing preparation	mix the two portions together -> [keep the active preparation lukewarm] -> with the foregoing preparation	mix the two portions together -> [mix the active preparation thoroughly] -> with the foregoing preparation	mix the two portions together -> [top up the active bath with warmed water] -> with the foregoing preparation	then fill the vessel; let it cool; close the rubric; mix the two portions together; top up the active bath with warmed water; with the foregoing preparation; let it stand until ready; end this instruction; at the place indicated by the drawing; the first opening; strain it clear; close the rubric; then fill the vessel	active bath or working liquid is mixed, cooled, marked or awaiting reuse	bath volume and warmth are restored for straining, immersion, rinsing or application	surface sequence, field/line placement and page drawing	liquid/vessel/body referent inherited from current register or pictured apparatus	CONCRETE_DEFAULT_FITS
