occurrence_id	page	locus	record	field	event_index	surface	exact_tuple_id	field_position	dy_closure	b3	previous_physical_line	complete_target_field	complete_physical_line	following_physical_line	state_immediately_before	rival_1_graph	rival_2_graph	rival_3_graph	selected_meaning	state_immediately_after	selected_process_graph	confidence
R3O01	f10r	f10r.2	1	1	3	char	4d4559019a961b834aa1	MIDDLE	0	0	<PAGE_START>	the pictured simple is called local-name-65F32 kept in a covered jar then proceed to the next act until evenly joined pounded to powder a reddish stem drunk for stomach pain apply or use this portion in the stated or usual measure and keep the root	the pictured simple is called local-name-65F32 kept in a covered jar then proceed to the next act until evenly joined pounded to powder a reddish stem drunk for stomach pain apply or use this portion in the stated or usual measure and keep the root	use the freshly prepared remedy applied while warm with the foregoing preparation when the preparation is ready	kept in a covered jar	kept in a covered jar -> [from the same batch] -> until evenly joined	kept in a covered jar -> [then proceed to the next act] -> until evenly joined	kept in a covered jar -> [repeat the foregoing preparation] -> until evenly joined	then proceed to the next act	SEQUENCE_CURSOR advances; active material and owner remain available	BEFORE(kept in a covered jar) -> SEQUENCE_CURSOR advances; active material and owner remain available -> NEXT(until evenly joined)	.86
R3O02	f10r	f10r.8	2	1	8	dar	4d4559019a961b834aa1	LAST	0	0	it is found in when the preparation is ready the prepared decoction or working liquid the expressed juice boiled gently this present portion this present portion in the stated or usual measure this present portion	gathered before flowering the prepared decoction or working liquid a handful with the foregoing preparation from the foregoing batch with the foregoing preparation in the stated or usual measure then proceed to the next act	gathered before flowering the prepared decoction or working liquid a handful with the foregoing preparation from the foregoing batch with the foregoing preparation in the stated or usual measure then proceed to the next act	its flower appears the prepared decoction or working liquid the prepared decoction or working liquid this present portion a bitter taste this present portion and preserve it in oil	in the stated or usual measure	in the stated or usual measure -> [from the same batch] -> its flower appears	in the stated or usual measure -> [then proceed to the next act] -> its flower appears	in the stated or usual measure -> [repeat the foregoing preparation] -> its flower appears	then proceed to the next act	SEQUENCE_CURSOR advances; active material and owner remain available	BEFORE(in the stated or usual measure) -> SEQUENCE_CURSOR advances; active material and owner remain available -> NEXT(its flower appears)	.86
R3O03	f56r	f56r.5	1	1	2	cho	2cc054357a929df85f64	MIDDLE	0	0	<PAGE_START>	gather it in spring as for the pictured plant itself the lower root in the stated or usual measure	gather it in spring as for the pictured plant itself the lower root in the stated or usual measure	thereafter take the following detail white wine gathered before flowering apply or use this portion at the place indicated by the drawing	gather it in spring	gather it in spring -> [thereafter take the following detail] -> the lower root	gather it in spring -> [as for the pictured plant itself] -> the lower root	gather it in spring -> [use the flowering tops of the plant] -> the lower root	as for the pictured plant itself	OWNER resets to the depicted f56r plant; following part/preparation attaches to that owner	BEFORE(gather it in spring) -> OWNER resets to the depicted f56r plant; following part/preparation attaches to that owner -> NEXT(the lower root)	.59
R3O04	f56r	f56r.7	1	1	1	sho	2cc054357a929df85f64	FIRST	0	0	gather it in spring thereafter take the following detail the lower root in the stated or usual measure	as for the pictured plant itself white wine gathered before flowering apply or use this portion at the place indicated by the drawing	as for the pictured plant itself white wine gathered before flowering apply or use this portion at the place indicated by the drawing	the pictured simple is called local-name-D6655 shaded woodland apply or use this portion leave the outlet open; close the rubric	in the stated or usual measure	in the stated or usual measure -> [thereafter take the following detail] -> white wine	in the stated or usual measure -> [as for the pictured plant itself] -> white wine	in the stated or usual measure -> [use the flowering tops of the plant] -> white wine	as for the pictured plant itself	OWNER resets to the depicted f56r plant; following part/preparation attaches to that owner	BEFORE(in the stated or usual measure) -> OWNER resets to the depicted f56r plant; following part/preparation attaches to that owner -> NEXT(white wine)	.59
R3O05	f56r	f56r.12	1	1	2	cho	2cc054357a929df85f64	MIDDLE	0	0	the pictured simple is called local-name-D6655 shaded woodland apply or use this portion leave the outlet open; close the rubric	its seed is as for the pictured plant itself the dried leaf and dry it in shade	its seed is as for the pictured plant itself the dried leaf and dry it in shade	use the freshly prepared remedy drunk for stomach pain and dry it in shade	its seed is	its seed is -> [thereafter take the following detail] -> the dried leaf	its seed is -> [as for the pictured plant itself] -> the dried leaf	its seed is -> [use the flowering tops of the plant] -> the dried leaf	as for the pictured plant itself	OWNER resets to the depicted f56r plant; following part/preparation attaches to that owner	BEFORE(its seed is) -> OWNER resets to the depicted f56r plant; following part/preparation attaches to that owner -> NEXT(the dried leaf)	.59
R3O06	f56r	f56r.18	1	1	1	sho	2cc054357a929df85f64	FIRST	0	0	use the freshly prepared remedy drunk for stomach pain and dry it in shade	as for the pictured plant itself use the freshly prepared remedy honey and use it fresh	as for the pictured plant itself use the freshly prepared remedy honey and use it fresh	mark the following share a pale flower in the stated or usual measure	and dry it in shade	and dry it in shade -> [thereafter take the following detail] -> use the freshly prepared remedy	and dry it in shade -> [as for the pictured plant itself] -> use the freshly prepared remedy	and dry it in shade -> [use the flowering tops of the plant] -> use the freshly prepared remedy	as for the pictured plant itself	OWNER resets to the depicted f56r plant; following part/preparation attaches to that owner	BEFORE(and dry it in shade) -> OWNER resets to the depicted f56r plant; following part/preparation attaches to that owner -> NEXT(use the freshly prepared remedy)	.59
R3O07	f81v	f81v.2	1	2	5	sar	4d4559019a961b834aa1	MIDDLE	0	0	<PAGE_START>	take up the next portion or instruction the returning flow mix the two portions together then proceed to the next act with the foregoing preparation one measured portion the lower basin at the place indicated by the drawing with the foregoing preparation before it cools the prepared oil	rinse the indicated place once; end this instruction / take up the next portion or instruction the returning flow mix the two portions together then proceed to the next act with the foregoing preparation one measured portion the lower basin at the place indicated by the drawing with the foregoing preparation before it cools the prepared oil	from the foregoing batch with the foregoing preparation a moderate quantity in the stated or usual measure the immersed part in the stated or usual measure through the connected channels finish this treatment; end this instruction with the foregoing preparation	mix the two portions together	mix the two portions together -> [from the same batch] -> with the foregoing preparation	mix the two portions together -> [then proceed to the next act] -> with the foregoing preparation	mix the two portions together -> [repeat the foregoing preparation] -> with the foregoing preparation	then proceed to the next act	SEQUENCE_CURSOR advances; active material and owner remain available	BEFORE(mix the two portions together) -> SEQUENCE_CURSOR advances; active material and owner remain available -> NEXT(with the foregoing preparation)	.86
R3O08	f81v	f81v.7	1	1	8	schedy	259b2b3b0bf859882e2c	LAST	1	0	rinse the indicated place once; end this instruction take up the next portion or instruction the returning flow mix the two portions together from the same batch with the foregoing preparation one measured portion the lower basin at the place indicated by the drawing with the foregoing preparation before it cools the prepared oil	from the foregoing batch with the foregoing preparation a moderate quantity in the stated or usual measure the immersed part in the stated or usual measure through the connected channels wash the active vessel or route through once	from the foregoing batch with the foregoing preparation a moderate quantity in the stated or usual measure the immersed part in the stated or usual measure through the connected channels wash the active vessel or route through once / with the foregoing preparation	keep it warm; close the rubric stir until evenly mixed with the foregoing preparation let it stand until ready; end this instruction reserve the mixed liquid; end this instruction add one measured portion to the vessel through the connected channels the prepared oil and let it cool	through the connected channels	through the connected channels -> [finish the preceding treatment] -> with the foregoing preparation	through the connected channels -> [strain the liquid once] -> with the foregoing preparation	through the connected channels -> [wash the active vessel or route through once] -> with the foregoing preparation	wash the active vessel or route through once	one rinse charge traverses ACTIVE_ROUTE; route/vessel is clean and ready for the next charge	BEFORE(through the connected channels) -> one rinse charge traverses ACTIVE_ROUTE; route/vessel is clean and ready for the next charge -> NEXT(with the foregoing preparation)	.66
R3O09	f81v	f81v.17	1	3	5	qolchedy	28ffbc88b97772a75f1e	ONLY	1	0	from the foregoing batch with the foregoing preparation a moderate quantity in the stated or usual measure the immersed part in the stated or usual measure through the connected channels finish this treatment; end this instruction with the foregoing preparation	draw off the clear upper liquor into the receiver	keep it warm; close the rubric / stir until evenly mixed with the foregoing preparation let it stand until ready; end this instruction / draw off the clear upper liquor into the receiver / add one measured portion to the vessel through the connected channels the prepared oil and let it cool	heat it once; end this instruction this present portion with the foregoing preparation over a gentle heat with the foregoing preparation let it stand until ready; end this instruction rinse the indicated place once; end this instruction rinse the indicated place once; end this instruction through the connected channels apply or use this portion	let it stand until ready; end this instruction	let it stand until ready; end this instruction -> [reserve the combined liquid in its vessel] -> add one measured portion to the vessel	let it stand until ready; end this instruction -> [draw off the clear upper liquor into the receiver] -> add one measured portion to the vessel	let it stand until ready; end this instruction -> [retain the mixture for later use] -> add one measured portion to the vessel	draw off the clear upper liquor into the receiver	CLEAR_SUPERNATANT transfers to RECEIVER; sediment/residue remains in source vessel	BEFORE(let it stand until ready; end this instruction) -> CLEAR_SUPERNATANT transfers to RECEIVER; sediment/residue remains in source vessel -> NEXT(add one measured portion to the vessel)	.78
R3O10	f81v	f81v.24	1	2	4	okeey	0275fbf14e07935b0a45	MIDDLE	0	0	begin the rinsing warm water wash twice; close the rubric wash twice; close the rubric stir until evenly mixed the affected place the lower basin with the foregoing preparation then use the lower outlet	mix the two portions together add warmed water to the active vessel with the foregoing preparation let it stand until ready; end this instruction	then fill the vessel let it cool; close the rubric / mix the two portions together add warmed water to the active vessel with the foregoing preparation let it stand until ready; end this instruction / at the place indicated by the drawing the first opening strain it clear; close the rubric / then fill the vessel	apply at the marked place until clear let the liquid settle; end this instruction let it stand until ready; end this instruction over a gentle heat strain it once through cloth; end this instruction at the place indicated by the drawing	mix the two portions together	mix the two portions together -> [keep the active preparation lukewarm] -> with the foregoing preparation	mix the two portions together -> [mix the active preparation thoroughly] -> with the foregoing preparation	mix the two portions together -> [add warmed water to the active vessel] -> with the foregoing preparation	add warmed water to the active vessel	WATER[warmed] enters VESSEL; MIXTURE becomes diluted and warm	BEFORE(mix the two portions together) -> WATER[warmed] enters VESSEL; MIXTURE becomes diluted and warm -> NEXT(with the foregoing preparation)	.74
