occurrence	page	locus	record	event_index	surface	exact_tuple_id	previous_complete_line	complete_target_line_v17	following_complete_line	rival_1_complete_target_line	rival_2_complete_target_line	rival_3_complete_target_line	selected_complete_target_line	process_graph	silent_repairs_selected	medical_comment
1	f10r	f10r.2	1	3	char	4d4559019a961b834aa1	PAGE_OR_SCOPE_START	dchey = the pictured simple is called local-name-65F32 ; cthoor = kept in a covered jar ; char = from the same batch ; chty = until evenly joined ; os = pounded to powder ; chair = a reddish stem ; otytchol = drunk for stomach pain ; oky = apply or use this portion ; daiin = in the stated or usual measure ; etyd = and keep the root	qokchy = use the freshly prepared remedy ; qotchol = applied while warm ; chol = with the foregoing preparation ; cthy = when the preparation is ready	dchey = the pictured simple is called local-name-65F32 ; cthoor = kept in a covered jar ; char = from the same prepared batch ; chty = until evenly joined ; os = pounded to powder ; chair = a reddish stem ; otytchol = drunk for stomach pain ; oky = apply or use this portion ; daiin = in the stated or usual measure ; etyd = and keep the root	dchey = the pictured simple is called local-name-65F32 ; cthoor = kept in a covered jar ; char = then continue with the next step ; chty = until evenly joined ; os = pounded to powder ; chair = a reddish stem ; otytchol = drunk for stomach pain ; oky = apply or use this portion ; daiin = in the stated or usual measure ; etyd = and keep the root	dchey = the pictured simple is called local-name-65F32 ; cthoor = kept in a covered jar ; char = repeat the foregoing preparation ; chty = until evenly joined ; os = pounded to powder ; chair = a reddish stem ; otytchol = drunk for stomach pain ; oky = apply or use this portion ; daiin = in the stated or usual measure ; etyd = and keep the root	dchey = the pictured simple is called local-name-65F32 ; cthoor = kept in a covered jar ; char = from the same prepared batch ; chty = until evenly joined ; os = pounded to powder ; chair = a reddish stem ; otytchol = drunk for stomach pain ; oky = apply or use this portion ; daiin = in the stated or usual measure ; etyd = and keep the root	a named preparation, measured addition, or returning liquid is active -> [char: from the same prepared batch] -> the active material source remains identical across the next operation	active preparation/person/vessel inherited from the current record; no new unpictured entity	selected against all three frozen rivals in the full line and adjacent-line process
2	f10r	f10r.8	2	8	dar	4d4559019a961b834aa1	ycheor = it is found in ; cthy = when the preparation is ready ; chor = the prepared decoction or working liquid ; cthaiin = the expressed juice ; qoctholy = boiled gently ; dy = this present portion ; chy = this present portion ; taiin = in the stated or usual measure ; shy = this present portion	qotchor = gathered before flowering ; chor = the prepared decoction or working liquid ; otol = a handful ; chol = with the foregoing preparation ; cholor = from the foregoing batch ; chol = with the foregoing preparation ; daiin = in the stated or usual measure ; dar = from the same batch	oykchor = its flower appears ; shor = the prepared decoction or working liquid ; chor = the prepared decoction or working liquid ; chy = this present portion ; kaiiin = a bitter taste ; dy = this present portion ; chodaiin = and preserve it in oil	qotchor = gathered before flowering ; chor = the prepared decoction or working liquid ; otol = a handful ; chol = with the foregoing preparation ; cholor = from the foregoing batch ; chol = with the foregoing preparation ; daiin = in the stated or usual measure ; dar = from the same prepared batch	qotchor = gathered before flowering ; chor = the prepared decoction or working liquid ; otol = a handful ; chol = with the foregoing preparation ; cholor = from the foregoing batch ; chol = with the foregoing preparation ; daiin = in the stated or usual measure ; dar = then continue with the next step	qotchor = gathered before flowering ; chor = the prepared decoction or working liquid ; otol = a handful ; chol = with the foregoing preparation ; cholor = from the foregoing batch ; chol = with the foregoing preparation ; daiin = in the stated or usual measure ; dar = repeat the foregoing preparation	qotchor = gathered before flowering ; chor = the prepared decoction or working liquid ; otol = a handful ; chol = with the foregoing preparation ; cholor = from the foregoing batch ; chol = with the foregoing preparation ; daiin = in the stated or usual measure ; dar = from the same prepared batch	a named preparation, measured addition, or returning liquid is active -> [dar: from the same prepared batch] -> the active material source remains identical across the next operation	active preparation/person/vessel inherited from the current record; no new unpictured entity	selected against all three frozen rivals in the full line and adjacent-line process
3	f56r	f56r.5	1	2	cho	2cc054357a929df85f64	PAGE_OR_SCOPE_START	chochor = gather it in spring ; cho = thereafter take the following detail ; chodaly = the lower root ; daiin = in the stated or usual measure	sho = thereafter take the following detail ; kchol = white wine ; otchor = gathered before flowering ; choky = apply or use this portion ; dal = at the place indicated by the drawing	chochor = gather it in spring ; cho = then take the following ingredient or plant part ; chodaly = the lower root ; daiin = in the stated or usual measure	chochor = gather it in spring ; cho = resume the description of the pictured plant ; chodaly = the lower root ; daiin = in the stated or usual measure	chochor = gather it in spring ; cho = take the flowering tops ; chodaly = the lower root ; daiin = in the stated or usual measure	chochor = gather it in spring ; cho = then take the following ingredient or plant part ; chodaly = the lower root ; daiin = in the stated or usual measure	a harvest clause, seed clause, or preceding preparation is complete -> [cho: then take the following ingredient or plant part] -> the immediately following root, wine, dried leaf, or fresh remedy becomes the active material	active preparation/person/vessel inherited from the current record; no new unpictured entity	selected against all three frozen rivals in the full line and adjacent-line process
4	f56r	f56r.7	1	1	sho	2cc054357a929df85f64	chochor = gather it in spring ; cho = thereafter take the following detail ; chodaly = the lower root ; daiin = in the stated or usual measure	sho = thereafter take the following detail ; kchol = white wine ; otchor = gathered before flowering ; choky = apply or use this portion ; dal = at the place indicated by the drawing	schol = the pictured simple is called local-name-D6655 ; choy = shaded woodland ; choky = apply or use this portion ; cheeckhody = leave the outlet open; close the rubric	sho = then take the following ingredient or plant part ; kchol = white wine ; otchor = gathered before flowering ; choky = apply or use this portion ; dal = at the place indicated by the drawing	sho = resume the description of the pictured plant ; kchol = white wine ; otchor = gathered before flowering ; choky = apply or use this portion ; dal = at the place indicated by the drawing	sho = take the flowering tops ; kchol = white wine ; otchor = gathered before flowering ; choky = apply or use this portion ; dal = at the place indicated by the drawing	sho = then take the following ingredient or plant part ; kchol = white wine ; otchor = gathered before flowering ; choky = apply or use this portion ; dal = at the place indicated by the drawing	a harvest clause, seed clause, or preceding preparation is complete -> [sho: then take the following ingredient or plant part] -> the immediately following root, wine, dried leaf, or fresh remedy becomes the active material	active preparation/person/vessel inherited from the current record; no new unpictured entity	selected against all three frozen rivals in the full line and adjacent-line process
5	f56r	f56r.12	1	2	cho	2cc054357a929df85f64	schol = the pictured simple is called local-name-D6655 ; choy = shaded woodland ; choky = apply or use this portion ; cheeckhody = leave the outlet open; close the rubric	sh = its seed is ; cho = thereafter take the following detail ; kchey = the dried leaf ; qokokchy = and dry it in shade	okchy = use the freshly prepared remedy ; chokcheo = drunk for stomach pain ; kchal = and dry it in shade	sh = its seed is ; cho = then take the following ingredient or plant part ; kchey = the dried leaf ; qokokchy = and dry it in shade	sh = its seed is ; cho = resume the description of the pictured plant ; kchey = the dried leaf ; qokokchy = and dry it in shade	sh = its seed is ; cho = take the flowering tops ; kchey = the dried leaf ; qokokchy = and dry it in shade	sh = its seed is ; cho = then take the following ingredient or plant part ; kchey = the dried leaf ; qokokchy = and dry it in shade	a harvest clause, seed clause, or preceding preparation is complete -> [cho: then take the following ingredient or plant part] -> the immediately following root, wine, dried leaf, or fresh remedy becomes the active material	active preparation/person/vessel inherited from the current record; no new unpictured entity	selected against all three frozen rivals in the full line and adjacent-line process
6	f56r	f56r.18	1	1	sho	2cc054357a929df85f64	okchy = use the freshly prepared remedy ; chokcheo = drunk for stomach pain ; kchal = and dry it in shade	sho = thereafter take the following detail ; chokchy = use the freshly prepared remedy ; kchoar = honey ; sotodan = and use it fresh	otchey = mark the following share ; keol = a pale flower ; daiin = in the stated or usual measure	sho = then take the following ingredient or plant part ; chokchy = use the freshly prepared remedy ; kchoar = honey ; sotodan = and use it fresh	sho = resume the description of the pictured plant ; chokchy = use the freshly prepared remedy ; kchoar = honey ; sotodan = and use it fresh	sho = take the flowering tops ; chokchy = use the freshly prepared remedy ; kchoar = honey ; sotodan = and use it fresh	sho = then take the following ingredient or plant part ; chokchy = use the freshly prepared remedy ; kchoar = honey ; sotodan = and use it fresh	a harvest clause, seed clause, or preceding preparation is complete -> [sho: then take the following ingredient or plant part] -> the immediately following root, wine, dried leaf, or fresh remedy becomes the active material	active preparation/person/vessel inherited from the current record; no new unpictured entity	selected against all three frozen rivals in the full line and adjacent-line process
7	f81v	f81v.2	1	5	sar	4d4559019a961b834aa1	PAGE_OR_SCOPE_START	qokedy = rinse the indicated place once; end this instruction ; okaiin = take up the next portion or instruction ; kair = the returning flow ; okal = mix the two portions together ; sar = from the same batch ; ol = with the foregoing preparation ; kain = one measured portion ; olkain = the lower basin ; al = at the place indicated by the drawing ; ol = with the foregoing preparation ; rol = before it cools ; dl = the prepared oil	olor = from the foregoing batch ; ol = with the foregoing preparation ; sheckhal = a moderate quantity ; daiin = in the stated or usual measure ; qokeedal = the immersed part ; daiin = in the stated or usual measure ; chckhy = through the connected channels ; schedy = finish this treatment; end this instruction ; qol = with the foregoing preparation	qokedy = rinse the indicated place once; end this instruction ; okaiin = take up the next portion or instruction ; kair = the returning flow ; okal = mix the two portions together ; sar = from the same prepared batch ; ol = with the foregoing preparation ; kain = one measured portion ; olkain = the lower basin ; al = at the place indicated by the drawing ; ol = with the foregoing preparation ; rol = before it cools ; dl = the prepared oil	qokedy = rinse the indicated place once; end this instruction ; okaiin = take up the next portion or instruction ; kair = the returning flow ; okal = mix the two portions together ; sar = then continue with the next step ; ol = with the foregoing preparation ; kain = one measured portion ; olkain = the lower basin ; al = at the place indicated by the drawing ; ol = with the foregoing preparation ; rol = before it cools ; dl = the prepared oil	qokedy = rinse the indicated place once; end this instruction ; okaiin = take up the next portion or instruction ; kair = the returning flow ; okal = mix the two portions together ; sar = repeat the foregoing preparation ; ol = with the foregoing preparation ; kain = one measured portion ; olkain = the lower basin ; al = at the place indicated by the drawing ; ol = with the foregoing preparation ; rol = before it cools ; dl = the prepared oil	qokedy = rinse the indicated place once; end this instruction ; okaiin = take up the next portion or instruction ; kair = the returning flow ; okal = mix the two portions together ; sar = from the same prepared batch ; ol = with the foregoing preparation ; kain = one measured portion ; olkain = the lower basin ; al = at the place indicated by the drawing ; ol = with the foregoing preparation ; rol = before it cools ; dl = the prepared oil	a named preparation, measured addition, or returning liquid is active -> [sar: from the same prepared batch] -> the active material source remains identical across the next operation	active preparation/person/vessel inherited from the current record; no new unpictured entity	selected against all three frozen rivals in the full line and adjacent-line process
8	f81v	f81v.7	1	8	schedy	259b2b3b0bf859882e2c	qokedy = rinse the indicated place once; end this instruction ; okaiin = take up the next portion or instruction ; kair = the returning flow ; okal = mix the two portions together ; sar = from the same batch ; ol = with the foregoing preparation ; kain = one measured portion ; olkain = the lower basin ; al = at the place indicated by the drawing ; ol = with the foregoing preparation ; rol = before it cools ; dl = the prepared oil	olor = from the foregoing batch ; ol = with the foregoing preparation ; sheckhal = a moderate quantity ; daiin = in the stated or usual measure ; qokeedal = the immersed part ; daiin = in the stated or usual measure ; chckhy = through the connected channels ; schedy = finish this treatment; end this instruction ; qol = with the foregoing preparation	sshkchdy = keep it warm; close the rubric ; chedy = stir until evenly mixed ; ol = with the foregoing preparation ; shedy = let it stand until ready; end this instruction ; qolchedy = reserve the mixed liquid; end this instruction ; qokain = add one measured portion to the vessel ; shckhy = through the connected channels ; dl = the prepared oil ; ral = and let it cool	olor = from the foregoing batch ; ol = with the foregoing preparation ; sheckhal = a moderate quantity ; daiin = in the stated or usual measure ; qokeedal = the immersed part ; daiin = in the stated or usual measure ; chckhy = through the connected channels ; schedy = finish this treatment; end this instruction ; qol = with the foregoing preparation	olor = from the foregoing batch ; ol = with the foregoing preparation ; sheckhal = a moderate quantity ; daiin = in the stated or usual measure ; qokeedal = the immersed part ; daiin = in the stated or usual measure ; chckhy = through the connected channels ; schedy = strain the application and set it aside ; qol = with the foregoing preparation	olor = from the foregoing batch ; ol = with the foregoing preparation ; sheckhal = a moderate quantity ; daiin = in the stated or usual measure ; qokeedal = the immersed part ; daiin = in the stated or usual measure ; chckhy = through the connected channels ; schedy = wash the used basin or channel through once; end this instruction ; qol = with the foregoing preparation	olor = from the foregoing batch ; ol = with the foregoing preparation ; sheckhal = a moderate quantity ; daiin = in the stated or usual measure ; qokeedal = the immersed part ; daiin = in the stated or usual measure ; chckhy = through the connected channels ; schedy = wash the used basin or channel through once; end this instruction ; qol = with the foregoing preparation	the preceding bath, channel passage, or treatment has spent its liquid -> [schedy: wash the used basin or channel through once; end this instruction] -> the apparatus is rinsed and ready for a retained or newly warmed charge	active preparation/person/vessel inherited from the current record; no new unpictured entity	selected against all three frozen rivals in the full line and adjacent-line process
9	f81v	f81v.17	1	5	qolchedy	28ffbc88b97772a75f1e	olor = from the foregoing batch ; ol = with the foregoing preparation ; sheckhal = a moderate quantity ; daiin = in the stated or usual measure ; qokeedal = the immersed part ; daiin = in the stated or usual measure ; chckhy = through the connected channels ; schedy = finish this treatment; end this instruction ; qol = with the foregoing preparation	sshkchdy = keep it warm; close the rubric ; chedy = stir until evenly mixed ; ol = with the foregoing preparation ; shedy = let it stand until ready; end this instruction ; qolchedy = reserve the mixed liquid; end this instruction ; qokain = add one measured portion to the vessel ; shckhy = through the connected channels ; dl = the prepared oil ; ral = and let it cool	qokchdy = heat it once; end this instruction ; chey = this present portion ; ol = with the foregoing preparation ; cheky = over a gentle heat ; ol = with the foregoing preparation ; shedy = let it stand until ready; end this instruction ; qokedy = rinse the indicated place once; end this instruction ; qokedy = rinse the indicated place once; end this instruction ; chckhy = through the connected channels ; qoky = apply or use this portion	sshkchdy = keep it warm; close the rubric ; chedy = stir until evenly mixed ; ol = with the foregoing preparation ; shedy = let it stand until ready; end this instruction ; qolchedy = set the mixed liquid aside in a covered vessel; end this instruction ; qokain = add one measured portion to the vessel ; shckhy = through the connected channels ; dl = the prepared oil ; ral = and let it cool	sshkchdy = keep it warm; close the rubric ; chedy = stir until evenly mixed ; ol = with the foregoing preparation ; shedy = let it stand until ready; end this instruction ; qolchedy = draw off the clear liquor; end this instruction ; qokain = add one measured portion to the vessel ; shckhy = through the connected channels ; dl = the prepared oil ; ral = and let it cool	sshkchdy = keep it warm; close the rubric ; chedy = stir until evenly mixed ; ol = with the foregoing preparation ; shedy = let it stand until ready; end this instruction ; qolchedy = retain the mixture in the present vessel; end this instruction ; qokain = add one measured portion to the vessel ; shckhy = through the connected channels ; dl = the prepared oil ; ral = and let it cool	sshkchdy = keep it warm; close the rubric ; chedy = stir until evenly mixed ; ol = with the foregoing preparation ; shedy = let it stand until ready; end this instruction ; qolchedy = set the mixed liquid aside in a covered vessel; end this instruction ; qokain = add one measured portion to the vessel ; shckhy = through the connected channels ; dl = the prepared oil ; ral = and let it cool	a warm, stirred, or flushed mixture has just been prepared -> [qolchedy: set the mixed liquid aside in a covered vessel; end this instruction] -> a protected reserve is available while a new measured portion is prepared	active preparation/person/vessel inherited from the current record; no new unpictured entity	selected against all three frozen rivals in the full line and adjacent-line process
10	f81v	f81v.24	1	4	okeey	0275fbf14e07935b0a45	lsho = begin the rinsing ; qokey = warm water ; lshedy = wash twice; close the rubric ; lshedy = wash twice; close the rubric ; chedy = stir until evenly mixed ; qolky = the affected place ; lchedal = the lower basin ; qol = with the foregoing preparation ; otar = then use the lower outlet	ytey = then fill the vessel ; okchedy = let it cool; close the rubric ; qokal = mix the two portions together ; okeey = keep it lukewarm ; qol = with the foregoing preparation ; cheedy = let it stand until ready; end this instruction ; sal = at the place indicated by the drawing ; teol = the first opening ; dchdy = strain it clear; close the rubric ; ly = then fill the vessel	dsheol = apply at the marked place ; oiiin = until clear ; olkeedy = let the liquid settle; end this instruction ; tedy = let it stand until ready; end this instruction ; cheky = over a gentle heat ; shckhedy = strain it once through cloth; end this instruction ; chal = at the place indicated by the drawing	ytey = then fill the vessel ; okchedy = let it cool; close the rubric ; qokal = mix the two portions together ; okeey = temper the working liquid and keep it lukewarm ; qol = with the foregoing preparation ; cheedy = let it stand until ready; end this instruction ; sal = at the place indicated by the drawing ; teol = the first opening ; dchdy = strain it clear; close the rubric ; ly = then fill the vessel	ytey = then fill the vessel ; okchedy = let it cool; close the rubric ; qokal = mix the two portions together ; okeey = mix the preparation thoroughly ; qol = with the foregoing preparation ; cheedy = let it stand until ready; end this instruction ; sal = at the place indicated by the drawing ; teol = the first opening ; dchdy = strain it clear; close the rubric ; ly = then fill the vessel	ytey = then fill the vessel ; okchedy = let it cool; close the rubric ; qokal = mix the two portions together ; okeey = add warmed water to the preparation ; qol = with the foregoing preparation ; cheedy = let it stand until ready; end this instruction ; sal = at the place indicated by the drawing ; teol = the first opening ; dchdy = strain it clear; close the rubric ; ly = then fill the vessel	ytey = then fill the vessel ; okchedy = let it cool; close the rubric ; qokal = mix the two portions together ; okeey = temper the working liquid and keep it lukewarm ; qol = with the foregoing preparation ; cheedy = let it stand until ready; end this instruction ; sal = at the place indicated by the drawing ; teol = the first opening ; dchdy = strain it clear; close the rubric ; ly = then fill the vessel	mixed, filled, immersed, bound, or settled working liquid -> [okeey: temper the working liquid and keep it lukewarm] -> lukewarm liquid ready for straining, rinsing, immersion, or application	active preparation/person/vessel inherited from the current record; no new unpictured entity	selected against all three frozen rivals in the full line and adjacent-line process
