order	event_id	locus	field_id	statement_id	surface	joint_tuple_id	small_value_de	owner	lexicon_source
1	E101	f81v.2	F021	B1-S001	qokedy	7db18b2f0fb7ed0fcfd3	kurz ansetzen; Schluss	B1_SHARED_TWO_ROW_POOL	B1_PROCESS_LADDER
2	E102	f81v.2	F022	B1-S002	okaiin	b5fcea1eaed06b2f2291	nach Mass ansetzen	B1_SHARED_TWO_ROW_POOL	HERBAL_EXACT_CARD_TRANSFER
3	E103	f81v.2	F022	B1-S002	kair	22fb87a5a83e5c3fb510	Beckenwasser	B1_SHARED_TWO_ROW_POOL	B1_LEARNED_LOCAL_CARD
4	E104	f81v.2	F022	B1-S002	okal	308e8ea2d5d190c498e8	an die Stelle setzen	B1_SHARED_TWO_ROW_POOL	HERBAL_EXACT_CARD_TRANSFER
5	E105	f81v.2	F022	B1-S002	sar	4d4559019a961b834aa1	dasselbe	B1_SHARED_TWO_ROW_POOL	HERBAL_EXACT_CARD_TRANSFER
6	E106	f81v.2	F022	B1-S002	ol	dcda95c81a5460feb191	fortsetzen	B1_SHARED_TWO_ROW_POOL	HERBAL_EXACT_CARD_TRANSFER
7	E107	f81v.2	F022	B1-S002	kain	9da1b6ac2c929daea697	eine Portion	B1_SHARED_TWO_ROW_POOL	B1_LEARNED_LOCAL_CARD
8	E108	f81v.2	F022	B1-S002	olkain	94df4847b7b16c98394a	weitere Portion	B1_SHARED_TWO_ROW_POOL	B1_LEARNED_LOCAL_CARD
9	E109	f81v.2	F022	B1-S002	al	dd0ecaf5e27d81befffc	Stelle	B1_SHARED_TWO_ROW_POOL	HERBAL_EXACT_CARD_TRANSFER
10	E110	f81v.2	F022	B1-S002	ol	dcda95c81a5460feb191	fortsetzen	B1_SHARED_TWO_ROW_POOL	HERBAL_EXACT_CARD_TRANSFER
11	E111	f81v.2	F022	B1-S002	rol	1496a731803a9f48d2e1	noch warm	B1_SHARED_TWO_ROW_POOL	B1_LEARNED_LOCAL_CARD
12	E112	f81v.2	F022	B1-S002	dl	0f18de177ed7c878bf95	Badzusatz	B1_SHARED_TWO_ROW_POOL	B1_LEARNED_LOCAL_CARD
13	E113	f81v.7	F023	B1-S002	olor	dec401773c1f0347793d	Fortsetzungsansatz	B1_SHARED_TWO_ROW_POOL	HERBAL_EXACT_CARD_TRANSFER
14	E114	f81v.7	F023	B1-S002	ol	dcda95c81a5460feb191	fortsetzen	B1_SHARED_TWO_ROW_POOL	HERBAL_EXACT_CARD_TRANSFER
15	E115	f81v.7	F023	B1-S002	sheckhal	4eab1841ed655c20a348	mäßige Menge	B1_SHARED_TWO_ROW_POOL	B1_LEARNED_LOCAL_CARD
16	E116	f81v.7	F023	B1-S002	daiin	2f1c5e56e8f0ff459065	Mass	B1_SHARED_TWO_ROW_POOL	HERBAL_EXACT_CARD_TRANSFER
17	E117	f81v.7	F023	B1-S002	qokeedal	93f69c38fdedee1598e9	länger an der Stelle halten	B1_SHARED_TWO_ROW_POOL	B1_PROCESS_LADDER
18	E118	f81v.7	F023	B1-S002	daiin	2f1c5e56e8f0ff459065	Mass	B1_SHARED_TWO_ROW_POOL	HERBAL_EXACT_CARD_TRANSFER
19	E119	f81v.7	F023	B1-S002	chckhy	2cc8bb3c2af19607888f	durchführen	B1_SHARED_TWO_ROW_POOL	B1_LEARNED_LOCAL_CARD
20	E120	f81v.7	F023	B1-S002	schedy	259b2b3b0bf859882e2c	umsetzen; Schluss	B1_SHARED_TWO_ROW_POOL	B1_LEARNED_LOCAL_CARD
21	E121	f81v.7	F024	B1-S003	qol	dcda95c81a5460feb191	fortsetzen	B1_SHARED_TWO_ROW_POOL	HERBAL_EXACT_CARD_TRANSFER
22	E122	f81v.17	F025	B1-S003	sshkchdy	54e32e9c1414b20640e9	Sonderumsetzung; Schluss	B1_SHARED_TWO_ROW_POOL	B1_LEARNED_LOCAL_CARD
23	E123	f81v.17	F026	B1-S004	chedy	6f7ff8287eddf4da9fdb	dies umsetzen	B1_SHARED_TWO_ROW_POOL	HERBAL_EXACT_CARD_TRANSFER
24	E124	f81v.17	F026	B1-S004	ol	dcda95c81a5460feb191	fortsetzen	B1_SHARED_TWO_ROW_POOL	HERBAL_EXACT_CARD_TRANSFER
25	E125	f81v.17	F026	B1-S004	shedy	bc4f1f5c006c74a4d26d	kurz absetzen; Schluss	B1_SHARED_TWO_ROW_POOL	B1_PROCESS_LADDER
26	E126	f81v.17	F027	B1-S005	qolchedy	28ffbc88b97772a75f1e	fortsetzen; Schluss	B1_SHARED_TWO_ROW_POOL	B1_LEARNED_LOCAL_CARD
27	E127	f81v.17	F028	B1-S006	qokain	1645e612504fcef59ced	eine Portion zugeben	B1_SHARED_TWO_ROW_POOL	B1_LEARNED_LOCAL_CARD
28	E128	f81v.17	F028	B1-S006	shckhy	2cc8bb3c2af19607888f	durchführen	B1_SHARED_TWO_ROW_POOL	B1_LEARNED_LOCAL_CARD
