statement_id	record_unit_id	page	physical_loci	event_count	visible_surface_sequence	primitive_sequence	primitive_count	macro_id	macro_reading_de	full_statement_reading_de	exact_phrase_recurrence	owner_rule
B1-S001	B1	f81v	f81v.2	1	qokedy	SET>DURATION_GRADE>CLOSE	3	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	3	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S002	B1	f81v	f81v.2|f81v.7	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	MEASURE>SET>TARGET>PORTION_ADD>ORDER_CONTINUE>SET>PASS_STRAIN>DURATION_GRADE>TARGET>MEASURE>TARGET>DURATION_GRADE>PASS_STRAIN>TRANSFER>CLOSE	15	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S003	B1	f81v	f81v.7|f81v.17	2	qol sshkchdy	ORDER_CONTINUE>CLOSE	2	TRANSFER_SET_CELL	Posten örtlich ansetzen, umsetzen oder weiterführen	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S004	B1	f81v	f81v.17	3	chedy ol shedy	TRANSFER>ORDER_CONTINUE>SETTLE>CLOSE	4	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S005	B1	f81v	f81v.17	1	qolchedy	ORDER_CONTINUE>CLOSE	2	TRANSFER_SET_CELL	Posten örtlich ansetzen, umsetzen oder weiterführen	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S006	B1	f81v	f81v.17	4	qokain shckhy dl ral	PORTION_ADD>PASS_STRAIN>TARGET>ORDER_CONTINUE>TRANSFER	5	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S007	B1	f81v	f81v.18	1	qokchdy	TRANSFER>HEAT>CLOSE	3	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S008	B1	f81v	f81v.18	5	chey ol cheky ol shedy	ORDER_CONTINUE>HEAT>DURATION_GRADE>SETTLE>CLOSE	5	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S009	B1	f81v	f81v.18	1	qokedy	SET>DURATION_GRADE>CLOSE	3	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	3	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S010	B1	f81v	f81v.18	1	qokedy	SET>DURATION_GRADE>CLOSE	3	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	3	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S011	B1	f81v	f81v.18	2	chckhy qoky	PASS_STRAIN>SET	2	FILTER_PASS_CELL	Arbeitsflüssigkeit durch den lokalen Durchlass führen	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S012	B1	f81v	f81v.21	3	lsho qokey lshedy	PASS_STRAIN>WASH>SET>DURATION_GRADE>WASH>CLOSE	6	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S013	B1	f81v	f81v.21	1	lshedy	WASH>CLOSE	2	WASH_CELL	örtlichen Wasch-/Spülgang ausführen	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S014	B1	f81v	f81v.21	5	chedy qolky lchedal qol otar	TRANSFER>ORDER_CONTINUE>DRAIN>ORDER_CONTINUE>TARGET	5	DRAIN_RECEIVE_CELL	Arbeitsflüssigkeit örtlich abführen oder auffangen	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S015	B1	f81v	f81v.24	2	ytey okchedy	PORTION_ADD>DRAIN>TRANSFER>CLOSE	4	DRAIN_RECEIVE_CELL	Arbeitsflüssigkeit örtlich abführen oder auffangen	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S016	B1	f81v	f81v.24	4	qokal okeey qol cheedy	SET>TARGET>DURATION_GRADE>ORDER_CONTINUE>SETTLE>CLOSE	6	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S017	B1	f81v	f81v.24	3	sal teol dchdy	TRANSFER>TARGET>ORDER_CONTINUE>DURATION_GRADE>TRANSFER>CLOSE	6	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S018	B1	f81v	f81v.24|f81v.27	4	ly dsheol oiiin olkeedy	READY>DURATION_GRADE>SETTLE>MEASURE>DURATION_GRADE>CLOSE	6	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S019	B1	f81v	f81v.27	1	tedy	SETTLE>CLOSE	2	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe	4	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S020	B1	f81v	f81v.27	2	cheky shckhedy	HEAT>DURATION_GRADE>PASS_STRAIN>CLOSE	4	FILTER_PASS_CELL	Arbeitsflüssigkeit durch den lokalen Durchlass führen	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B1-S021	B1	f81v	f81v.27	1	chal	TRANSFER>TARGET	2	TRANSFER_SET_CELL	Posten örtlich ansetzen, umsetzen oder weiterführen	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S001	B2	f82r	f82r.2	1	dchedy	TRANSFER>CLOSE	2	TRANSFER_SET_CELL	Posten örtlich ansetzen, umsetzen oder weiterführen	An der jeweils neu gesetzten lokalen Beckenstation: Setze um und schließe	4	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S002	B2	f82r	f82r.2	1	qolchedy	ORDER_CONTINUE>CLOSE	2	TRANSFER_SET_CELL	Posten örtlich ansetzen, umsetzen oder weiterführen	An der jeweils neu gesetzten lokalen Beckenstation: Führe weiter und schließe	2	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S003	B2	f82r	f82r.2	3	qokain dy qokeedy	PORTION_ADD>SET>DURATION_GRADE>CLOSE	4	TEMPER_HOLD_CELL	Posten auf Zustand bringen und kurz oder länger halten	An der jeweils neu gesetzten lokalen Beckenstation: Gib eine Portion zu, setze den Posten länger an und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S004	B2	f82r	f82r.2|f82r.3	5	qokal lcheckhy lched qokeey lcheckhedy	SET>TARGET>PASS_STRAIN>DRAIN>SET>DURATION_GRADE>PASS_STRAIN>CLOSE	8	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	An der jeweils neu gesetzten lokalen Beckenstation: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S005	B2	f82r	f82r.3|f82r.4	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	SET>TARGET>MEASURE>PASS_STRAIN>MEASURE>ORDER_CONTINUE>READY>HEAT>DURATION_GRADE>DRAIN>CLOSE	11	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	An der jeweils neu gesetzten lokalen Beckenstation: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S006	B2	f82r	f82r.4	4	oteey qokal sheckhy qoky	ORDER_CONTINUE>SET>TARGET>PASS_STRAIN>DURATION_GRADE>SET	6	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	An der jeweils neu gesetzten lokalen Beckenstation: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S007	B2	f82r	f82r.7	1	dshedy	PORTION_ADD>CLOSE	2	MEASURED_CHARGE_CELL	Portion oder Sollstufe einstellen und zugeben	An der jeweils neu gesetzten lokalen Beckenstation: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
B2-S008	B2	f82r	f82r.7	3	sotaiin qokar shedy	MEASURE>ORDER_CONTINUE>SET>SETTLE>CLOSE	5	COMPOSITE_STATION_SEQUENCE	mehrteiligen Stationsgang in Kartenreihenfolge ausführen	An der jeweils neu gesetzten lokalen Beckenstation: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe	1	KEEP_LOCAL_VISIBLE_OWNER__DO_NOT_MERGE_STATIONS
