phrasebook_order	primitive_id	source_meaning_de	candidate_card_family	recognition_cue
1	MEASURE	Maß/Stufe setzen	AIIN/IIN	Sollmaß|Sollstufe|Folgemaß|Absetzmaß|\bMaß\b|\bStufe\b
2	PORTION_ADD	Portion oder Zusatz zugeben	AIN/TY/HO/DL	Portion|Zusatz|Frischwasser|Wasser ein|\bFülle\b|\bGib\b|\bgib\b
3	TARGET	örtliche Stelle wählen	AL	dorthin|\bdort\b|Zielstelle|\bZiel\b
4	SET	Posten ansetzen	OK	\bsetz(?:e|t)[^,.]{0,60}\ban\b|angesetzt|\bAnsatz\b
5	DURATION_GRADE	kurze, längere oder volle Stufe	E/EE/EEE	\bkurz(?:e|en|er|es)?\b|\blänger\b|\blange\b|vollständig
6	HEAT	wärmen oder temperieren	CHK	wärm|abgekühlt|temper
7	SETTLE	ruhen oder absetzen	SH/SHED	absetz|\bruh
8	PASS_STRAIN	durchführen oder seihen	CKH/CKHE/CFH/CPH	leit[^,.]*durch|Durchlauf|durchgeleitet|seih|Klarlauf
9	WASH	waschen oder spülen	N07_WASH	wasch|Wasch|Spül|spül
10	DRAIN	abführen oder ausgießen	AR/CKH/SK	\bführ(?:e|t)[^,.]{0,40}\bab\b|abführ|Ablauf|Auslass|zieh[^,.]*ab|abgeleitet|gieß|Gieß
11	COLLECT	sammeln oder auffangen	SOLK/TALAM	sammel|Sammel|Auffang
12	TRANSFER	Posten umsetzen	CHD/CHED	\bsetz(?:e|t)[^,.]{0,60}\bum\b|Umsetz|Führ[^,.]*dorthin|führe[^,.]*dorthin
13	ORDER_CONTINUE	folgen oder weiterführen	OT/OL	Folge|folge|führ[^,.]*weiter|führe[^,.]*weiter|Fortsetz|fortsetz
14	READY	Bereitschaft prüfen	CTH	bereit
15	FASTEN	örtlich befestigen	LDDY	befestig
16	CLOSE	lokalen Schritt schließen	licensed DY/terminal card	schließ|beende
