unified_serial	section	page	unit_id	local_id	surface_display_only	read_aloud_de	copy_rule_de	owner_or_namespace	meaning_or_use_de	meaning_layer
1	HERBAL	f10r	H1	E001	dchey	abziehen · kurz · dieser Posten	schreibe die globale Vorzugsform dchey	abgebildete breit gezähnte radialblütige Pflanze	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	COMPOSITIONAL_PROSE
2	HERBAL	f10r	H1	E002	cthoor	bereit · Arbeitsgang · Ansatz	schreibe die globale Vorzugsform cthoor	abgebildete breit gezähnte radialblütige Pflanze	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	COMPOSITIONAL_PROSE
3	HERBAL	f10r	H1	E003	char	von dort	schreibe die globale Vorzugsform char	abgebildete breit gezähnte radialblütige Pflanze	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	COMPOSITIONAL_PROSE
4	HERBAL	f10r	H1	E004	chty	eintragen · dieser Posten	schreibe die globale Vorzugsform chty	abgebildete breit gezähnte radialblütige Pflanze	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	COMPOSITIONAL_PROSE
5	HERBAL	f10r	H1	E005	os	Arbeitsfach	schreibe die globale Vorzugsform os	abgebildete breit gezähnte radialblütige Pflanze	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	COMPOSITIONAL_PROSE
6	HERBAL	f10r	H1	E006	chair	abziehen · laufender Bestand	schreibe die globale Vorzugsform chair	abgebildete breit gezähnte radialblütige Pflanze	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	COMPOSITIONAL_PROSE
7	HERBAL	f10r	H1	E007	otytchol	danach · dieser Posten · eintragen · abziehen · fortsetzen	schreibe die globale Vorzugsform otytchol	abgebildete breit gezähnte radialblütige Pflanze	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	COMPOSITIONAL_PROSE
8	HERBAL	f10r	H1	E008	oky	ansetzen · dieser Posten	am Recordmelodieplatz RM01:1 schreibe oky	abgebildete breit gezähnte radialblütige Pflanze	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	COMPOSITIONAL_PROSE
9	HERBAL	f10r	H1	E009	daiin	vorgeschriebenes Maß	schreibe die globale Vorzugsform daiin	abgebildete breit gezähnte radialblütige Pflanze	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	COMPOSITIONAL_PROSE
10	HERBAL	f10r	H1	E010	etyd	kurz · eintragen · dieser Posten	schreibe die globale Vorzugsform etyd	abgebildete breit gezähnte radialblütige Pflanze	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	COMPOSITIONAL_PROSE
