statement_id	page	record	silent_owner_de	formula_mode	event_count	meaning_line_de	spoken_component_line_de	card_identity_line	exact_surface_line	scribe_recitation_line	record_melody	all_events_bound
H1-S001	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	FREE_COMPOSITION	10	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	abziehen · kurz · dieser Posten | bereit · Arbeitsgang · Ansatz | von dort | eintragen · dieser Posten | Arbeitsfach | abziehen · laufender Bestand | danach · dieser Posten · eintragen · abziehen · fortsetzen | ansetzen · dieser Posten | vorgeschriebenes Maß | kurz · eintragen · dieser Posten	PROC001[CH+E+Y] | PROC002[CTH+O+OR] | PROC003[AR] | PROC004[T+Y] | PROC005[OS] | PROC006[CH+AIR] | PROC007[OT+Y+T+CH+OL] | PROC008[OK+Y] | PROC009[AIIN] | PROC010[E+T+Y]	dchey cthoor char chty os chair otytchol oky daiin etyd	DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | RM01:1 | DEFAULT | DEFAULT	Ø>q	YES
H1-S002	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	SIMPLE_ONE_EDIT_VARIANT	4	Gib den nächsten Posten in denselben Ansatz, nimm ihn wieder ab und fahre fort, sobald er bereit ist.	ansetzen · dieser Posten | danach · abziehen · fortsetzen | fortsetzen | bereit · dieser Posten	PROC011[OK+Y] | PROC012[OT+CH+OL] | PROC013[OL] | PROC014[CTH+Y]	qokchy qotchol chol cthy	RM01:2 | DEFAULT | DEFAULT | DEFAULT	Ø>q	YES
H2-S001	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	TAUGHT_MACRO	9	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	dieser Posten · abziehen · kurz · Ansatz | bereit · dieser Posten | Ansatz | bereit · vorgeschriebenes Maß | Arbeitsgang · bereit · fortsetzen · dieser Posten | dieser Posten | dieser Posten | vorgeschriebenes Maß | dieser Posten	PROC015[Y+CH+E+OR] | PROC014[CTH+Y] | PROC016[OR] | PROC017[CTH+AIIN] | PROC018[O+CTH+OL+Y] | PROC019[Y] | PROC019[Y] | PROC009[AIIN] | PROC019[Y]	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | FC01 | DEFAULT | FC01 | FC01	NONE	YES
H2-S002	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	TAUGHT_MACRO	8	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.	danach · abziehen · Ansatz | Ansatz | danach · fortsetzen | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | von dort	PROC020[OT+CH+OR] | PROC016[OR] | PROC021[OT+OL] | PROC013[OL] | PROC022[OL+OR] | PROC013[OL] | PROC009[AIIN] | PROC003[AR]	qotchor chor otol chol cholor chol daiin dar	FC02 | DEFAULT | DEFAULT | DEFAULT | FC02 | DEFAULT | DEFAULT | WR04	NONE	YES
H2-S003	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	SIMPLE_ONE_EDIT_VARIANT	7	Gib es dem Ansatz zweimal zu und zieh danach den nächsten Posten ab.	Arbeitsgang · dieser Posten · zuführen · Ansatz | Ansatz | Ansatz | dieser Posten | zuführen · Sollstufe | dieser Posten | abziehen · Arbeitsgang · vorgeschriebenes Maß	PROC023[O+Y+K+OR] | PROC016[OR] | PROC016[OR] | PROC019[Y] | PROC024[K+IIN] | PROC019[Y] | PROC025[CH+O+AIIN]	oykchor shor chor chy kaiiin dy chodaiin	DEFAULT | FC03 | DEFAULT | DEFAULT | DEFAULT | FC03 | DEFAULT	NONE	YES
H3-S001	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	FREE_COMPOSITION	7	Trage den Blütenstoff ein und halte ihn am Ort; wringe ihn aus, lass ihn ziehen, gib ihn hinein, lass ihn nochmals ziehen und trage den Abzug zum Schluss ein.	eintragen · halten · fortsetzen | halten · Arbeitsgang · bezeichnete Stelle | auswringen · dieser Posten | halten · dieser Posten · vorgeschriebenes Maß | hineingeben · dieser Posten | halten · länger · dieser Posten | eintragen · abziehen · Arbeitsgang · Schluss	PROC026[T+SH+OL] | PROC027[SH+O+AL] | PROC028[CFH+Y] | PROC029[SH+Y+AIIN] | PROC030[P+Y] | PROC031[SH+EE+Y] | PROC032[T+CH+O+DY]	tshol schoal cfhy shfydaiin cphy shey tchody	DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | WR03 | DEFAULT	d>d	YES
H3-S002	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	SIMPLE_ONE_EDIT_VARIANT	1	Halte den nächsten Posten und trage ihn in denselben Gang ein.	halten · Arbeitsgang · dieser Posten · eintragen · dieser Posten	PROC033[SH+O+Y+T+Y]	shoyty	DEFAULT	d>d	YES
H3-S003	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	TAUGHT_MACRO	5	Gib davon nach Maß weiter zu.	fortsetzen | dieser Posten | zuführen · dieser Posten | dieser Posten | vorgeschriebenes Maß	PROC034[OL] | PROC019[Y] | PROC035[K+Y] | PROC019[Y] | PROC009[AIIN]	dchol chy kchy dy daiin	DEFAULT | DEFAULT | DEFAULT | RM02:1 | DEFAULT	d>d	YES
H3-S004	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	TAUGHT_MACRO	4	Setze danach diesen Posten weiter ein und führe ihn fort, bis er bereit ist.	danach · dieser Posten | ansetzen · fortsetzen | bereit · dieser Posten | dieser Posten	PROC036[OT+Y] | PROC037[OK+OL] | PROC014[CTH+Y] | PROC019[Y]	qotchy okchol cthy dy	DEFAULT | DEFAULT | DEFAULT | RM02:2	d>d	YES
H4-S001	f55v	H4	abgebildete breitblättrige rispige Pflanze	TAUGHT_MACRO	5	Setze nach Maß an, gib dosiert und nochmals zu und schließe diesen Gang.	ansetzen · vorgeschriebenes Maß | vorgeschriebenes Maß | dieser Posten · zuführen · Portion | dieser Posten · zuführen · Portion | Arbeitsgang · Schluss	PROC038[OK+AIIN] | PROC009[AIIN] | PROC039[Y+K+AIN] | PROC040[Y+K+AIN] | PROC041[O+DY]	qokaiin chaiin ykain ykan ody	DEFAULT | RM03:1 | DEFAULT | DEFAULT | DEFAULT	ch>Ø	YES
H4-S002	f55v	H4	abgebildete breitblättrige rispige Pflanze	SIMPLE_ONE_EDIT_VARIANT	3	Miss den nächsten Posten ab, setze ihn um und verwahre ihn nach Maß.	vorgeschriebenes Maß | umsetzen · dieser Posten | verwahren	PROC009[AIIN] | PROC042[CHD+Y] | PROC043[TALAM]	daiin chedy talam	DEFAULT | DEFAULT | DEFAULT	ch>Ø	YES
H4-S003	f55v	H4	abgebildete breitblättrige rispige Pflanze	EXTENDED_TWO_EDIT_VARIANT	4	Gib dosiert zu, entnimm den Fortsatz, temperiere ihn und schließe.	dieser Posten · zuführen · vorgeschriebenes Maß | abziehen · kurz · Arbeitsgang · von dort | wärmen · länger · dieser Posten | fortsetzen · Schluss	PROC044[Y+K+AIIN] | PROC045[CH+E+O+AR] | PROC046[CHK+EE+Y] | PROC047[OL+DY]	ykaiin cheoar cheeky oldy	DEFAULT | DEFAULT | DEFAULT | DEFAULT	ch>Ø	YES
H4-S004	f55v	H4	abgebildete breitblättrige rispige Pflanze	SIMPLE_ONE_EDIT_VARIANT	6	Lege die gemessene Ansatzportion am Ziel an und trage sie ein.	vorgeschriebenes Maß | ansetzen · bezeichnete Stelle | fortsetzen · eintragen · dieser Posten | Ansatz | dieser Posten | Ansatz · Portion	PROC009[AIIN] | PROC048[OK+AL] | PROC049[OL+T+Y] | PROC016[OR] | PROC019[Y] | PROC050[OR+AIN]	aiin okal oltchy or y orain	RM03:2 | RM03:2 | DEFAULT | WR02 | RM03:2 | DEFAULT	ch>Ø	YES
H5-S001	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	FREE_COMPOSITION	9	Zieh eine Gabe ab, führe sie zum Ziel, zieh nach Maß eine weitere Gabe ab und gib sie in den Ansatz.	Gabe · abziehen · Ansatz | Gabe | Gabe · bezeichnete Stelle · dieser Posten | vorgeschriebenes Maß | Gabe | zuführen · fortsetzen | danach · abziehen · Ansatz | ansetzen · dieser Posten | bezeichnete Stelle	PROC051[HO+CH+OR] | PROC052[HO] | PROC053[HO+AL+Y] | PROC009[AIIN] | PROC052[HO] | PROC054[K+OL] | PROC020[OT+CH+OR] | PROC008[OK+Y] | PROC055[AL]	chochor cho chodaly daiin sho kchol otchor choky dal	DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT | DEFAULT	s>ch	YES
