record	page	section	statements	events	silent_owners_de	record_melody	taught_macros	simple_variants	long_or_free	copy_sheet_status
H1	f10r	HERBAL	2	14	abgebildete breit gezähnte radialblütige Pflanze	Ø>q	0	1	1	COMPLETE
H2	f10r	HERBAL	3	24	abgebildete breit gezähnte radialblütige Pflanze	NONE	2	1	0	COMPLETE
H3	f11r	HERBAL	4	17	abgebildete dicht blau blühende Kronenpflanze	d>d	2	1	1	COMPLETE
H4	f55v	HERBAL	4	18	abgebildete breitblättrige rispige Pflanze	ch>Ø	1	2	1	COMPLETE
H5	f56r	HERBAL	6	27	abgebildete mehrköpfige stachelige Pflanze	s>ch	1	3	2	COMPLETE
B1	f81v	BIOLOGICAL	21	66	gemeinsame zweireihige Figuren-/Beckenstation	q>s>q	12	6	3	COMPLETE
B2	f82r	BIOLOGICAL	22	62	oberes Beckenpaar mit Zylinder | mittleres linkes Handgerät mit Inline-Knoten | mittlere rechte unklare Station | unteres grünes Mehrfigurenbecken | kleine Randstationen des unteren Beckens	d>s>Ø	16	0	6	COMPLETE
B3	f83r	BIOLOGICAL	34	86	obere offene Fächerstation am Rand | mittlere Randfigur im runden Gefäß | untere Randfigur im korbartigen Gefäß | unverbundener Zwischenbereich | sichtbares Figurenpaar mit gemeinsamem Bogen in B3	Ø>t>s	26	5	3	COMPLETE
B4	f83r	BIOLOGICAL	16	47	sichtbares Figurenpaar mit gemeinsamem Bogen in B4 | linke Hauptstation mit offenem Fransenlauf | rechte Hauptstation mit S-Lauf und Mehrarmknoten	Ø>t>ch>q	11	2	3	COMPLETE
B5	f83r	BIOLOGICAL	3	11	linke Fransenstation im B5-Nachtrag	NONE	2	0	1	COMPLETE
B6	f83r	BIOLOGICAL	1	9	rechter S-Lauf im B6-Nachtrag	d	0	0	1	COMPLETE
