visible_surface	astro_groups	previous_autonomy	family	atom_sequence	spoken_value_de
doiir	1	NONE	IIR=INDEX	D+O+IIR	fester Grundindex
saiir	1	NONE	IIR=INDEX	S+A+IIR	Hauptindex des Nebenfelds
oparchy	1	FULL_WITH_OWNER	OP=PAAR/GEGENFELD	OP+AR	Quelle des Paarfelds
opcheeol	1	FULL_WITH_OWNER	OP=PAAR/GEGENFELD	OP+EE+OL	Paarfeld länger fortsetzen
opcholdy	1	FULL_WITH_OWNER	OP=PAAR/GEGENFELD	OP+OL+DY	Paarfeld fortsetzen und festhalten
opodchol	1	FULL_WITH_OWNER	OP=PAAR/GEGENFELD	OP+OD+OL	markiertes Paarfeld fortsetzen
qopchy	1	NONE	OP=PAAR/GEGENFELD	OP+CH+Y	aktueller Zustand des Paarfelds
qkoy	1	NONE	K=KLASSE	K+O+Y	aktuelle Grundklasse
chky	1	NONE	K=KLASSE	CH+K+Y	aktuellen Klassenzustand setzen
tochso	1	NONE	KNOWN_PRIMITIVES	T+O+CH+S	sekundärer Grundzustand der Phase
ofydy	1	NONE	F=REGISTERED_FRAME	O+Y+DY	aktuellen Grundwert festhalten
