event_id	page	record	card_id	knowledge_source	reproduced
E001	f10r	H1	PROC001	WALL_21	YES
E002	f10r	H1	PROC002	WALL_21	YES
E003	f10r	H1	PROC003	WALL_21	YES
E004	f10r	H1	PROC004	WALL_21	YES
E005	f10r	H1	PROC005	HERBAL_RARE_BOX	YES
E006	f10r	H1	PROC006	WALL_21	YES
E007	f10r	H1	PROC007	WALL_21	YES
E008	f10r	H1	PROC008	FAST_12	YES
E009	f10r	H1	PROC009	FAST_12	YES
E010	f10r	H1	PROC010	WALL_21	YES
E011	f10r	H1	PROC011	FAST_12	YES
E012	f10r	H1	PROC012	WALL_21	YES
E013	f10r	H1	PROC013	FAST_12	YES
E014	f10r	H1	PROC014	WALL_21	YES
E015	f10r	H2	PROC015	WALL_21	YES
E016	f10r	H2	PROC014	WALL_21	YES
E017	f10r	H2	PROC016	WALL_21	YES
E018	f10r	H2	PROC017	WALL_21	YES
E019	f10r	H2	PROC018	WALL_21	YES
E020	f10r	H2	PROC019	FAST_12	YES
E021	f10r	H2	PROC019	FAST_12	YES
E022	f10r	H2	PROC009	FAST_12	YES
E023	f10r	H2	PROC019	FAST_12	YES
E024	f10r	H2	PROC020	WALL_21	YES
E025	f10r	H2	PROC016	WALL_21	YES
E026	f10r	H2	PROC021	FAST_12	YES
E027	f10r	H2	PROC013	FAST_12	YES
E028	f10r	H2	PROC022	WALL_21	YES
E029	f10r	H2	PROC013	FAST_12	YES
E030	f10r	H2	PROC009	FAST_12	YES
E031	f10r	H2	PROC003	WALL_21	YES
E032	f10r	H2	PROC023	WALL_21	YES
E033	f10r	H2	PROC016	WALL_21	YES
E034	f10r	H2	PROC016	WALL_21	YES
E035	f10r	H2	PROC019	FAST_12	YES
E036	f10r	H2	PROC024	WALL_21	YES
E037	f10r	H2	PROC019	FAST_12	YES
E038	f10r	H2	PROC025	WALL_21	YES
E039	f11r	H3	PROC026	WALL_21	YES
E040	f11r	H3	PROC027	WALL_21	YES
E041	f11r	H3	PROC028	HERBAL_RARE_BOX	YES
E042	f11r	H3	PROC029	FAST_12	YES
E043	f11r	H3	PROC030	WALL_21	YES
E044	f11r	H3	PROC031	FAST_12	YES
E045	f11r	H3	PROC032	WALL_21	YES
E046	f11r	H3	PROC033	WALL_21	YES
E047	f11r	H3	PROC034	WALL_21	YES
E048	f11r	H3	PROC019	FAST_12	YES
E049	f11r	H3	PROC035	WALL_21	YES
E050	f11r	H3	PROC019	FAST_12	YES
E051	f11r	H3	PROC009	FAST_12	YES
E052	f11r	H3	PROC036	FAST_12	YES
E053	f11r	H3	PROC037	FAST_12	YES
E054	f11r	H3	PROC014	WALL_21	YES
E055	f11r	H3	PROC019	FAST_12	YES
E056	f55v	H4	PROC038	FAST_12	YES
E057	f55v	H4	PROC009	FAST_12	YES
E058	f55v	H4	PROC039	WALL_21	YES
E059	f55v	H4	PROC040	WALL_21	YES
E060	f55v	H4	PROC041	WALL_21	YES
E061	f55v	H4	PROC009	FAST_12	YES
E062	f55v	H4	PROC042	FAST_12	YES
E063	f55v	H4	PROC043	HERBAL_RARE_BOX	YES
E064	f55v	H4	PROC044	WALL_21	YES
E065	f55v	H4	PROC045	WALL_21	YES
E066	f55v	H4	PROC046	WALL_21	YES
E067	f55v	H4	PROC047	FAST_12	YES
E068	f55v	H4	PROC009	FAST_12	YES
E069	f55v	H4	PROC048	FAST_12	YES
E070	f55v	H4	PROC049	WALL_21	YES
E071	f55v	H4	PROC016	WALL_21	YES
E072	f55v	H4	PROC019	FAST_12	YES
E073	f55v	H4	PROC050	WALL_21	YES
E074	f56r	H5	PROC051	WALL_21	YES
E075	f56r	H5	PROC052	WALL_21	YES
E076	f56r	H5	PROC053	WALL_21	YES
E077	f56r	H5	PROC009	FAST_12	YES
E078	f56r	H5	PROC052	WALL_21	YES
E079	f56r	H5	PROC054	WALL_21	YES
E080	f56r	H5	PROC020	WALL_21	YES
E081	f56r	H5	PROC008	FAST_12	YES
E082	f56r	H5	PROC055	FAST_12	YES
E083	f56r	H5	PROC034	WALL_21	YES
