lesson	content	master_hours	herbal_hours	bio_hours	astro_hours	exercise
L01_OWNER_AND_SPACE	picture owner, field boundary, line continuation	4	4	4	4	copy a page skeleton before any cards
L02_CORE_POSTEN_FLOW	top12 values: item, close, set, grade, transfer, continue, measure, target	8	8	8	0	oral prompt to component and back
L03_WALL_21_RULE_STRIP	twenty-one rule-needed values on a visible wall strip	6	6	6	0	compose all nine handgrips while pointing to non-core values
L04H_HERBAL_RARE_BOX_3	three Herbal-only whole-card models	1	1	0	0	three covered-model recalls inside Herbal owners
L04B_BIO_LSH_AND_RARE_BOX_2	LSH two-card mini-paradigm plus two Bio-only whole-card models	2	0	2	0	compose lsho/lshedy, then recall LD and DA boxes
L05_COMMON_12_ACTIVE_BOARD	twelve high-use cross-register cards	6	6	6	0	six copies per card plus covered-model recall
L05B_SHARED_5_REFERENCE_STRIP	five low-use cross-register cards kept for lookup	1	1	1	0	copy each once; locate it on the strip without memorizing a new rule
L06_NINE_HAND_RULES	nine parameterized packing handgrips	8	8	8	0	apply each handgrip to its variants
L07_COMMON_COPY_DRILLS	short Bio cells and long Herbal clauses	8	8	8	0	forward and backward copy without correction marks
L08_HERBAL_SPECIALIZATION	49 Herbal-only cards	12	12	0	0	owner/material article drills
L08_BIO_SPECIALIZATION	107 Bio-only cards	20	0	20	0	station-cell and close drills
L09_HERBAL_MOTIF_TAIL_LAYOUTS	6 relevant motifs,8 tail strips,4 layouts	6	6	0	0	rebuild four bound Herbal formulas
L09_BIO_MOTIF_TAIL_LAYOUTS	7 relevant motifs,11 tail strips,3 layouts	8	0	8	0	rebuild three bound Bio formulas
L10_CORRECTION_AND_CATCH	spot wrong card boundary, missing Y, misplaced grade and repeated card	4	4	4	4	correct ten planted errors
L10B_BIO_EDGE_COPY_LICENSE	one local read-once edge copy at f82r.3 to f82r.4	1	0	1	0	copy E181 once at the preceding edge as E180, then read both visible forms once
L11_ASTRO_LOCAL_TABLE_COPY	separate page-local wheel and star-label copying; no prose dictionary import	12	0	0	12	copy one fixed diagram namespace at a time
L12_MASTER_EXAM	one complete owner-addressed unit from oral instruction/model	4	4	4	4	master checks order, card identity and layout
