card_no	surface	component_recipe	selected_fragments	renderer_rule_sequence	renderer_pieces	rule_families_used	exact_reconstruction	copy_instruction_de	events	pages
PROC001	dchey	CH+E+Y	ch-e-y	ENTRY_FRAME	PREFIX:d	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f10r
PROC002	cthoor	CTH+O+OR	cth-o-or	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f10r
PROC003	char	AR	ar	ENTRY_FRAME	PREFIX:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	5	f10r|f81v|f82r|f83r
PROC003	dar	AR	ar	ENTRY_FRAME	PREFIX:d	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	5	f10r|f81v|f82r|f83r
PROC003	sar	AR	ar	ENTRY_FRAME	PREFIX:s	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	5	f10r|f81v|f82r|f83r
PROC004	chety	T+Y	t-y	ENTRY_FRAME	PREFIX:che	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f10r|f83r
PROC004	chty	T+Y	t-y	ENTRY_FRAME	PREFIX:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	2	f10r|f83r
PROC005	os	OS	os	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f10r
PROC006	chair	CH+AIR	ch-air	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f10r
PROC007	otytchol	OT+Y+T+CH+OL	ot-y-t-ch-ol	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f10r
PROC008	choky	OK+Y	ok-y	ENTRY_FRAME	PREFIX:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	10	f10r|f56r|f81v|f82r|f83r
PROC008	oky	OK+Y	ok-y	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	10	f10r|f56r|f81v|f82r|f83r
PROC008	qoky	OK+Y	ok-y	ENTRY_FRAME	PREFIX:q	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	10	f10r|f56r|f81v|f82r|f83r
PROC009	aiin	AIIN	aiin	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r
PROC009	chaiin	AIIN	aiin	ENTRY_FRAME	PREFIX:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r
PROC009	daiin	AIIN	aiin	ENTRY_FRAME	PREFIX:d	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r
PROC009	saiin	AIIN	aiin	ENTRY_FRAME	PREFIX:s	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r
PROC009	taiin	AIIN	aiin	ENTRY_FRAME	PREFIX:t	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r
PROC010	etyd	E+T+Y	e-t-y	TERMINAL_ECHO	Y>END:d	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f10r
PROC011	chokchy	OK+Y	ok-y	ENTRY_FRAME>ITEM_CONTINUATION_CARRIER	PREFIX:ch|OK>Y:ch	2	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	3	f10r|f56r
PROC011	okchy	OK+Y	ok-y	ITEM_CONTINUATION_CARRIER	OK>Y:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	3	f10r|f56r
PROC011	qokchy	OK+Y	ok-y	ENTRY_FRAME>ITEM_CONTINUATION_CARRIER	PREFIX:q|OK>Y:ch	2	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	3	f10r|f56r
PROC012	qotchol	OT+CH+OL	ot-ch-ol	ENTRY_FRAME	PREFIX:q	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f10r
PROC013	cheol	OL	ol	ENTRY_FRAME	PREFIX:che	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	19	f10r|f81v|f83r
PROC013	chol	OL	ol	ENTRY_FRAME	PREFIX:ch	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	19	f10r|f81v|f83r
PROC013	ol	OL	ol	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	19	f10r|f81v|f83r
PROC013	qol	OL	ol	ENTRY_FRAME	PREFIX:q	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	19	f10r|f81v|f83r
PROC013	sol	OL	ol	ENTRY_FRAME	PREFIX:s	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	19	f10r|f81v|f83r
PROC013	tol	OL	ol	ENTRY_FRAME	PREFIX:t	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	19	f10r|f81v|f83r
PROC014	checthy	CTH+Y	cth-y	ENTRY_FRAME	PREFIX:che	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	7	f10r|f11r|f83r
PROC014	cthy	CTH+Y	cth-y	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	7	f10r|f11r|f83r
PROC014	shcthy	CTH+Y	cth-y	ENTRY_FRAME	PREFIX:sh	1	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	7	f10r|f11r|f83r
PROC015	ycheor	Y+CH+E+OR	y-ch-e-or	DIRECT	NONE	0	YES	Komponentenfragmente schreiben und die angegebenen gebundenen Rendererregeln einsetzen.	1	f10r
