surface	occurrence_count	physical_pages	truth_recipe	prose_context_occurrence_count	candidate_count_capped	baseline_rank	baseline_top1	surface_ridge_rank	surface_ridge_top1	selected_rank	selected_top1	selected_top5	truth_structural_cost	truth_bigram_nll	truth_trigram_nll	truth_selected_score	top1_structural_cost	top1_bigram_nll	top1_trigram_nll	top1_selected_score	decision_change_class	working_policy
chady	1	f66r	CH+A_ADDR+DY	1	23	5	CH+A_ADDR+Y	5	CH+DY	5	CH+DY	CH+DY | CH+A_ADDR+Y | CH+Y | CH+D_ADDR+Y | CH+A_ADDR+DY	2.112192279	3.140794117	3.850466197	3.896411699	1.321897759	2.936586164	3.859209396	2.184939829	ERROR_CHANGED_STILL_WRONG	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chekeey	1	f66r	CH+K+EE+Y	1	57	2	CH+E+K+EE+Y	1	CH+K+EE+Y	1	CH+K+EE+Y	CH+K+EE+Y | CH+E+K+EE+Y | CH+K+E+EE+Y | CHD+K+EE+Y | LOCAL_C+K+EE+Y	1.185651345	1.720404417	2.718721654	1.989776678	1.185651345	1.720404417	2.718721654	1.989776678	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chekeody	1	f66r	CH+K+E+O+DY	1	100	2	CH+E+K+E+O+DY	1	CH+K+E+O+DY	1	CH+K+E+O+DY	CH+K+E+O+DY | CH+E+K+E+O+DY | CH+K+E+O+D_ADDR+Y | CH+K+E+O+Y | CH+K+E+E+O+DY	2.398315716	1.991683132	2.805963085	3.211404052	2.398315716	1.991683132	2.805963085	3.211404052	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
cheod	1	f31r	CH+E+O+D_ADDR	1	24	2	CH+E+O	1	CH+E+O+D_ADDR	1	CH+E+O+D_ADDR	CH+E+O+D_ADDR | CH+E+O | LOCAL_C+E+O+D_ADDR | LOCAL_C+E+O | LOCAL_C+SH+E+O+D_ADDR	0.505382375	2.217459679	2.773520198	1.323304052	0.505382375	2.217459679	2.773520198	1.323304052	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chepakeo	1	f31r	CH+E+P+A_ADDR+K+E+O	1	36	2	CH+E+P+A_ADDR+OK+E	1	CH+E+P+A_ADDR+K+E+O	1	CH+E+P+A_ADDR+K+E+O	CH+E+P+A_ADDR+K+E+O | CH+E+P+K+A_ADDR+E+O | CH+E+P+A_ADDR+OK+E | LOCAL_C+E+P+A_ADDR+K+E+O | LOCAL_C+E+P+K+A_ADDR+E+O	2.576721778	2.843765678	3.443847356	3.427059284	2.576721778	2.843765678	3.443847356	3.427059284	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
cheta	1	f66r	CH+E+T+A_ADDR	1	24	1	CH+E+T+A_ADDR	2	CH+E+T	2	CH+E+T	CH+E+T | CH+E+T+A_ADDR | LOCAL_C+E+T | CHD+T | CH+T	2.180152737	3.400149571	3.647175645	2.356335867	0.875543823	3.323462474	3.645771437	1.742921852	BASELINE_CORRECT_LOST	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dairody	1	f66r	D_ADDR+AIR+O+DY	1	100	2	D_ADDR+AIR+O+D_ADDR+Y	1	D_ADDR+AIR+O+DY	1	D_ADDR+AIR+O+DY	D_ADDR+AIR+O+DY | D_ADDR+AIR+O+D_ADDR+Y | AIR+O+DY | D_ADDR+AIR+O+Y | D_ADDR+AIR+A_ADDR+O+DY	1.897709980	2.856341497	3.411444214	2.747551804	1.897709980	2.856341497	3.411444214	2.747551804	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dalcheeeky	1	f66r	AL+CH+EEE+K+Y	1	100	56	AL+CH+E+K+EE+Y	5	AL+EEE+K+Y	5	AL+EEE+K+Y	AL+EEE+K+Y | AL+LOCAL_C+EEE+K+Y | D_ADDR+AL+EEE+K+Y | AL+CH+E+EE+K+Y | AL+CH+EEE+K+Y	2.555581908	3.141407478	3.419548006	6.744957486	2.370726753	2.876814098	3.349563954	3.219533384	ERROR_CHANGED_STILL_WRONG	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dcheey	1	f31r	D_ADDR+CH+EE+Y	1	36	2	D_ADDR+SH+EE+Y	1	D_ADDR+CH+EE+Y	1	D_ADDR+CH+EE+Y	D_ADDR+CH+EE+Y | D_ADDR+SH+EE+Y | D_ADDR+EE+Y | D_ADDR+LOCAL_C+EE+Y | CH+EE+Y	1.231723069	2.407247828	3.090852525	2.062322758	1.231723069	2.407247828	3.090852525	2.062322758	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dcheol	1	f66r	D_ADDR+CH+E+O+L	1	45	1	D_ADDR+CH+E+O+L	3	D_ADDR+CH+E+OL	3	D_ADDR+CH+E+OL	D_ADDR+CH+E+OL | CH+E+OL | D_ADDR+CH+E+O+L | D_ADDR+LOCAL_C+E+OL | D_ADDR+E+OL	3.279389683	2.670012385	2.967666479	3.420331655	1.452617285	2.539490604	3.111496384	2.692504248	BASELINE_CORRECT_LOST	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dolarshy	1	f66r	D_ADDR+OL+AR+SH+Y	1	100	2	D_ADDR+OL+AR+Y	1	D_ADDR+OL+AR+SH+Y	1	D_ADDR+OL+AR+SH+Y	D_ADDR+OL+AR+SH+Y | D_ADDR+OL+AR+Y | OL+AR+SH+Y | OL+AR+Y | D_ADDR+OL+A_ADDR+AR+SH+Y	1.608215587	3.262823326	3.467808627	2.469628566	1.608215587	3.262823326	3.467808627	2.469628566	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dyky	1	f66r	D_ADDR+Y+K+Y	1	8	2	DY+K+Y	3	Y+K+Y	3	Y+K+Y	Y+K+Y | DY+K+Y | D_ADDR+Y+K+Y | CHD+Y+K+Y | D_ADDR+Y+K+Y+CH	1.745376471	2.216257303	3.140793596	2.572449924	0.773743382	2.096496414	2.705498749	1.992405550	ERROR_CHANGED_STILL_WRONG	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dytcheey	1	f4r	D_ADDR+Y+T+CH+EE+Y	1	100	2	D_ADDR+Y+T+SH+EE+Y	1	D_ADDR+Y+T+CH+EE+Y	1	D_ADDR+Y+T+CH+EE+Y	D_ADDR+Y+T+CH+EE+Y | D_ADDR+Y+T+SH+EE+Y | D_ADDR+Y+T+EE+Y | D_ADDR+Y+T+LOCAL_C+EE+Y | Y+T+CH+EE+Y	3.030859716	2.497941197	3.215763033	3.866849503	3.030859716	2.497941197	3.215763033	3.866849503	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
faiis	1	f20v	LOCAL_CHAR_F+IIN+S	1	26	2	LOCAL_CHAR_F+A_ADDR+IIN+S	1	LOCAL_CHAR_F+IIN+S	1	LOCAL_CHAR_F+IIN+S	LOCAL_CHAR_F+IIN+S | LOCAL_CHAR_F+A_ADDR+IIN+S | LOCAL_CHAR_F+AIIN+S | LOCAL_CHAR_F+A_ADDR+AIIN+S | LOCAL_CHAR_F+IIN+SH	1.715839032	3.469154342	3.686256860	2.587871493	1.715839032	3.469154342	3.686256860	2.587871493	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
kcheeky	1	f66r	K+CH+EE+K+Y	1	68	2	K+CH+K+EE+Y	1	K+CH+EE+K+Y	1	K+CH+EE+K+Y	K+CH+EE+K+Y | K+CH+K+EE+Y | K+EE+K+Y | K+K+EE+Y | K+CH+SH+EE+K+Y	2.273129258	2.823723064	3.057841657	3.113315557	2.273129258	2.823723064	3.057841657	3.113315557	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
kchody	1	f66r	K+CH+O+D_ADDR+Y	1	44	1	K+CH+O+D_ADDR+Y	2	K+CH+O+DY	2	K+CH+O+DY	K+CH+O+DY | K+CH+O+D_ADDR+Y | K+O+DY | K+LOCAL_C+O+DY | K+CH+O+Y	3.325574487	2.403520875	2.727005345	3.453837643	1.635124417	3.513252034	3.629600428	2.506842909	BASELINE_CORRECT_LOST	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
kechody	1	f66r	K+E+CH+O+D_ADDR+Y	1	46	1	K+E+CH+O+D_ADDR+Y	3	K+E+CH+O+DY	3	K+E+CH+O+DY	K+E+CH+O+DY | K+E+LOCAL_C+O+DY | K+E+CH+O+D_ADDR+Y | K+E+CH+SH+O+DY | K+E+O+DY	4.569553462	2.388405142	3.042785414	4.705333226	2.314432463	3.310661819	3.691272034	3.182627990	BASELINE_CORRECT_LOST	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
lpchees	1	f66r	L+P+CH+EE+S	1	78	3	L+P+CHD+E+S	1	L+P+CH+EE+S	1	L+P+CH+EE+S	L+P+CH+EE+S | L+P+LOCAL_C+EE+S | L+P+EE+S | L+P+CHD+E+S | L+P+LOCAL_C+SH+EE	3.237987239	3.189013281	3.528416402	4.504535270	3.237987239	3.189013281	3.528416402	4.504535270	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
okedam	1	f31r	OK+E+D_ADDR+AM_ADDR	1	44	2	OK+E+DA+AM_ADDR	1	OK+E+D_ADDR+AM_ADDR	1	OK+E+D_ADDR+AM_ADDR	OK+E+D_ADDR+AM_ADDR | OK+E+DA+AM_ADDR | OK+AM_ADDR | OK+E+AM_ADDR | OK+E+DY	2.009398719	2.776846963	3.091989513	2.849266811	2.009398719	2.776846963	3.091989513	2.849266811	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
oteochey	1	f66r	OT+E+O+CH+E+Y	1	45	2	OT+E+O+Y	1	OT+E+O+CH+E+Y	1	OT+E+O+CH+E+Y	OT+E+O+CH+E+Y | OT+E+O+Y | OT+E+O+LOCAL_C+E+Y | O+OT+E+Y | OT+E+O+LOCAL_C+SH+E+Y	1.614799336	1.970023987	2.997028589	2.432122831	1.614799336	1.970023987	2.997028589	2.432122831	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
pofochey	1	f20v	P+O+LOCAL_CHAR_F+O+CH+E+Y	1	18	2	P+O+LOCAL_CHAR_F+O+Y	1	P+O+LOCAL_CHAR_F+O+CH+E+Y	1	P+O+LOCAL_CHAR_F+O+CH+E+Y	P+O+LOCAL_CHAR_F+O+CH+E+Y | P+O+LOCAL_CHAR_F+O+Y | O+P+LOCAL_CHAR_F+O+CH+E+Y | P+O+LOCAL_CHAR_F+O+LOCAL_C+E+Y | O+P+LOCAL_CHAR_F+O+Y	3.512894593	2.873646419	3.446866046	4.364054585	3.512894593	2.873646419	3.446866046	4.364054585	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
