surface	truth_recipe	candidate_is_truth	baseline_rank	selected_rank	candidate_recipe	structural_cost	base_rank_cost	bigram_nll	trigram_nll	selected_score
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	1	1	AIIN+CH+T+Y	0.596280879	0.000000000	3.217501901	3.497253966	0.764149776
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	2	2	IIN+CH+T+Y	1.369670862	0.693147181	3.643175418	3.598605655	2.243862570
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	9	3	A_ADDR+AIIN+CH+T+Y	1.164947860	2.197224577	3.647629596	3.641931072	3.544411454
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	3	4	AIIN+LOCAL_C+T+Y	2.297275676	1.098612289	3.534196002	3.819413473	3.579728202
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	5	5	A_ADDR+IIN+CH+T+Y	2.821783754	1.609437912	3.511378634	3.643014500	4.610081495
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	4	6	IIN+LOCAL_C+T+Y	3.070665659	1.386294361	3.959869519	3.920765162	4.653975888
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	7	7	A_ADDR+LOCAL_CHAR_I+CH+T+Y	2.715330348	1.945910149	3.445340212	3.614417780	4.837734447
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	10	8	AIN+LOCAL_CHAR_I+CH+T+Y	2.475470302	2.302585093	3.433634121	3.599651026	4.953887523
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	14	9	AIN+IIN+CH+T+Y	2.513934884	2.639057330	3.445435477	3.599651026	5.329119376
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	8	10	A_ADDR+IIN+LOCAL_CHAR_I+CH+T+Y	3.395479431	2.079441542	3.561886172	3.669532628	5.655706443
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	21	11	A_ADDR+AIIN+LOCAL_C+T+Y	2.865942657	3.044522438	3.911541347	3.910397328	6.106013561
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	15	12	AIIN+CH+T+SH+Y	3.896929860	2.708050201	3.579947663	3.843669045	6.790570479
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	11	13	A_ADDR+LOCAL_CHAR_I+IIN+CH+T+Y	4.238145250	2.397895273	3.457473670	3.620519634	6.812990356
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	YES	6	14	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	5.289026025	1.791759469	3.505281810	3.645021154	7.259543068
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	22	15	AIN+LOCAL_CHAR_I+LOCAL_C+T+Y	4.176465099	3.091042453	3.697545872	3.868117282	7.456649131
chady	CH+A_ADDR+DY	NO	2	1	CH+DY	1.321897759	0.693147181	2.936586164	3.859209396	2.184939829
chady	CH+A_ADDR+DY	NO	1	2	CH+A_ADDR+Y	2.377961599	0.000000000	3.870232601	3.823015852	2.570292810
chady	CH+A_ADDR+DY	NO	4	3	CH+Y	1.895197347	1.386294361	3.536093618	3.899899200	3.467391529
chady	CH+A_ADDR+DY	NO	3	4	CH+D_ADDR+Y	2.223572542	1.098612289	3.536137609	3.892788596	3.507907986
chady	CH+A_ADDR+DY	YES	5	5	CH+A_ADDR+DY	2.112192279	1.609437912	3.140794117	3.850466197	3.896411699
