surface	occurrence_count	physical_pages	truth_recipe	prose_context_occurrence_count	candidate_count_capped	baseline_rank	baseline_top1	surface_ridge_rank	surface_ridge_top1	selected_rank	selected_top1	selected_top5	truth_structural_cost	truth_bigram_nll	truth_trigram_nll	truth_selected_score	top1_structural_cost	top1_bigram_nll	top1_trigram_nll	top1_selected_score	decision_change_class	working_policy
aiicthy	1	f31r	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	1	48	6	AIIN+CH+T+Y	14	AIIN+CH+T+Y	14	AIIN+CH+T+Y	AIIN+CH+T+Y | IIN+CH+T+Y | A_ADDR+AIIN+CH+T+Y | AIIN+LOCAL_C+T+Y | A_ADDR+IIN+CH+T+Y	5.289026025	3.505281810	3.645021154	7.259543068	0.596280879	3.217501901	3.497253966	0.764149776	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chady	1	f66r	CH+A_ADDR+DY	1	23	5	CH+A_ADDR+Y	5	CH+DY	5	CH+DY	CH+DY | CH+A_ADDR+Y | CH+Y | CH+D_ADDR+Y | CH+A_ADDR+DY	2.112192279	3.140794117	3.850466197	3.896411699	1.321897759	2.936586164	3.859209396	2.184939829	ERROR_CHANGED_STILL_WRONG	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chap	1	f66r	CH+A_ADDR+P	1	5	2	CH+P	2	CH+P	2	CH+P	CH+P | CH+A_ADDR+P | LOCAL_C+A_ADDR+P | CH+SH+A_ADDR+P | LOCAL_C+SH+A_ADDR+P	1.554948035	3.954845347	3.823346968	2.442550023	1.274640280	3.492242736	3.735105147	1.455323977	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chekchy	1	f66r	CH+K+CH+Y	1	100	5	CH+K+Y	3	CH+K+Y	3	CH+K+Y	CH+K+Y | Y+CH+K | CH+K+CH+Y | CH+K+LOCAL_C+Y | LOCAL_C+K+Y	2.014358731	2.502983183	3.296552701	3.768785040	1.336217824	1.978677162	2.527497566	1.448872192	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chekeey	1	f66r	CH+K+EE+Y	1	57	2	CH+E+K+EE+Y	1	CH+K+EE+Y	1	CH+K+EE+Y	CH+K+EE+Y | CH+E+K+EE+Y | CH+K+E+EE+Y | CHD+K+EE+Y | LOCAL_C+K+EE+Y	1.185651345	1.720404417	2.718721654	1.989776678	1.185651345	1.720404417	2.718721654	1.989776678	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chekeody	1	f66r	CH+K+E+O+DY	1	100	2	CH+E+K+E+O+DY	1	CH+K+E+O+DY	1	CH+K+E+O+DY	CH+K+E+O+DY | CH+E+K+E+O+DY | CH+K+E+O+D_ADDR+Y | CH+K+E+O+Y | CH+K+E+E+O+DY	2.398315716	1.991683132	2.805963085	3.211404052	2.398315716	1.991683132	2.805963085	3.211404052	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
cheod	1	f31r	CH+E+O+D_ADDR	1	24	2	CH+E+O	1	CH+E+O+D_ADDR	1	CH+E+O+D_ADDR	CH+E+O+D_ADDR | CH+E+O | LOCAL_C+E+O+D_ADDR | LOCAL_C+E+O | LOCAL_C+SH+E+O+D_ADDR	0.505382375	2.217459679	2.773520198	1.323304052	0.505382375	2.217459679	2.773520198	1.323304052	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chepakeo	1	f31r	CH+E+P+A_ADDR+K+E+O	1	36	2	CH+E+P+A_ADDR+OK+E	1	CH+E+P+A_ADDR+K+E+O	1	CH+E+P+A_ADDR+K+E+O	CH+E+P+A_ADDR+K+E+O | CH+E+P+K+A_ADDR+E+O | CH+E+P+A_ADDR+OK+E | LOCAL_C+E+P+A_ADDR+K+E+O | LOCAL_C+E+P+K+A_ADDR+E+O	2.576721778	2.843765678	3.443847356	3.427059284	2.576721778	2.843765678	3.443847356	3.427059284	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chpady	1	f4r	CH+P+A_ADDR+DY	1	20	3	CH+P+A_ADDR+Y	2	CH+P+A_ADDR+Y	2	CH+P+A_ADDR+Y	CH+P+A_ADDR+Y | CH+P+A_ADDR+DY | LOCAL_C+P+A_ADDR+Y | LOCAL_C+P+A_ADDR+DY | CH+P+A_ADDR+D_ADDR+Y	1.681739562	2.821428031	3.547588249	2.939577258	1.864001510	3.404978818	3.531118042	2.037403931	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
cthom	1	f4r	CH+T+O+M_LOCAL	1	14	2	CH+T+O+AM_ADDR	2	CH+T+O+AM_ADDR	2	CH+T+O+AM_ADDR	CH+T+O+AM_ADDR | CH+T+O+M_LOCAL | O+CH+T+AM_ADDR | O+CH+T+M_LOCAL | CH+T+O+D_ADDR+AM_ADDR	2.439585339	3.076988960	3.270547326	3.291420927	1.672112586	2.683273170	3.090683614	1.816461505	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dairody	1	f66r	D_ADDR+AIR+O+DY	1	100	2	D_ADDR+AIR+O+D_ADDR+Y	1	D_ADDR+AIR+O+DY	1	D_ADDR+AIR+O+DY	D_ADDR+AIR+O+DY | D_ADDR+AIR+O+D_ADDR+Y | AIR+O+DY | D_ADDR+AIR+O+Y | D_ADDR+AIR+A_ADDR+O+DY	1.897709980	2.856341497	3.411444214	2.747551804	1.897709980	2.856341497	3.411444214	2.747551804	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dairykodas	1	f66r	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	1	100	5	D_ADDR+AIR+Y+K+O+DA+S	4	D_ADDR+AIR+Y+K+O+DA+S	4	D_ADDR+AIR+Y+K+O+DA+S	D_ADDR+AIR+Y+K+O+DA+S | AIR+Y+K+O+DA+S | D_ADDR+AIR+Y+K+O+D_ADDR+S | D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S | AIR+Y+K+O+D_ADDR+S	5.078966513	3.218293214	3.673158193	6.860690711	4.232014649	3.380596381	3.689570163	4.408768813	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dalcheeeky	1	f66r	AL+CH+EEE+K+Y	1	100	56	AL+CH+E+K+EE+Y	5	AL+EEE+K+Y	5	AL+EEE+K+Y	AL+EEE+K+Y | AL+LOCAL_C+EEE+K+Y | D_ADDR+AL+EEE+K+Y | AL+CH+E+EE+K+Y | AL+CH+EEE+K+Y	2.555581908	3.141407478	3.419548006	6.744957486	2.370726753	2.876814098	3.349563954	3.219533384	ERROR_CHANGED_STILL_WRONG	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dcheey	1	f31r	D_ADDR+CH+EE+Y	1	36	2	D_ADDR+SH+EE+Y	1	D_ADDR+CH+EE+Y	1	D_ADDR+CH+EE+Y	D_ADDR+CH+EE+Y | D_ADDR+SH+EE+Y | D_ADDR+EE+Y | D_ADDR+LOCAL_C+EE+Y | CH+EE+Y	1.231723069	2.407247828	3.090852525	2.062322758	1.231723069	2.407247828	3.090852525	2.062322758	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dolarshy	1	f66r	D_ADDR+OL+AR+SH+Y	1	100	2	D_ADDR+OL+AR+Y	1	D_ADDR+OL+AR+SH+Y	1	D_ADDR+OL+AR+SH+Y	D_ADDR+OL+AR+SH+Y | D_ADDR+OL+AR+Y | OL+AR+SH+Y | OL+AR+Y | D_ADDR+OL+A_ADDR+AR+SH+Y	1.608215587	3.262823326	3.467808627	2.469628566	1.608215587	3.262823326	3.467808627	2.469628566	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
