surface	occurrence_count	physical_pages	truth_recipe	prose_context_occurrence_count	candidate_count_capped	baseline_rank	baseline_top1	surface_ridge_rank	surface_ridge_top1	selected_rank	selected_top1	selected_top5	truth_structural_cost	truth_bigram_nll	truth_trigram_nll	truth_selected_score	top1_structural_cost	top1_bigram_nll	top1_trigram_nll	top1_selected_score	decision_change_class	working_policy
aiicthy	1	f31r	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	1	48	6	AIIN+CH+T+Y	14	AIIN+CH+T+Y	14	AIIN+CH+T+Y	AIIN+CH+T+Y | IIN+CH+T+Y | A_ADDR+AIIN+CH+T+Y | AIIN+LOCAL_C+T+Y | A_ADDR+IIN+CH+T+Y	5.289026025	3.505281810	3.645021154	7.259543068	0.596280879	3.217501901	3.497253966	0.764149776	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chady	1	f66r	CH+A_ADDR+DY	1	23	5	CH+A_ADDR+Y	5	CH+DY	5	CH+DY	CH+DY | CH+A_ADDR+Y | CH+Y | CH+D_ADDR+Y | CH+A_ADDR+DY	2.112192279	3.140794117	3.850466197	3.896411699	1.321897759	2.936586164	3.859209396	2.184939829	ERROR_CHANGED_STILL_WRONG	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chap	1	f66r	CH+A_ADDR+P	1	5	2	CH+P	2	CH+P	2	CH+P	CH+P | CH+A_ADDR+P | LOCAL_C+A_ADDR+P | CH+SH+A_ADDR+P | LOCAL_C+SH+A_ADDR+P	1.554948035	3.954845347	3.823346968	2.442550023	1.274640280	3.492242736	3.735105147	1.455323977	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chekchy	1	f66r	CH+K+CH+Y	1	100	5	CH+K+Y	3	CH+K+Y	3	CH+K+Y	CH+K+Y | Y+CH+K | CH+K+CH+Y | CH+K+LOCAL_C+Y | LOCAL_C+K+Y	2.014358731	2.502983183	3.296552701	3.768785040	1.336217824	1.978677162	2.527497566	1.448872192	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
cheta	1	f66r	CH+E+T+A_ADDR	1	24	1	CH+E+T+A_ADDR	2	CH+E+T	2	CH+E+T	CH+E+T | CH+E+T+A_ADDR | LOCAL_C+E+T | CHD+T | CH+T	2.180152737	3.400149571	3.647175645	2.356335867	0.875543823	3.323462474	3.645771437	1.742921852	BASELINE_CORRECT_LOST	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chpady	1	f4r	CH+P+A_ADDR+DY	1	20	3	CH+P+A_ADDR+Y	2	CH+P+A_ADDR+Y	2	CH+P+A_ADDR+Y	CH+P+A_ADDR+Y | CH+P+A_ADDR+DY | LOCAL_C+P+A_ADDR+Y | LOCAL_C+P+A_ADDR+DY | CH+P+A_ADDR+D_ADDR+Y	1.681739562	2.821428031	3.547588249	2.939577258	1.864001510	3.404978818	3.531118042	2.037403931	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
cthom	1	f4r	CH+T+O+M_LOCAL	1	14	2	CH+T+O+AM_ADDR	2	CH+T+O+AM_ADDR	2	CH+T+O+AM_ADDR	CH+T+O+AM_ADDR | CH+T+O+M_LOCAL | O+CH+T+AM_ADDR | O+CH+T+M_LOCAL | CH+T+O+D_ADDR+AM_ADDR	2.439585339	3.076988960	3.270547326	3.291420927	1.672112586	2.683273170	3.090683614	1.816461505	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dairykodas	1	f66r	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	1	100	5	D_ADDR+AIR+Y+K+O+DA+S	4	D_ADDR+AIR+Y+K+O+DA+S	4	D_ADDR+AIR+Y+K+O+DA+S	D_ADDR+AIR+Y+K+O+DA+S | AIR+Y+K+O+DA+S | D_ADDR+AIR+Y+K+O+D_ADDR+S | D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S | AIR+Y+K+O+D_ADDR+S	5.078966513	3.218293214	3.673158193	6.860690711	4.232014649	3.380596381	3.689570163	4.408768813	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dalcheeeky	1	f66r	AL+CH+EEE+K+Y	1	100	56	AL+CH+E+K+EE+Y	5	AL+EEE+K+Y	5	AL+EEE+K+Y	AL+EEE+K+Y | AL+LOCAL_C+EEE+K+Y | D_ADDR+AL+EEE+K+Y | AL+CH+E+EE+K+Y | AL+CH+EEE+K+Y	2.555581908	3.141407478	3.419548006	6.744957486	2.370726753	2.876814098	3.349563954	3.219533384	ERROR_CHANGED_STILL_WRONG	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dcheol	1	f66r	D_ADDR+CH+E+O+L	1	45	1	D_ADDR+CH+E+O+L	3	D_ADDR+CH+E+OL	3	D_ADDR+CH+E+OL	D_ADDR+CH+E+OL | CH+E+OL | D_ADDR+CH+E+O+L | D_ADDR+LOCAL_C+E+OL | D_ADDR+E+OL	3.279389683	2.670012385	2.967666479	3.420331655	1.452617285	2.539490604	3.111496384	2.692504248	BASELINE_CORRECT_LOST	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
dyky	1	f66r	D_ADDR+Y+K+Y	1	8	2	DY+K+Y	3	Y+K+Y	3	Y+K+Y	Y+K+Y | DY+K+Y | D_ADDR+Y+K+Y | CHD+Y+K+Y | D_ADDR+Y+K+Y+CH	1.745376471	2.216257303	3.140793596	2.572449924	0.773743382	2.096496414	2.705498749	1.992405550	ERROR_CHANGED_STILL_WRONG	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
fshodchy	1	f20v	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	1	100	2	LOCAL_CHAR_F+SH+O+D_ADDR+Y	2	LOCAL_CHAR_F+SH+O+D_ADDR+Y	2	LOCAL_CHAR_F+SH+O+D_ADDR+Y	LOCAL_CHAR_F+SH+O+D_ADDR+Y | LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y | LOCAL_CHAR_F+SH+O+D_ADDR+LOCAL_C+Y | LOCAL_CHAR_F+O+D_ADDR+CH+Y | LOCAL_CHAR_F+O+D_ADDR+Y	2.091295220	3.102155616	3.503182378	2.949575851	2.455756916	2.820417076	3.149606257	2.605007500	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
kchody	1	f66r	K+CH+O+D_ADDR+Y	1	44	1	K+CH+O+D_ADDR+Y	2	K+CH+O+DY	2	K+CH+O+DY	K+CH+O+DY | K+CH+O+D_ADDR+Y | K+O+DY | K+LOCAL_C+O+DY | K+CH+O+Y	3.325574487	2.403520875	2.727005345	3.453837643	1.635124417	3.513252034	3.629600428	2.506842909	BASELINE_CORRECT_LOST	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
kechody	1	f66r	K+E+CH+O+D_ADDR+Y	1	46	1	K+E+CH+O+D_ADDR+Y	3	K+E+CH+O+DY	3	K+E+CH+O+DY	K+E+CH+O+DY | K+E+LOCAL_C+O+DY | K+E+CH+O+D_ADDR+Y | K+E+CH+SH+O+DY | K+E+O+DY	4.569553462	2.388405142	3.042785414	4.705333226	2.314432463	3.310661819	3.691272034	3.182627990	BASELINE_CORRECT_LOST	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
keeol	1	f31r	K+EE+O+L	1	14	4	K+EE+OL	3	K+EE+OL	3	K+EE+OL	K+EE+OL | OL+K+EE | K+EE+O+L | OK+EE+L | K+SH+EE+OL	4.438775844	2.963853335	3.306079363	5.981818523	1.350441384	2.640895602	3.244796401	1.497583684	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
