micro_signature	parent_rule_families	support_registers	support_register_count	total_occurrences	register_private_microform	all_parent_rules_cross_register	herbal_occurrences	biological_occurrences	celestial_occurrences	pharma_occurrences
AL_AR_ACTIVE_LEFT	AL_AR_ORDERED_FALLBACK	BIOLOGICAL|CELESTIAL|PHARMA	3	11	NO	YES	0	7	1	3
AL_AR_LOCAL_LEFT	AL_AR_ORDERED_FALLBACK	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	285	NO	YES	38	168	52	27
AL_AR_RIGHT_FALLBACK_NO_LEFT	AL_AR_ORDERED_FALLBACK	BIOLOGICAL	1	1	YES	YES	0	1	0	0
ARGUMENT_GRADE_LEFT_CLOSER	NEAREST_HEAD_LEFT_TIE	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	56	NO	YES	4	8	14	30
ARGUMENT_GRADE_ONLY_LEFT	NEAREST_HEAD_LEFT_TIE	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	2282	NO	YES	261	1389	251	381
ARGUMENT_GRADE_ONLY_RIGHT	NEAREST_HEAD_LEFT_TIE	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	136	NO	YES	45	38	34	19
ARGUMENT_GRADE_RIGHT_CLOSER	NEAREST_HEAD_LEFT_TIE	HERBAL|BIOLOGICAL|CELESTIAL	3	5	NO	YES	1	1	3	0
BOUNDED_FORWARD	L_AIR_RIGHT_FALLBACK|ONE_CARD_FORWARD|Q_OT_PACKAGE_FORWARD	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	127	NO	YES	8	92	21	6
EQUAL_LEFT	AL_AR_ORDERED_FALLBACK|NEAREST_HEAD_LEFT_TIE	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	118	NO	YES	13	72	21	12
EQUAL_LEFT+R_HEAD	AL_AR_ORDERED_FALLBACK|R_POSITIONAL_MARKING	BIOLOGICAL	1	1	YES	YES	0	1	0	0
EQUAL_RIGHT	L_AIR_RIGHT_FALLBACK	BIOLOGICAL	1	1	YES	YES	0	1	0	0
L_AIR_LEFT_FALLBACK_NO_RIGHT	L_AIR_RIGHT_FALLBACK	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	55	NO	YES	6	23	7	19
L_AIR_LOCAL_RIGHT	L_AIR_RIGHT_FALLBACK	BIOLOGICAL|CELESTIAL|PHARMA	3	121	NO	YES	0	114	2	5
OWNER_ONLY	AL_AR_ORDERED_FALLBACK	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	19	NO	YES	1	14	1	3
R_HEAD	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	45	NO	YES	3	29	6	7
R_NESTED	L_AIR_RIGHT_FALLBACK|R_POSITIONAL_MARKING	HERBAL	1	1	YES	YES	1	0	0	0
R_TAIL	INHERITED_ACTION_STACK|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	BIOLOGICAL|CELESTIAL|PHARMA	3	14	NO	YES	0	2	8	4
STACK_FALLBACK_NO_LOCAL_HEAD	INHERITED_ACTION_STACK|OWNER_CONTEXT|PREVIOUS_CARD_STACK	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	1064	NO	YES	170	496	218	180
