register_replay_event_id	event_id	held_register	physical_page	statement_id	locus	surface	source_component_recipe	component_recipe	component_atom_count	surface_recipe_correction	all_atoms_on_fixed_sheet	outside_surface_registers	outside_surface_pages	outside_recipe_registers	outside_recipe_pages	register_replay_result
P1025-E0001	P912-E0001	HERBAL	f10r	P1009-S001	f10r.1	pchocthy	P+CH+O+CH+T+Y	P+CH+O+CH+T+Y	6	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0002	P912-E0002	HERBAL	f10r	P1009-S001	f10r.1	shor	SH+OR	SH+OR	2	UNCHANGED	YES	BIOLOGICAL|PHARMA	f77r|f88v|f89r	BIOLOGICAL|PHARMA	f77r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0003	P912-E0003	HERBAL	f10r	P1009-S001	f10r.1	octhody	O+CH+T+O+D_ADDR+Y	O+CH+T+O+D_ADDR+Y	6	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0004	P912-E0004	HERBAL	f10r	P1009-S001	f10r.1	chorchy	CH+OR+CH+Y	CH+OR+CH+Y	4	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0005	P912-E0005	HERBAL	f10r	P1009-S001	f10r.1	pchodol	P+CH+O+D_ADDR+OL	P+CH+O+D_ADDR+OL	5	UNCHANGED	YES	NONE	NONE	PHARMA	f89r	ROOT_RECIPE_FROM_OTHER_REGISTER
P1025-E0006	P912-E0006	HERBAL	f10r	P1009-S001	f10r.1	chopchal	CH+O+P+CH+AL	CH+O+P+CH+AL	5	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0007	P912-E0007	HERBAL	f10r	P1009-S001	f10r.1	ypch	Y+P+CH	Y+P+CH	3	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0008	P912-E0008	HERBAL	f10r	P1009-S001	f10r.1	kom	K+O+M_LOCAL	K+O+M_LOCAL	3	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0009	P912-E0009	HERBAL	f10r	P1009-S001	f10r.2	dchey	CH+E+Y	CH+E+Y	3	UNCHANGED	YES	PHARMA	f88r	PHARMA	f88r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0010	P912-E0010	HERBAL	f10r	P1009-S001	f10r.2	cthoor	CH+T+O+OR	CH+T+O+OR	4	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0011	P912-E0011	HERBAL	f10r	P1009-S001	f10r.2	char	AR	AR	1	UNCHANGED	YES	BIOLOGICAL	f75r|f82r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f75r|f76r|f77r|f82r|f83r|f88r|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0012	P912-E0012	HERBAL	f10r	P1009-S001	f10r.2	chty	CH+T+Y	CH+T+Y	3	UNCHANGED	YES	NONE	NONE	BIOLOGICAL	f75r|f76r|f83r	ROOT_RECIPE_FROM_OTHER_REGISTER
P1025-E0013	P912-E0013	HERBAL	f10r	P1009-S001	f10r.2	os	OS	OS	1	UNCHANGED	YES	CELESTIAL	f67r2|f72r	CELESTIAL	f67r2|f72r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0014	P912-E0014	HERBAL	f10r	P1009-S001	f10r.2	chair	CH+AIR	CH+AIR	2	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0015	P912-E0015	HERBAL	f10r	P1009-S001	f10r.2	otytchol	OT+Y+T+CH+OL	OT+Y+T+CH+OL	5	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0016	P912-E0016	HERBAL	f10r	P1009-S001	f10r.2	oky	OK+Y	OK+Y	2	UNCHANGED	YES	BIOLOGICAL|PHARMA	f76r|f81v|f82r|f88r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0017	P912-E0017	HERBAL	f10r	P1009-S001	f10r.2	daiin	AIIN	AIIN	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0018	P912-E0018	HERBAL	f10r	P1009-S001	f10r.2	etyd	E+T+Y	E+T+Y	3	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
P1025-E0019	P912-E0019	HERBAL	f10r	P1009-S001	f10r.3	qotor	OT+OR	OT+OR	2	UNCHANGED	YES	NONE	NONE	BIOLOGICAL|CELESTIAL	f68r1|f71v|f83r	ROOT_RECIPE_FROM_OTHER_REGISTER
P1025-E0020	P912-E0020	HERBAL	f10r	P1009-S001	f10r.3	o	O	O	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f72r|f75r|f76r|f83r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f72r|f75r|f76r|f77r|f83r|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0021	P912-E0021	HERBAL	f10r	P1009-S001	f10r.3	tchy	T+Y	T+Y	2	UNCHANGED	YES	NONE	NONE	BIOLOGICAL	f83r	ROOT_RECIPE_FROM_OTHER_REGISTER
P1025-E0022	P912-E0022	HERBAL	f10r	P1009-S001	f10r.3	daiin	AIIN	AIIN	1	UNCHANGED	YES	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	EXACT_SURFACE_FROM_OTHER_REGISTER
P1025-E0023	P912-E0023	HERBAL	f10r	P1009-S001	f10r.3	chocthy	CH+O+CH+T+Y	CH+O+CH+T+Y	5	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
