category_id	category_type	graphic_signs	short_value_de	syntax_role	support_registers	support_register_count	unsupported_used_register_holdouts	survives_every_register_where_used	herbal_atom_mentions	herbal_event_count	biological_atom_mentions	biological_event_count	celestial_atom_mentions	celestial_event_count	pharma_atom_mentions	pharma_event_count
CORE_01	PORTABLE_CORE	Y	AKTIVER POSTEN	REFERENT	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	259	238	744	734	186	173	201	193
CORE_02	PORTABLE_CORE	OK	SETZEN	HANDLUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	74	73	454	454	76	76	86	86
CORE_03	PORTABLE_CORE	OL	FORTSETZEN	FOLGE	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	83	83	308	302	63	60	119	118
CORE_04	PORTABLE_CORE	OT	DANACH	FOLGE	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	45	45	152	152	85	85	24	24
CORE_05	PORTABLE_CORE	AL	ZIELORT	RELATION	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	28	28	170	169	72	72	45	43
CORE_06	PORTABLE_CORE	CH	NEHMEN	HANDLUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	185	171	268	237	99	91	157	148
CORE_07	PORTABLE_CORE	SH	HALTEN	HANDLUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	35	35	366	365	45	45	57	57
CORE_08	PORTABLE_CORE	AR	AUSGANG	RELATION	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	38	38	139	138	56	54	24	24
CORE_09	PORTABLE_CORE	K	GEBEN	HANDLUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	74	73	224	223	46	42	71	70
CORE_10	PORTABLE_CORE	AIIN	WERT	ARGUMENT	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	66	66	158	158	71	71	76	76
CORE_11	PORTABLE_CORE	S	WÄHLEN	HANDLUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	30	30	117	116	45	44	48	46
CORE_12	PORTABLE_CORE	CHD	UMSETZEN	HANDLUNG	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	8	8	235	235	7	7	6	6
CORE_13	PORTABLE_CORE	OR	EINHEIT	ARGUMENT	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	81	79	69	69	30	30	48	47
CORE_14	PORTABLE_CORE	L	VERBINDUNG	RELATION	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	NONE	YES	3	3	197	197	10	10	24	24
