correction_layer	target_id	physical_page	surface	old_value	new_value	action	reason_de
EVENT_RECIPE	P1008-E0028	f18r	okeor	OK+OR	OK+E+OR	REPLACE_INVISIBLE_NEAREST_ALLOGRAPH_ATOMS	Gleiche sichtbare Oberfläche erhält genau eine sichtbare Komponentenfolge.
EVENT_RECIPE	P1008-E0181	f72r	okeor	OK+EE+OR	OK+E+OR	REPLACE_INVISIBLE_NEAREST_ALLOGRAPH_ATOMS	Gleiche sichtbare Oberfläche erhält genau eine sichtbare Komponentenfolge.
EVENT_RECIPE	P1008-E0200	f72r	cheo	CH+E+O+R	CH+E+O	REPLACE_INVISIBLE_NEAREST_ALLOGRAPH_ATOMS	Gleiche sichtbare Oberfläche erhält genau eine sichtbare Komponentenfolge.
EVENT_RECIPE	P1008-E0378	f72r	cheo	CH+E+O+R	CH+E+O	REPLACE_INVISIBLE_NEAREST_ALLOGRAPH_ATOMS	Gleiche sichtbare Oberfläche erhält genau eine sichtbare Komponentenfolge.
EVENT_RECIPE	P1008-E0770	f76r	cheo	CH+E+O+L	CH+E+O	REPLACE_INVISIBLE_NEAREST_ALLOGRAPH_ATOMS	Gleiche sichtbare Oberfläche erhält genau eine sichtbare Komponentenfolge.
EVENT_RECIPE	P1008-E0835	f76r	okeor	OK+EE+OR	OK+E+OR	REPLACE_INVISIBLE_NEAREST_ALLOGRAPH_ATOMS	Gleiche sichtbare Oberfläche erhält genau eine sichtbare Komponentenfolge.
EVENT_RECIPE	P1008-E1190	f89r	cheo	CH+E+O+L	CH+E+O	REPLACE_INVISIBLE_NEAREST_ALLOGRAPH_ATOMS	Gleiche sichtbare Oberfläche erhält genau eine sichtbare Komponentenfolge.
EVENT_RECIPE	P1008-E1330	f89r	cheo	CH+E+O+L	CH+E+O	REPLACE_INVISIBLE_NEAREST_ALLOGRAPH_ATOMS	Gleiche sichtbare Oberfläche erhält genau eine sichtbare Komponentenfolge.
EVENT_RECIPE	P1008-E1360	f89r	cheo	CH+E+O+L	CH+E+O	REPLACE_INVISIBLE_NEAREST_ALLOGRAPH_ATOMS	Gleiche sichtbare Oberfläche erhält genau eine sichtbare Komponentenfolge.
FOCUS_ATTACHMENT	SA00932	f72r	okeor	EE=GRAD II	E=GRAD I	REPLACE_INVISIBLE_GRADE	okeor zeigt einen E-Grad; der zweite E stammte nur vom Nachbarn okeeor.
FOCUS_ATTACHMENT	SA01107	f72r	l	PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING;R_TAIL	PREVIOUS_CARD_STACK;STACK_FALLBACK_NO_LOCAL_HEAD	DROP_INVISIBLE_R_MEDIATION	Der vorausgehende cheo trägt nach der sichtbaren Reparatur kein R; der offene CH-Kopf bleibt direkt aktiv.
FOCUS_ATTACHMENT	SA01108	f72r	aiin	INHERITED_ACTION_STACK|R_POSITIONAL_MARKING;R_TAIL	INHERITED_ACTION_STACK;STACK_FALLBACK_NO_LOCAL_HEAD	DROP_INVISIBLE_R_MEDIATION	Der vorausgehende cheo trägt nach der sichtbaren Reparatur kein R; der offene CH-Kopf bleibt direkt aktiv.
FOCUS_ATTACHMENT	SA01968	f76r	cheo	L=VERBINDUNG	NONE	DROP_INVISIBLE_FOCUS	Das L stammte nur vom eineditigen Nachbarn cheol und ist in cheo nicht sichtbar.
FOCUS_ATTACHMENT	SA02040	f76r	okeor	EE=GRAD II	E=GRAD I	REPLACE_INVISIBLE_GRADE	okeor zeigt einen E-Grad; der zweite E stammte nur vom Nachbarn okeeor.
FOCUS_ATTACHMENT	SA04116	f89r	cheo	L=VERBINDUNG	NONE	DROP_INVISIBLE_FOCUS	Das L stammte nur vom eineditigen Nachbarn cheol und ist in cheo nicht sichtbar.
FOCUS_ATTACHMENT	SA04257	f89r	cheo	L=VERBINDUNG	NONE	DROP_INVISIBLE_FOCUS	Das L stammte nur vom eineditigen Nachbarn cheol und ist in cheo nicht sichtbar.
FOCUS_ATTACHMENT	SA04294	f89r	cheo	L=VERBINDUNG	NONE	DROP_INVISIBLE_FOCUS	Das L stammte nur vom eineditigen Nachbarn cheol und ist in cheo nicht sichtbar.
FOCUS_ATTACHMENT	P1025-SA-E0028-E	f18r	okeor	NONE	E=GRAD I	ADD_VISIBLE_FOCUS	okeor zeigt den E-Grad auch dort, wo der alte eineditige Nachbar okor ihn gelöscht hatte.
