name	W92_definition	expected_expression	matched	contradicted	unbound	evaluated_markers	pages	all_source_occurrences	verdict
chkedy	D01	qokshedy qokeedy qolchey qokeey	0	0	0			1	NO_CAPACITY
qoteedy	D02	solshed pchor checphedy qeeedy cheeety o qol rsheedy	0	0	0			11	NO_CAPACITY
lsheedy	D03	pchor checphedy	0	0	0			1	NO_CAPACITY
okair	D04	sor saiin cheeky sheey qokaiin chkain shcthey	0	0	0			0	NO_CAPACITY
qokal	D05	qockhol sheckhy otal qokeal sheckhdy al okedy	0	0	0			7	NO_CAPACITY
qedy	D06	salcheol tar saiin cheeky sheey s altedy sair	0	0	0			0	NO_CAPACITY
sol	D07	solkeedy solshed pchor checphedy qeeedy cheeety o qol rsheedy qokeey	0	0	0			1	NO_CAPACITY
qoky	D08	cheeety	0	0	0			3	NO_CAPACITY
otedy	D09	solkeedy	0	0	0			2	NO_CAPACITY
chckhdy	D10	solkeedy solshed pchor checphedy qeeedy cheeety o qol rsheedy qokeey qokeedy qolchey qokeey lkedy qokchedy	0	0	0			0	NO_CAPACITY
shecthedy	D11	tchedy qotedy qockhol sheckhy otal qokeal sheckhdy al okedy saiin cheeky sheey	0	0	0			0	NO_CAPACITY
chedy	D12	qokeedy qolchey qokeey	0	0	0			17	NO_CAPACITY
shedy	D13	saiin cheeky sheey	0	0	0			20	NO_CAPACITY
