page	record	at	word	role	render
f77r	F77_P1	f77r.9:1	poldarais	OTHER_TEXT	⟦poldarais⟧
f77r	F77_P1	f77r.9:2	ol	OTHER_TEXT	⟦ol⟧
f77r	F77_P1	f77r.9:3	qokol	OTHER_TEXT	⟦qokol⟧
f77r	F77_P1	f77r.9:4	chey	OTHER_TEXT	⟦chey⟧
f77r	F77_P1	f77r.9:5	qopchedy	OTHER_TEXT	⟦qopchedy⟧
f77r	F77_P1	f77r.9:6	qopchedy	OTHER_TEXT	⟦qopchedy⟧
f77r	F77_P1	f77r.9:7	dylches	OTHER_TEXT	⟦dylches⟧
f77r	F77_P1	f77r.9:8	olkedy	OTHER_TEXT	⟦olkedy⟧
f77r	F77_P1	f77r.9:9	loly	OTHER_TEXT	⟦loly⟧
f77r	F77_P1	f77r.10:1	tolchd	OTHER_TEXT	⟦tolchd⟧
f77r	F77_P1	f77r.10:2	ar	OTHER_TEXT	⟦ar⟧
f77r	F77_P1	f77r.10:3	shey	OTHER_TEXT	⟦shey⟧
f77r	F77_P1	f77r.10:4	qotaiin	OTHER_TEXT	⟦qotaiin⟧
f77r	F77_P1	f77r.10:5	qotedy	OTHER_TEXT	⟦qotedy⟧
f77r	F77_P1	f77r.10:6	qokol	OTHER_TEXT	⟦qokol⟧
f77r	F77_P1	f77r.10:7	chdy	OTHER_TEXT	⟦chdy⟧
f77r	F77_P1	f77r.10:8	qokain	OTHER_TEXT	⟦qokain⟧
f77r	F77_P1	f77r.10:9	chetey	OTHER_TEXT	⟦chetey⟧
f77r	F77_P1	f77r.10:10	sal	OTHER_TEXT	⟦sal⟧
f77r	F77_P1	f77r.11:1	qoteedy	OTHER_TEXT	⟦qoteedy⟧
f77r	F77_P1	f77r.11:2	qokaiin	OTHER_TEXT	⟦qokaiin⟧
f77r	F77_P1	f77r.11:3	shedy	OTHER_TEXT	⟦shedy⟧
f77r	F77_P1	f77r.11:4	chol	OTHER_TEXT	⟦chol⟧
f77r	F77_P1	f77r.11:5	shedy	OTHER_TEXT	⟦shedy⟧
f77r	F77_P1	f77r.11:6	shcthey	OTHER_TEXT	⟦shcthey⟧
f77r	F77_P1	f77r.11:7	qokeedy	OTHER_TEXT	⟦qokeedy⟧
f77r	F77_P1	f77r.11:8	oteedy	OTHER_TEXT	⟦oteedy⟧
f77r	F77_P1	f77r.11:9	cham	OTHER_TEXT	⟦cham⟧
f77r	F77_P1	f77r.12:1	solteedy	OTHER_TEXT	⟦solteedy⟧
f77r	F77_P1	f77r.12:2	qoteedy	OTHER_TEXT	⟦qoteedy⟧
f77r	F77_P1	f77r.12:3	qodeedy	OTHER_TEXT	⟦qodeedy⟧
f77r	F77_P1	f77r.12:4	chedaiin	OTHER_TEXT	⟦chedaiin⟧
f77r	F77_P1	f77r.12:5	chedy	OTHER_TEXT	⟦chedy⟧
f77r	F77_P1	f77r.12:6	shedaiin	OTHER_TEXT	⟦shedaiin⟧
f77r	F77_P1	f77r.12:7	shealol	OTHER_TEXT	⟦shealol⟧
f77r	F77_P1	f77r.12:8	ched	OTHER_TEXT	⟦ched⟧
f77r	F77_P1	f77r.13:1	qokeedy	PROPOSED_BODY	⟦qokeedy⟧
f77r	F77_P1	f77r.13:2	qol	PROPOSED_BODY	⟦qol⟧
f77r	F77_P1	f77r.13:3	sheedy	PROPOSED_BODY	⟦sheedy⟧
f77r	F77_P1	f77r.13:4	shol	PROPOSED_BODY	⟦shol⟧
f77r	F77_P1	f77r.13:5	tedy	PROPOSED_BODY	⟦tedy⟧
f77r	F77_P1	f77r.13:6	chedy	PROPOSED_BODY	⟦chedy⟧
f77r	F77_P1	f77r.13:7	lsheedy	PROPOSED_BODY	⟦lsheedy⟧
f77r	F77_P1	f77r.13:8	qokedy	MARKER	[qokedy: U01/OUTSIDE_FROZEN_NAMES]
f77r	F77_P1	f77r.13:9	qolal	TARGET	«qolal»
f77r	F77_P1	f77r.13:10	chedy	OTHER_TEXT	⟦chedy⟧
f77r	F77_P1	f77r.14:1	sokcheey	OTHER_TEXT	⟦sokcheey⟧
f77r	F77_P1	f77r.14:2	sain	OTHER_TEXT	⟦sain⟧
f77r	F77_P1	f77r.14:3	sheeol	OTHER_TEXT	⟦sheeol⟧
f77r	F77_P1	f77r.14:4	qoteedy	OTHER_TEXT	⟦qoteedy⟧
f77r	F77_P1	f77r.14:5	qokaiin	OTHER_TEXT	⟦qokaiin⟧
f77r	F77_P1	f77r.14:6	shedy	OTHER_TEXT	⟦shedy⟧
f77r	F77_P1	f77r.14:7	qokeedy	OTHER_TEXT	⟦qokeedy⟧
f77r	F77_P1	f77r.14:8	qotedy	OTHER_TEXT	⟦qotedy⟧
f77r	F77_P1	f77r.15:1	qokeedy	OTHER_TEXT	⟦qokeedy⟧
f77r	F77_P1	f77r.15:2	shedy	OTHER_TEXT	⟦shedy⟧
