rank	merge	leaves	raw_render	train_substring_member	inclusive_subtree_ranks
1	dy	d,y	mi	1	1
2	ok	o,k	er	1	2
3	ol	o,l	ere	1	3
4	aN	a,N	aq	1	4
5	Ce	C,e	u	1	5
6	ot	o,t	es	1	6
7	qok	q,o,k	per	1	2,7
8	ar	a,r	aque	1	8
9	al	a,l	are	1	9
10	or	o,r	eque	1	10
11	Se	S,e	hu	1	11
12	aI	a,I	atur	1	12
13	daN	d,a,N	maq	1	4,13
14	Ey	E,y	hoi	0	14
15	Cedy	C,e,d,y	umi	1	1,5,15
16	qot	q,o,t	pes	1	6,16
17	Cy	C,y	i	1	17
18	Edy	E,d,y	homi	1	1,18
19	edy	e,d,y	umi	1	1,19
20	ody	o,d,y	emi	1	1,20
21	Col	C,o,l	ere	1	3,21
22	Cey	C,e,y	ui	1	5,22
23	ai	a,i	ant	1	23
24	ey	e,y	ui	1	24
25	od	o,d	em	1	25
26	Sedy	S,e,d,y	humi	1	1,11,26
27	am	a,m	ad	1	27
28	olk	o,l,k	erer	1	3,28
29	yk	y,k	ir	1	29
30	Cor	C,o,r	eque	1	10,30
31	yt	y,t	is	1	31
32	qo	q,o	pe	1	32
33	Co	C,o	e	1	33
34	dal	d,a,l	mare	1	9,34
35	dar	d,a,r	maque	1	8,35
36	Cdy	C,d,y	mi	1	1,36
37	Ky	K,y	bi	1	37
38	air	a,i,r	antque	0	23,38
39	Ty	T,y	ini	1	39
40	Sey	S,e,y	hui	1	11,40
41	ky	k,y	ri	1	41
42	qokaI	q,o,k,a,I	peratur	1	2,7,12,42
43	So	S,o	he	1	43
44	op	o,p	eo	1	44
45	Sol	S,o,l	here	0	3,45
46	qokaN	q,o,k,a,N	peraq	0	2,4,7,46
47	qokEdy	q,o,k,E,d,y	perhomi	0	1,2,7,18,47
48	qokal	q,o,k,a,l	perare	1	2,7,9,48
49	qokedy	q,o,k,e,d,y	perumi	0	1,2,7,19,49
50	CE	C,E	ho	1	50
51	eol	e,o,l	uere	1	3,51
52	Sy	S,y	hi	1	52
53	CEy	C,E,y	hoi	0	14,53
54	Ceol	C,e,o,l	uere	1	3,5,54
55	daI	d,a,I	matur	1	12,55
56	os	o,s	et	1	56
57	qol	q,o,l	pere	1	3,57
58	lk	l,k	rer	1	58
59	qokEy	q,o,k,E,y	perhoi	0	2,7,14,59
60	okaN	o,k,a,N	eraq	0	2,4,60
61	okal	o,k,a,l	erare	1	2,9,61
62	otal	o,t,a,l	esare	1	6,9,62
63	oky	o,k,y	eri	1	2,63
64	oty	o,t,y	esi	1	6,64
