primitive_id	role	card_id	output	length
C	null_layout	N01		0
E	syllabic_carrier	Y03	ho	2
F	connector	K01	um	2
I	suffix_operator	S03	tur	3
K	literal_carrier	L02	b	1
N	syllabic_carrier	Y01	q	1
P	literal_carrier	L03	c	1
S	prefix_operator	P01	h	1
T	connector	K02	in	2
a	literal_carrier	L01	a	1
b	literal_carrier	L05	f	1
c	syllabic_carrier	Y02	hi	2
d	literal_carrier	L09	m	1
e	literal_carrier	L16	u	1
f	literal_carrier	L06	g	1
g	prefix_operator	P02	pr	2
h	literal_carrier	L08	l	1
i	context_abbreviation_mark	C01	nt	2
j	literal_carrier	L10	n	1
k	literal_carrier	L13	r	1
l	context_abbreviation_mark	C02	re	2
m	suffix_operator	S01	d	1
n	macro_core	M01	ibus	4
o	literal_carrier	L04	e	1
p	literal_carrier	L11	o	1
q	literal_carrier	L12	p	1
r	syllabic_carrier	Y04	que	3
s	literal_carrier	L15	t	1
t	literal_carrier	L14	s	1
u	suffix_operator	S02	us	2
v	literal_carrier	L17	v	1
x	prefix_operator	P03	pro	3
y	literal_carrier	L07	i	1
z	literal_carrier	L18	x	1
