family_id	semantic_component_parse	cell_reading_de	card_no	surfaces	standard_command_de	occurrences	records	one_dimension_fit
OK_GRADE_ENDPOINT	OK+E+Y	ANSETZEN KURZ; POSTEN BLEIBT AKTIV	PROC085	okey|qokey	ANSETZEN · KURZ · ARBEITSPOSTEN	2	B1|B2	YES
OK_GRADE_ENDPOINT	OK+EE+Y	ANSETZEN LANG; POSTEN BLEIBT AKTIV	PROC092	okeey|qokeey	ANSETZEN · LANG · ARBEITSPOSTEN	7	B1|B2|B3|B4	YES
OK_GRADE_ENDPOINT	OK+E+DY	ANSETZEN KURZ; SCHLIESSEN	PROC067	qokedy	ANSETZEN · KURZ; SCHLUSS	8	B1|B3|B4	YES
OK_GRADE_ENDPOINT	OK+EE+DY	ANSETZEN LANG; SCHLIESSEN	PROC100	qokeedy	ANSETZEN · LANG; SCHLUSS	10	B2|B3|B4	YES
OK_GRADE_ENDPOINT	OK+EEE+DY	ANSETZEN VOLL; SCHLIESSEN	PROC119	qokeeedy	ANSETZEN · VOLL; SCHLUSS	1	B2	YES
SH_GRADE_ENDPOINT	SH+E+Y	KURZ HALTEN; POSTEN BLEIBT AKTIV	PROC122	tshey	HALTEN · KURZ · ARBEITSPOSTEN	1	B2	YES
SH_GRADE_ENDPOINT	SH+EE+Y	LANG HALTEN; POSTEN BLEIBT AKTIV	PROC031	cheey|shey	HALTEN · LANG · ARBEITSPOSTEN	4	H3|B2|B4	YES
SH_GRADE_ENDPOINT	SH+EE+Y	LANG HALTEN; POSTEN BLEIBT AKTIV	PROC157	sheey	HALTEN · LANG · ARBEITSPOSTEN	1	B4	YES
SH_GRADE_ENDPOINT	SH+E+DY	KURZ HALTEN; SCHLIESSEN	PROC111	dshedy	HALTEN · KURZ; SCHLUSS	1	B2	YES
SH_GRADE_ENDPOINT	SH+EE+DY	LANG HALTEN; SCHLIESSEN	PROC139	sheedy	HALTEN · LANG; SCHLUSS	1	B3	YES
SOLK_GRADE_ENDPOINT	SOLK+E+Y	KURZ AUFFANGEN; POSTEN BLEIBT AKTIV	PROC164	solkey	AUFFANGEN · KURZ · ARBEITSPOSTEN	1	B4	YES
SOLK_GRADE_ENDPOINT	SOLK+EE+Y	LANG AUFFANGEN; POSTEN BLEIBT AKTIV	PROC170	solkeey	AUFFANGEN · LANG · ARBEITSPOSTEN	1	B6	YES
SOLK_GRADE_ENDPOINT	SOLK+EE+DY	LANG AUFFANGEN; SCHLIESSEN	PROC098	olkeedy|solkeedy	AUFFANGEN · LANG; SCHLUSS	3	B1|B3	YES
CHK_GRADE_ENDPOINT	CHK+E+Y	KURZ WAERMEN; POSTEN BLEIBT AKTIV	PROC083	cheky	WAERMEN · KURZ · ARBEITSPOSTEN	3	B1|B4	YES
CHK_GRADE_ENDPOINT	CHK+EE+Y	LANG WAERMEN; POSTEN BLEIBT AKTIV	PROC046	cheeky	WAERMEN · LANG · ARBEITSPOSTEN	2	H4|B4	YES
CHK_GRADE_ENDPOINT	CHK+EE+Y	LANG WAERMEN; POSTEN BLEIBT AKTIV	PROC107	chkeey	WAERMEN · LANG · ARBEITSPOSTEN	1	B2	YES
CHK_GRADE_ENDPOINT	CHK+EE+DY	LANG WAERMEN; SCHLIESSEN	PROC132	chkeedy	WAERMEN · LANG; SCHLUSS	1	B3	YES
OT_GRADE_ENDPOINT	OT+EE+Y	DANACH LANG; POSTEN BLEIBT AKTIV	PROC109	oteey	DANACH · LANG · ARBEITSPOSTEN	2	B2	YES
OT_GRADE_ENDPOINT	OT+E+DY	DANACH KURZ; SCHLIESSEN	PROC135	otedy	DANACH · KURZ; SCHLUSS	2	B3	YES
OT_GRADE_ENDPOINT	OT+EE+DY	DANACH LANG; SCHLIESSEN	PROC129	qoteedy	DANACH · LANG; SCHLUSS	2	B2|B3	YES
OK_QUANTITY	OK+AIN	EINE PORTION ANSETZEN	PROC080	okain|qokain	ANSETZEN · PORTION	7	B1|B2|B3|B4	YES
OK_QUANTITY	OK+AIIN	DAS SOLLMASS ANSETZEN	PROC038	okaiin|qokaiin	ANSETZEN · SOLLMASS	9	H4|B1|B2|B3	YES
