family_id	core	modifier	endpoint	semantic_component_parse	cell_reading_de	exact_card_count	exact_card_nos	surfaces	occurrences	records
OK_GRADE_ENDPOINT	OK	E	Y	OK+E+Y	ANSETZEN KURZ; POSTEN BLEIBT AKTIV	1	PROC085	okey|qokey	2	B1|B2
OK_GRADE_ENDPOINT	OK	EE	Y	OK+EE+Y	ANSETZEN LANG; POSTEN BLEIBT AKTIV	1	PROC092	okeey|qokeey	7	B1|B2|B3|B4
OK_GRADE_ENDPOINT	OK	E	DY	OK+E+DY	ANSETZEN KURZ; SCHLIESSEN	1	PROC067	qokedy	8	B1|B3|B4
OK_GRADE_ENDPOINT	OK	EE	DY	OK+EE+DY	ANSETZEN LANG; SCHLIESSEN	1	PROC100	qokeedy	10	B2|B3|B4
OK_GRADE_ENDPOINT	OK	EEE	DY	OK+EEE+DY	ANSETZEN VOLL; SCHLIESSEN	1	PROC119	qokeeedy	1	B2
SH_GRADE_ENDPOINT	SH	E	Y	SH+E+Y	KURZ HALTEN; POSTEN BLEIBT AKTIV	1	PROC122	tshey	1	B2
SH_GRADE_ENDPOINT	SH	EE	Y	SH+EE+Y	LANG HALTEN; POSTEN BLEIBT AKTIV	2	PROC031|PROC157	cheey|shey|sheey	5	B2|B4|H3
SH_GRADE_ENDPOINT	SH	E	DY	SH+E+DY	KURZ HALTEN; SCHLIESSEN	1	PROC111	dshedy	1	B2
SH_GRADE_ENDPOINT	SH	EE	DY	SH+EE+DY	LANG HALTEN; SCHLIESSEN	1	PROC139	sheedy	1	B3
SOLK_GRADE_ENDPOINT	SOLK	E	Y	SOLK+E+Y	KURZ AUFFANGEN; POSTEN BLEIBT AKTIV	1	PROC164	solkey	1	B4
SOLK_GRADE_ENDPOINT	SOLK	EE	Y	SOLK+EE+Y	LANG AUFFANGEN; POSTEN BLEIBT AKTIV	1	PROC170	solkeey	1	B6
SOLK_GRADE_ENDPOINT	SOLK	EE	DY	SOLK+EE+DY	LANG AUFFANGEN; SCHLIESSEN	1	PROC098	olkeedy|solkeedy	3	B1|B3
CHK_GRADE_ENDPOINT	CHK	E	Y	CHK+E+Y	KURZ WAERMEN; POSTEN BLEIBT AKTIV	1	PROC083	cheky	3	B1|B4
CHK_GRADE_ENDPOINT	CHK	EE	Y	CHK+EE+Y	LANG WAERMEN; POSTEN BLEIBT AKTIV	2	PROC046|PROC107	cheeky|chkeey	3	B2|B4|H4
CHK_GRADE_ENDPOINT	CHK	EE	DY	CHK+EE+DY	LANG WAERMEN; SCHLIESSEN	1	PROC132	chkeedy	1	B3
OT_GRADE_ENDPOINT	OT	EE	Y	OT+EE+Y	DANACH LANG; POSTEN BLEIBT AKTIV	1	PROC109	oteey	2	B2
OT_GRADE_ENDPOINT	OT	E	DY	OT+E+DY	DANACH KURZ; SCHLIESSEN	1	PROC135	otedy	2	B3
OT_GRADE_ENDPOINT	OT	EE	DY	OT+EE+DY	DANACH LANG; SCHLIESSEN	1	PROC129	qoteedy	2	B2|B3
OK_QUANTITY	OK	AIN	NONE	OK+AIN	EINE PORTION ANSETZEN	1	PROC080	okain|qokain	7	B1|B2|B3|B4
OK_QUANTITY	OK	AIIN	NONE	OK+AIIN	DAS SOLLMASS ANSETZEN	1	PROC038	okaiin|qokaiin	9	B1|B2|B3|H4
